split_family,heldout_regime,model_id,family,description,n_features,n_test_cities,city,event_id,n_tokens,spearman,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,San Antonio,507,1200,0.8924075377,0.8868316971,0.8840818849,0.5666666667
baseline_loss_regime,loss_high,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,7,San Antonio,508,1200,0.9089693164,0.8926646397,0.8888198328,0.5666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Austin,482,1200,0.01876211995,0.4921957473,0.4805186934,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Austin,486,1200,0.00425969181,0.4883866151,0.4772296813,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Austin,487,1200,-0.01826294878,0.504936284,0.4864685688,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Chicago,153,1793,-0.4037944786,0.4568570501,0.4484485908,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Chicago,157,1615,-0.4263582314,0.4425311392,0.4394947959,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Chicago,158,1723,-0.3952272252,0.4374265004,0.4180273904,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,55,1200,-0.07952871002,0.6088250178,0.5572825297,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,56,1200,-0.08103732939,0.606952345,0.5923745129,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,57,1200,-0.06650167858,0.6203451247,0.6009573474,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,58,1200,-0.06266929465,0.6291374539,0.6074362741,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,59,1200,-0.08088912113,0.6273763148,0.6068753552,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,60,1200,-0.07290203445,0.6065086672,0.5921803643,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,61,1200,-0.04485667792,0.6101214719,0.5719460302,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,62,1200,-0.06999048896,0.6002813707,0.587490486,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,63,1200,-0.08062616458,0.6231686575,0.603076615,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Dallas,64,1200,-0.05968332904,0.6261909938,0.6017112272,0.01666666667
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Houston,60,1200,-0.1059577637,0.4337956252,0.4190266525,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Houston,61,1200,-0.06419062027,0.4599229862,0.4412286967,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Houston,62,1200,-0.100995915,0.448185269,0.4283904594,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,102,1960,-0.08890910317,0.5323073042,0.5079945979,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,103,2050,-0.08437432977,0.5286460371,0.4994778322,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,104,2311,-0.07145472996,0.5448131785,0.5123538671,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,105,2026,-0.08089158022,0.5449331226,0.5162872414,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,107,2148,-0.08991579512,0.5378274508,0.5096963869,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,108,2346,-0.0840032598,0.5426283855,0.5153996147,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,109,2181,-0.09541129431,0.5355984724,0.5080994713,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,110,1947,-0.09925842239,0.5390386107,0.5127646565,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,111,2098,-0.09656541115,0.5166335748,0.4896242794,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,121,2076,-0.07351070084,0.5419801787,0.5128432925,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,122,1959,-0.07618300826,0.5421052248,0.5160909016,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,New York,123,1945,-0.09237025171,0.53943387,0.5116812369,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,Philadelphia,656,1966,-0.2936200261,0.4429160347,0.4236588535,0
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,San Antonio,502,1242,-0.0263575373,0.5886541882,0.5975176747,0.04761904762
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,San Antonio,507,1200,-0.04202403894,0.5706033905,0.5833847637,0.03333333333
baseline_loss_regime,loss_high,H3_structure_only,heuristic,static structure-only one-factor score,0,7,San Antonio,508,1200,-0.02227945748,0.5873119212,0.5984119166,0.03333333333
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Austin,482,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Austin,486,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Austin,487,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Chicago,153,1793,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Chicago,157,1615,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Chicago,158,1723,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,55,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,56,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,57,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,58,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,59,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,60,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,61,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,62,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,63,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Dallas,64,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Houston,60,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Houston,61,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Houston,62,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,102,1960,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,103,2050,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,104,2311,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,105,2026,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,107,2148,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,108,2346,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,109,2181,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,110,1947,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,111,2098,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,121,2076,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,122,1959,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,New York,123,1945,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,Philadelphia,656,1966,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,San Antonio,502,1242,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,San Antonio,507,1200,1,1,1,1
baseline_loss_regime,loss_high,H4_activated_law,direct_law,hand-built activated bottleneck score,0,7,San Antonio,508,1200,1,1,1,1
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Austin,482,1200,0.9811652885,0.9730929515,0.9795362951,0.7166666667
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Austin,486,1200,0.9798625255,0.9730929515,0.9795362951,0.7166666667
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Austin,487,1200,0.9796164989,0.9730929515,0.9795362951,0.7166666667
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Chicago,153,1793,0.9664110795,0.9833189889,0.9864372672,0.8555555556
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Chicago,157,1615,0.9687364965,0.9819073065,0.9856843902,0.8148148148
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Chicago,158,1723,0.9660539667,0.982269315,0.9857854505,0.8390804598
baseline_loss_regime,loss_high,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,7,Dallas,55,1200,0.932155635,0.9144616611,0.9013387399,0.3833333333
