city,event_id,t,intervention,n_tokens,total_value,score_id,description,spearman,top10_value_capture,top10_ndcg,top10_precision
Austin,478,5,C,50,2.7792227840500003,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999999,1.0,1.0,1.0
Austin,478,5,R,29,0.7412985076709999,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.9999999999999998,0.08367142717545194,0.07517458552466903,0.0
Austin,478,5,R,29,0.7412985076709999,S1_deficit_only,within-channel local/access deficit only,0.9999999999999998,1.0,1.0,1.0
Austin,478,5,R,29,0.7412985076709999,S2_exposure_only,within-channel OD exposure only,0.9999999999999998,1.0,1.0,1.0
Austin,478,5,R,29,0.7412985076709999,S3_structure_only,within-channel static OD structure only,0.2753694581280787,0.7862171272083313,0.6683248424220299,0.3333333333333333
Austin,478,5,R,29,0.7412985076709999,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9999999999999998,1.0,1.0,1.0
Austin,478,5,R,29,0.7412985076709999,S5_full_activation,within-channel activated bottleneck score with eta/cost,0.9999999999999998,1.0,1.0,1.0
Austin,478,5,S,55,2.922402602388,S0_efficiency_only,within-channel calibrated efficiency per cost only,-0.27301587301587305,0.3787396856084106,0.35937635519846656,0.0
Austin,478,5,S,55,2.922402602388,S1_deficit_only,within-channel local/access deficit only,-0.052597402597402615,0.6155136925659265,0.5650413232339743,0.16666666666666666
Austin,478,5,S,55,2.922402602388,S2_exposure_only,within-channel OD exposure only,0.9988455988455991,0.999869492623479,0.9999187483944709,0.8333333333333334
Austin,478,5,S,55,2.922402602388,S3_structure_only,within-channel static OD structure only,-0.0318903318903319,0.5843819079016928,0.5512943579699378,0.0
Austin,478,5,S,55,2.922402602388,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",0.9988455988455991,0.999869492623479,0.9999187483944709,0.8333333333333334
Austin,478,5,S,55,2.922402602388,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
Austin,478,6,C,42,2.400028774517,S0_efficiency_only,within-channel calibrated efficiency per cost only,-1.0,0.21076417096404507,0.16439278223472584,0.0
Austin,478,6,C,42,2.400028774517,S1_deficit_only,within-channel local/access deficit only,1.0,1.0,1.0,1.0
Austin,478,6,C,42,2.400028774517,S2_exposure_only,within-channel OD exposure only,1.0,1.0,1.0,1.0
Austin,478,6,C,42,2.400028774517,S3_structure_only,within-channel static OD structure only,-0.09342840936715015,0.5628331920566515,0.5393293103031657,0.0
Austin,478,6,C,42,2.400028774517,S4_parameter_light_activation,"within-channel future horizon times OD exposure, no eta/cost",1.0,1.0,1.0,1.0
Austin,478,6,C,42,2.400028774517,S5_full_activation,within-channel activated bottleneck score with eta/cost,1.0,1.0,1.0,1.0
