category,city,event_id,event_start,baseline_objective,baseline_objective_rank,event_total_precip,event_total_precip_rank,event_peak_positive_abnormal_deficit,event_peak_positive_abnormal_deficit_rank,recoverable_fraction,top_5pct_value_share,marginal_value_gini,decision_criticality_score,decision_criticality_score_rank,lp_minus_random,law_minus_random
high_speed_impact_low_decision,San Antonio,501,2024-07-23 03:00:00,0.1521064054,0.6571428571428571,0.006561683333,0.14285714285714285,0.03970233648,0.8380952380952381,0.1231274136,0.1479586789,0.4295330819,0.007825134659,0.19047619047619047,0.11003349673,0.059284136259999995
high_speed_impact_low_decision,San Antonio,502,2024-07-23 11:00:00,0.1743211916,0.7142857142857143,0.4435697933,0.8,0.03970233648,0.8380952380952381,0.124190477,0.1479586789,0.4295330819,0.007892695683,0.21904761904761905,0.10156402432,0.07579590476
high_speed_impact_low_decision,Houston,62,2019-04-30 03:00:00,0.4064162998,0.8666666666666667,0.01181103,0.22380952380952382,0.03738240115,0.819047619047619,0.1178913158,0.1544004335,0.4273693615,0.007779178095,0.18095238095238095,0.09927051553999999,0.09463934884
high_decision_not_high_loss,New York,98,2019-06-02 18:00:00,0.01550511148,0.05714285714285714,0.12598432,0.5714285714285714,0.01284042645,0.34285714285714286,0.2564749584,0.2366578348,0.5866248192,0.03560625421,1.0,0.23466516396,0.12718999026
high_decision_not_high_loss,New York,119,2019-06-20 21:00:00,0.01783321113,0.0761904761904762,0.03805776333,0.38095238095238093,0.009006987358,0.2714285714285714,0.1276266689,0.301990445,0.6747150476,0.02600489068,0.9904761904761905,0.120502473376,0.08280995180600001
high_decision_not_high_loss,Philadelphia,658,2023-07-29 09:00:00,0.0198147851,0.09523809523809523,0.01574804,0.2761904761904762,0.00879234695,0.2523809523809524,0.126623227,0.2767547552,0.6622602184,0.02320796907,0.9809523809523809,0.11937376328900001,0.113220086089
high_decision_not_high_loss,Chicago,152,2019-07-17 19:00:00,0.02216888903,0.12380952380952381,0.27952771,0.7238095238095238,0.01334210144,0.3523809523809524,0.2680336809,0.1722164847,0.4584960653,0.02116409507,0.9714285714285714,0.22939303899000002,0.06765921199
high_decision_not_high_loss,New York,100,2019-06-05 21:00:00,0.06728818434,0.3523809523809524,0.01049869333,0.19523809523809524,0.01875161061,0.5571428571428572,0.169567208,0.2044100421,0.5110312076,0.0177129754,0.9619047619047619,0.14469309711,0.06471960717
high_decision_not_high_loss,New York,115,2019-06-20 01:00:00,0.01889311455,0.08571428571428572,0.00787402,0.15714285714285714,0.00338160594,0.14285714285714285,0.1517437935,0.2131626348,0.5339913536,0.01727254137,0.9523809523809523,0.14047937273,0.08295294162
high_decision_not_high_loss,Chicago,154,2019-07-20 05:00:00,0.02404835271,0.1523809523809524,0.01181103,0.22380952380952382,0.005706766028,0.19047619047619047,0.2164610453,0.1722164847,0.4584960653,0.01709188982,0.9428571428571428,0.18648886125,0.08732078965
