city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,baseline_objective,optimized_objective,lp_recoverable_fraction,static_replay_gain,static_replay_recoverable_fraction,static_fraction_of_base_lp_gain,static_selected_action_count,static_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip,residual_replay_gain,residual_replay_recoverable_fraction,residual_fraction_of_base_lp_gain,residual_selected_action_count,residual_allocated_cost,residual_value_proxy,residual_minus_static_fraction_of_base_lp_gain,residual_minus_static_recoverable_fraction,residual_relative_to_static_gain
New York,109,2019-06-18 07:00:00,delay_4h,1,4,0.7345846597,0.6259726094,0.1478550483,0.07820079513,0.1064557966,0.7200010946,2048,58.20723774,0.06813897394,0.1036745967,0.07863315391,0.1070443724,0.7239818571,2088,58.20723774,0.1070527079,0.003980762493,0.0005885758441,1.005528828
New York,110,2019-06-18 13:00:00,delay_4h,1,4,0.672594944,0.595564262,0.114527596,0.05421853943,0.08061098274,0.7038564118,2048,40.2881086,0.06813897394,0.80708705,0.05446709788,0.08098053422,0.7070831579,2064,40.2881086,0.08098053422,0.003226746061,0.0003695514765,1.004584381
New York,111,2019-06-18 23:00:00,delay_4h,1,4,0.2995702587,0.2645951538,0.1167509254,0.02429341596,0.08109421831,0.6945916535,2048,18.59735783,0.007086730324,0.00787402,0.02489223688,0.08309315145,0.7117130008,2198,18.59735783,0.08337988813,0.01712134734,0.001998933142,1.024649515
New York,112,2019-06-19 07:00:00,delay_4h,1,4,0.05163031833,0.0448293879,0.1317235814,0.00504871048,0.0977857709,0.7423558477,982,3.2705583,0.007086730324,0.00393701,0.00528740421,0.102408902,0.7774530646,1075,3.2705583,0.1026377495,0.03509721686,0.0046231311,1.047278158
New York,113,2019-06-19 10:00:00,delay_4h,1,4,0.05902898295,0.05206386475,0.1179948876,0.004675490613,0.07920669439,0.6712722559,956,3.199223672,0.007086730324,0.00393701,0.005120387786,0.08674362203,0.7351472915,1128,3.199223672,0.08755594978,0.06387503556,0.007536927643,1.095155185
New York,115,2019-06-20 01:00:00,delay_4h,1,4,0.01889311455,0.01602620168,0.1517437935,0.00234016592,0.1238634273,0.8162668433,469,1.521707899,0.00338160594,0.00787402,0.002726904102,0.1443332223,0.9511639256,613,1.521707899,0.1447695632,0.1348970823,0.02046979499,1.165261009
New York,116,2019-06-20 04:00:00,delay_4h,1,4,0.02443910888,0.02089341786,0.145082664,0.002276320364,0.09314252722,0.6419962567,465,1.521707899,0.00338160594,0.01181103,0.00277281255,0.1134580055,0.7820231747,647,1.521707899,0.1141854619,0.140026918,0.0203154783,1.218111736
New York,117,2019-06-20 07:00:00,delay_4h,1,4,0.02864635885,0.02511424332,0.1233006801,0.002061873288,0.0719768016,0.5837502401,465,1.521707899,0.00338160594,0.02362206,0.002685089839,0.09373232574,0.7601930961,710,1.521707899,0.09431403005,0.176442856,0.02175552414,1.302257445
New York,119,2019-06-20 21:00:00,delay_4h,1,4,0.01783321113,0.0155572178,0.1276266689,0.001670256656,0.09365989352,0.7338583252,1147,3.846498066,0.009006987358,0.03805776333,0.001670256656,0.09365989352,0.7338583252,1147,3.846498066,0.1460136784,-1.674149708e-11,-1.555491846e-12,0.9999999997
New York,120,2019-06-21 04:00:00,delay_4h,1,4,0.05966038473,0.05213648155,0.1261122136,0.005909846959,0.09905814361,0.7854762103,1152,3.846498066,0.009006987358,0.48031522,0.006025115504,0.1009902221,0.8007965225,1203,3.846498066,0.1010330836,0.01532031219,0.001932078483,1.019504489
New York,121,2019-06-25 07:00:00,delay_4h,1,4,0.5339519264,0.4678503907,0.1237967923,0.04732251714,0.08862692463,0.7159064707,2048,35.07910644,0.04783041442,0.4973755967,0.04737407723,0.08872348782,0.7166864843,2059,35.07910644,0.08882833003,0.0007800136076,9.656318774e-05,1.001089547
New York,122,2019-06-29 18:00:00,delay_4h,1,4,0.4169878714,0.3717146433,0.10857205,0.03180176878,0.07626545269,0.7024409382,2048,23.7154995,0.03686080824,0.04986879333,0.03205114172,0.07686348674,0.707949115,2076,23.7154995,0.0768662133,0.005508176773,0.0005980340471,1.00784148
New York,123,2019-06-30 15:00:00,delay_4h,1,4,0.2729615004,0.241152528,0.1165328165,0.02240012252,0.08206330374,0.7042076749,2048,16.62784393,0.02021357153,0.04724412,0.02245247818,0.08225510979,0.7058536152,2063,16.62784393,0.08236261935,0.00164594028,0.0001918060503,1.002337294
Philadelphia,640,2023-07-04 01:00:00,delay_4h,1,4,0.009872386696,0.008243332553,0.1650111764,0.000319342242,0.03234701514,0.1960292378,155,0.4128202335,0.002905801377,0.005905515,0.000736188019,0.07457041966,0.4519113267,364,0.4128202335,0.08291049052,0.2558820889,0.04222340452,2.305326143
Philadelphia,641,2023-07-07 11:00:00,delay_4h,1,4,0.004974469552,0.00404945932,0.1859515315,0.0005035802161,0.1012329477,0.5444050226,81,0.2182709443,0.001487792359,0.009842525,0.0008036772804,0.1615603979,0.8688306928,129,0.2182709443,0.1896343199,0.3244256702,0.06032745025,1.595927034
