city,event_id,policy_scenario,budget_scale,delay_add_hours,n_replans,mean_pass_cost,final_remaining_total
New York,117,delay_2h,1,2,10,0.1521707899,1.296705798e-15
New York,119,delay_2h,1,2,10,0.3846498066,1.014813233e-16
New York,120,delay_2h,1,2,10,0.3846498066,8.500145032e-17
New York,121,delay_2h,1,2,10,3.507910644,1.141448047e-14
New York,122,delay_2h,1,2,10,2.37154995,5.626055177e-14
New York,123,delay_2h,1,2,10,1.662784393,2.096847002e-16
Philadelphia,640,delay_2h,1,2,10,0.04128202335,0
Philadelphia,641,delay_2h,1,2,10,0.02182709443,6.91720986e-17
Philadelphia,642,delay_2h,1,2,10,0.02104896005,2.602085214e-18
Philadelphia,643,delay_2h,1,2,10,0.1050453439,4.263082942e-16
Philadelphia,644,delay_2h,1,2,10,0.5051169419,0
Philadelphia,645,delay_2h,1,2,10,0.3906858365,4.139483895e-16
Philadelphia,646,delay_2h,1,2,10,0.095363987,3.357774128e-16
Philadelphia,647,delay_2h,1,2,10,0.05188237906,1.387778781e-17
Philadelphia,648,delay_2h,1,2,10,0.4075417135,1.20871195e-14
Philadelphia,649,delay_2h,1,2,10,0.3112940798,6.495455215e-16
Philadelphia,650,delay_2h,1,2,10,0.1140890303,3.61798265e-16
Philadelphia,651,delay_2h,1,2,10,0.4296730118,0
Philadelphia,652,delay_2h,1,2,10,0.3671382131,6.435824096e-15
Philadelphia,653,delay_2h,1,2,10,0.1813802551,1.483622253e-15
Philadelphia,654,delay_2h,1,2,10,0.4265774354,0
Philadelphia,655,delay_2h,1,2,10,0.2976763304,6.511718248e-16
Philadelphia,656,delay_2h,1,2,10,0.6858020583,2.535385096e-14
Philadelphia,657,delay_2h,1,2,10,0.23570468,5.565860273e-15
Philadelphia,658,delay_2h,1,2,10,0.1249107647,5.889386201e-16
Philadelphia,659,delay_2h,1,2,10,0.2079031254,3.071219494e-15
San Antonio,491,delay_2h,1,2,10,0.1105040355,5.400411021e-16
San Antonio,492,delay_2h,1,2,10,0.1797613118,9.194034423e-16
San Antonio,493,delay_2h,1,2,10,0.150392933,1.652324111e-16
San Antonio,494,delay_2h,1,2,10,0.2060033306,0
San Antonio,495,delay_2h,1,2,10,0.06324483959,0
San Antonio,496,delay_2h,1,2,10,0.2210856024,5.559788741e-16
San Antonio,497,delay_2h,1,2,10,0.1422791377,2.057165202e-15
San Antonio,498,delay_2h,1,2,10,0.111701441,3.946495908e-17
San Antonio,499,delay_2h,1,2,10,0.04079995755,3.577867169e-18
San Antonio,500,delay_2h,1,2,10,0.3816707883,4.329002434e-15
San Antonio,501,delay_2h,1,2,10,0.3495324897,2.647188024e-15
San Antonio,502,delay_2h,1,2,10,0.3295700482,0
San Antonio,503,delay_2h,1,2,10,0.1236696285,9.540979118e-18
San Antonio,504,delay_2h,1,2,10,0.1220918146,1.441988889e-17
San Antonio,505,delay_2h,1,2,10,0.1507392202,7.762887555e-17
San Antonio,506,delay_2h,1,2,10,0.01141558958,2.385244779e-18
San Antonio,507,delay_2h,1,2,10,0.3560331357,2.916937525e-15
San Antonio,508,delay_2h,1,2,10,0.3263491779,0
