city,event_id,event_start,baseline_objective,recoverable_fraction,top_1pct_value_share,top_5pct_value_share,top_10pct_value_share,marginal_value_gini,optimizer_selected_value_share,loss_magnitude_rank,recoverable_rank,top_tail_rank,decision_criticality_score,decision_criticality_rank,event_peak_positive_abnormal_deficit,event_total_precip
Austin,492,2024-07-28 09:00:00,0.1299120167,0.1185037345,0.06546206417,0.222851238,0.3641464974,0.5878658893,0.2256707811,0.619047619,0.2571428571,0.3619047619,0.01552477622,0.2285714286,0.01758517343,0.076771695
Austin,490,2024-07-25 21:00:00,0.06749221661,0.172772258,0.05076054264,0.1804175694,0.3006112364,0.4973985019,0.2302417056,0.3619047619,0.9047619048,0.04761904762,0.01550448374,0.219047619,0.01358562402,0.005905515
San Antonio,500,2024-07-23 00:00:00,0.1073168078,0.165266663,0.05237032224,0.1863930314,0.3127999189,0.4979333821,0.4348600568,0.5428571429,0.8666666667,0.1047619048,0.01533861591,0.2095238095,0.03970233648,0.01706037667
Austin,479,2024-07-12 13:00:00,0.1559423619,0.1295473124,0.06313077183,0.2088409482,0.3387737695,0.5438472855,0.2251619557,0.6666666667,0.4380952381,0.2476190476,0.01471367059,0.2,0.02521753832,0.01574804
Austin,485,2024-07-22 23:00:00,0.1053035213,0.1831544337,0.04878766115,0.1688257285,0.2813981089,0.463040002,0.2602695038,0.5333333333,0.9333333333,0.009523809524,0.01431774357,0.1904761905,0.03052262292,0.3543309
Austin,480,2024-07-12 15:00:00,0.1171135872,0.1248134854,0.05849850705,0.2004732716,0.3303106921,0.5438972469,0.220464285,0.5904761905,0.3333333333,0.2095238095,0.0136092706,0.180952381,0.0164342092,0.05118113
Austin,484,2024-07-22 14:00:00,0.1084480967,0.1310122947,0.05510959187,0.1930050074,0.3197397276,0.5299911522,0.220607419,0.5619047619,0.4476190476,0.1523809524,0.01340137159,0.1714285714,0.01704210899,0.005905515
Austin,486,2024-07-23 03:00:00,0.1806597614,0.1435936695,0.05283384865,0.1861337982,0.3077554477,0.5002842863,0.2628114015,0.7238095238,0.6761904762,0.09523809524,0.01337141586,0.1619047619,0.03052262292,0.005905515
San Antonio,501,2024-07-23 03:00:00,0.1521064054,0.1231274136,0.05642764406,0.1981375277,0.3304837385,0.5362238215,0.3465232833,0.6571428571,0.2857142857,0.180952381,0.01308180285,0.1523809524,0.03970233648,0.006561683333
Houston,60,2019-04-18 05:00:00,0.457149008,0.09387180327,0.07310600166,0.2325052913,0.3703392965,0.5848951588,0.134954089,0.9047619048,0.1047619048,0.4761904762,0.01276574098,0.1428571429,0.0527549075,0.86220519
Houston,52,2019-04-04 01:00:00,0.08955559994,0.1091826237,0.06358883186,0.2102349512,0.3432032918,0.5526894072,0.1378097638,0.4761904762,0.1523809524,0.2761904762,0.01268643462,0.1333333333,0.01393183624,0.58267748
Houston,62,2019-04-30 03:00:00,0.4064162998,0.1178913158,0.06271748627,0.200301973,0.3246862633,0.5262632475,0.1307202527,0.8666666667,0.2285714286,0.2,0.01242710831,0.1238095238,0.03738240115,0.01181103
Philadelphia,658,2023-07-29 09:00:00,0.0198147851,0.126623227,0.05433561748,0.189996357,0.3155158636,0.5099233251,0.07982743886,0.09523809524,0.3714285714,0.1333333333,0.0122677108,0.1142857143,0.00879234695,0.01574804
Houston,61,2019-04-24 21:00:00,0.3590268447,0.1188566112,0.06268729283,0.1982002855,0.320394686,0.5174829157,0.1474233285,0.8380952381,0.2666666667,0.1904761905,0.01219055942,0.1047619048,0.03057047768,0.01181103
Dallas,62,2019-04-28 01:00:00,0.1708659535,0.08906290776,0.05028827504,0.1822883126,0.3041676181,0.5097929754,0.06215858963,0.7047619048,0.08571428571,0.06666666667,0.008276553785,0.09523809524,0.01786907333,0.053149635
Dallas,58,2019-04-18 22:00:00,0.4339111185,0.09364614235,0.04890162921,0.1749510209,0.2916773041,0.4897826608,0.0624723266,0.8952380952,0.09523809524,0.01904761905,0.008024348449,0.08571428571,0.03655756319,0.009842525
Dallas,56,2019-04-18 02:00:00,0.4273576317,0.08490103523,0.04924859042,0.1785455582,0.2978918418,0.4990856716,0.06356001268,0.8857142857,0.07619047619,0.0380952381,0.007565491332,0.07619047619,0.04562321539,0.171259935
Dallas,63,2019-04-28 09:00:00,0.3377999703,0.07400008392,0.0518256509,0.1850676019,0.3075377228,0.515414813,0.06475793119,0.819047619,0.06666666667,0.07619047619,0.007058615179,0.06666666667,0.02141410712,0.005905515
Dallas,60,2019-04-24 11:00:00,0.6434381403,0.07239293644,0.05053609187,0.1813122488,0.3015430209,0.5062952073,0.06509596084,0.9714285714,0.05714285714,0.05714285714,0.006645492221,0.05714285714,0.06215555493,0.041338605
Dallas,59,2019-04-23 19:00:00,0.6307852175,0.06568683295,0.05347459269,0.1869960368,0.3093336687,0.517733022,0.06688937599,0.9619047619,0.04761904762,0.1142857143,0.006359406572,0.04761904762,0.06215555493,2.210631115
Dallas,55,2019-04-17 11:00:00,0.6297233168,0.06413741853,0.05273360319,0.1861254001,0.308733017,0.5192111799,0.06675822778,0.9523809524,0.0380952381,0.08571428571,0.006198136775,0.0380952381,0.04385983862,0.01574804
Dallas,57,2019-04-18 12:00:00,0.5691464883,0.06232289383,0.05362241373,0.1886475359,0.3124387792,0.5240347065,0.06695772275,0.9333333333,0.02857142857,0.1238095238,0.00616110767,0.02857142857,0.04057741584,0.09448824
Dallas,61,2019-04-24 15:00:00,0.6946419693,0.05991398588,0.05466639601,0.1914440275,0.3165534525,0.5300410761,0.06778082035,0.9904761905,0.01904761905,0.1428571429,0.006079663774,0.01904761905,0.06215555493,0.352362395
Dallas,64,2019-04-30 18:00:00,0.6216910488,0.05486721131,0.05686756874,0.1969274027,0.3241638546,0.5391048044,0.06868685582,0.9428571429,0.009523809524,0.1714285714,0.005824950545,0.009523809524,0.05493827201,0.005905515
