city,event_id,event_start,perturbation_id,unit,t,intervention,perturbed_u,perturbed_e,perturbed_cost
San Antonio,506,2024-07-27 11:00:00,0,213,7,C,4.331266432e-05,1.371495093e-05,3.413397324e-05
San Antonio,506,2024-07-27 11:00:00,0,213,8,C,3.062621596e-05,9.880447506e-06,2.423999506e-05
San Antonio,506,2024-07-27 11:00:00,0,213,9,C,2.178941472e-05,7.118016202e-06,1.734913154e-05
San Antonio,506,2024-07-27 11:00:00,0,214,0,C,0.002665389032,0.0008482730824,0.002731006491
San Antonio,506,2024-07-27 11:00:00,0,214,1,C,0.00208552474,0.0006308176221,0.00210842504
San Antonio,506,2024-07-27 11:00:00,0,214,1,S,0.001243848215,0.0005145190107,0.0008890220364
San Antonio,506,2024-07-27 11:00:00,0,214,2,C,0.0003232304283,9.710600946e-05,0.0003106015406
San Antonio,506,2024-07-27 11:00:00,0,214,2,S,0.0005388303866,0.0002255330421,0.0004250508287
San Antonio,506,2024-07-27 11:00:00,0,214,3,C,0.0002496670116,7.109523499e-05,0.0002666718947
San Antonio,506,2024-07-27 11:00:00,0,214,3,S,0.0002925149415,0.0001241364717,0.0002039729208
San Antonio,506,2024-07-27 11:00:00,0,214,4,C,0.0001692545398,5.205169552e-05,0.0001748685097
San Antonio,506,2024-07-27 11:00:00,0,214,4,S,0.0001999421062,8.539310055e-05,0.0001519519275
San Antonio,506,2024-07-27 11:00:00,0,214,5,C,0.0001230196261,3.810915046e-05,0.0001236936433
San Antonio,506,2024-07-27 11:00:00,0,214,5,S,0.0001469791449,6.049800864e-05,0.0001157998803
San Antonio,506,2024-07-27 11:00:00,0,214,6,C,8.964128342e-05,2.790124959e-05,9.204428985e-05
San Antonio,506,2024-07-27 11:00:00,0,214,6,S,0.0001133744623,4.38361574e-05,8.734830339e-05
San Antonio,506,2024-07-27 11:00:00,0,214,7,C,6.658285545e-05,2.042763272e-05,6.689890725e-05
San Antonio,506,2024-07-27 11:00:00,0,214,7,S,7.480359964e-05,3.136674525e-05,5.347731295e-05
San Antonio,506,2024-07-27 11:00:00,0,214,8,C,4.776338907e-05,1.495589569e-05,4.816511528e-05
San Antonio,506,2024-07-27 11:00:00,0,214,8,S,5.222389418e-05,2.245359622e-05,3.968731541e-05
San Antonio,506,2024-07-27 11:00:00,0,214,9,C,3.449532368e-05,1.094981582e-05,3.496187525e-05
San Antonio,506,2024-07-27 11:00:00,0,214,9,S,3.879096763e-05,1.63709649e-05,2.837189505e-05
San Antonio,506,2024-07-27 11:00:00,0,214,10,S,3.019287554e-05,1.279116601e-05,2.276703251e-05
San Antonio,506,2024-07-27 11:00:00,0,215,1,S,0.001329079067,0.0004965675524,0.0009118248672
San Antonio,506,2024-07-27 11:00:00,0,215,2,C,0.002736624341,0.0007060212975,0.002019145194
San Antonio,506,2024-07-27 11:00:00,0,215,3,S,0.0004887537592,0.000187513075,0.0003274977176
San Antonio,506,2024-07-27 11:00:00,0,215,4,S,0.0002002946174,7.735261488e-05,0.0001457288035
San Antonio,506,2024-07-27 11:00:00,0,215,5,C,0.0002566859243,6.847029044e-05,0.0001998814477
San Antonio,506,2024-07-27 11:00:00,0,215,5,S,0.0001273039313,4.731978727e-05,9.588019771e-05
San Antonio,506,2024-07-27 11:00:00,0,215,7,S,0.0001226151932,4.646190214e-05,8.413996922e-05
San Antonio,506,2024-07-27 11:00:00,0,215,8,S,5.356480492e-05,2.082976614e-05,3.897058968e-05
San Antonio,506,2024-07-27 11:00:00,0,215,9,S,4.101366374e-05,1.564506337e-05,2.876505481e-05
San Antonio,506,2024-07-27 11:00:00,0,219,1,S,0.001361865655,0.0004938161482,0.0008771114293
San Antonio,506,2024-07-27 11:00:00,0,219,3,S,0.0007237465538,0.000269522334,0.0004549220306
San Antonio,506,2024-07-27 11:00:00,0,219,4,S,0.0002549668428,9.558103303e-05,0.0001744624572
San Antonio,506,2024-07-27 11:00:00,0,219,5,S,0.0001896394822,6.841018918e-05,0.0001344610822
San Antonio,506,2024-07-27 11:00:00,0,219,7,S,0.0001561248085,5.741984357e-05,0.0001005756732
San Antonio,506,2024-07-27 11:00:00,0,219,8,S,6.702661334e-05,2.530174898e-05,4.586129657e-05
San Antonio,506,2024-07-27 11:00:00,0,219,9,S,4.978436794e-05,1.84329566e-05,3.280112051e-05
San Antonio,506,2024-07-27 11:00:00,0,230,2,C,0.002344774333,0.0007006204677,0.002051148438
San Antonio,506,2024-07-27 11:00:00,0,230,5,C,0.0002192840709,6.743796871e-05,0.0002007592091
