city,event_id,unit,t,intervention,selected_count,mean_perturbed_cost,total_perturbed_cost,n_successful_perturbations,selection_frequency,selected_by_base_lp,selected_by_static_small_signal_greedy,selected_by_residual_finite_greedy
Chicago,159,257,0,C,3,0.01019577987,0.03058733961,3,1,True,True,True
Chicago,159,257,3,C,3,0.01018414116,0.03055242347,3,1,True,True,True
Chicago,159,282,2,C,3,0.01009592764,0.03028778291,3,1,True,True,True
Chicago,159,823,2,C,3,0.01007074761,0.03021224282,3,1,True,True,True
Chicago,159,793,2,C,3,0.01006972032,0.03020916095,3,1,True,True,True
Chicago,159,396,1,C,3,0.009972828222,0.02991848467,3,1,True,True,True
Chicago,159,411,10,C,3,0.009951074496,0.02985322349,3,1,True,True,True
Chicago,159,625,2,C,3,0.009924920209,0.02977476063,3,1,True,True,True
Chicago,159,257,1,C,3,0.00991966233,0.02975898699,3,1,True,True,True
Chicago,159,282,0,C,3,0.009876508738,0.02962952621,3,1,True,True,True
Chicago,159,823,0,C,3,0.009870054773,0.02961016432,3,1,True,True,True
Chicago,159,793,0,C,3,0.009862856994,0.02958857098,3,1,True,True,True
Chicago,159,823,3,C,3,0.009858780861,0.02957634258,3,1,True,True,True
Chicago,159,793,3,C,3,0.009851236453,0.02955370936,3,1,True,True,True
Chicago,159,770,0,C,3,0.009820440615,0.02946132185,3,1,True,True,True
Chicago,159,773,1,C,3,0.009812565823,0.02943769747,3,1,True,True,True
Chicago,159,770,3,C,3,0.009809432414,0.02942829724,3,1,True,True,True
Philadelphia,656,603,0,C,3,0.009759734655,0.02927920397,3,1,True,True,True
Chicago,159,282,1,C,3,0.009757940775,0.02927382233,3,1,True,True,True
Chicago,159,625,0,C,3,0.009724570347,0.02917371104,3,1,True,True,True
Philadelphia,656,603,1,C,3,0.0097181602,0.0291544806,3,1,True,True,True
Chicago,159,625,3,C,3,0.009713315703,0.02913994711,3,1,True,True,True
Chicago,159,845,3,C,3,0.009623278986,0.02886983696,3,1,True,True,True
Chicago,159,823,1,C,3,0.009602591761,0.02880777528,3,1,True,True,True
Chicago,159,793,1,C,3,0.009587170582,0.02876151175,3,1,True,True,True
Philadelphia,656,493,4,C,3,0.009460500429,0.02838150129,3,1,True,True,True
Chicago,159,625,1,C,3,0.00945756442,0.02837269326,3,1,True,True,True
Chicago,159,845,1,C,3,0.009375490702,0.02812647211,3,1,True,True,True
Philadelphia,656,321,1,C,3,0.009309554097,0.02792866229,3,1,True,True,True
Chicago,159,463,4,C,3,0.009278674189,0.02783602257,3,1,True,True,True
Philadelphia,656,147,0,C,3,0.009256417897,0.02776925369,3,1,True,True,True
Chicago,159,625,4,C,3,0.009236362235,0.02770908671,3,1,True,True,True
Chicago,159,793,4,C,3,0.009219959318,0.02765987795,3,1,True,True,True
Philadelphia,656,59,1,C,3,0.009040732325,0.02712219697,3,1,True,True,True
Philadelphia,656,86,5,C,3,0.008924805314,0.02677441594,3,1,True,True,True
Philadelphia,656,515,0,C,3,0.008842937891,0.02652881367,3,1,True,True,True
Philadelphia,656,281,4,C,3,0.008826343156,0.02647902947,3,1,True,True,True
Philadelphia,656,303,1,C,3,0.008808875079,0.02642662524,3,1,True,True,True
Philadelphia,656,281,3,C,3,0.008762039779,0.02628611934,3,1,True,True,True
Philadelphia,656,426,3,C,3,0.008713835701,0.0261415071,3,1,True,True,True
Philadelphia,656,602,0,C,3,0.008705987289,0.02611796187,3,1,True,True,True
Philadelphia,656,343,1,C,3,0.008696987294,0.02609096188,3,1,True,True,True
Philadelphia,656,602,1,C,3,0.008691479683,0.02607443905,3,1,True,True,True
Philadelphia,656,59,3,C,3,0.008689042934,0.0260671288,3,1,True,True,True
Philadelphia,656,59,2,C,3,0.008630373007,0.02589111902,3,1,True,True,True
Chicago,159,31,3,C,3,0.00859366635,0.02578099905,3,1,True,True,True
Philadelphia,656,515,2,C,3,0.008559709168,0.0256791275,3,1,True,True,True
Philadelphia,656,602,2,C,3,0.008496747409,0.02549024223,3,1,True,True,True
Philadelphia,656,596,3,C,3,0.008494475553,0.02548342666,3,1,True,True,True
Chicago,159,773,2,C,3,0.008463253388,0.02538976016,3,1,True,True,True
Chicago,159,551,0,C,3,0.008334672423,0.02500401727,3,1,True,True,True
Philadelphia,656,596,2,C,3,0.008320640785,0.02496192235,3,1,True,True,True
