model_id,family,description,train_mode,train_parameter_scenario,test_parameter_scenario,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,low_efficiency_all,Houston,7,4800,4,0.4022074861,0.637134882,0.009219919851,0.709514142,0.7355415379,0.08333333333,0.290485858,0.7688573706,0.7591915153,0.3666666667,0.2311426294,0.8528664021,0.8222661063,0.5104166667,0.1471335979
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,low_efficiency_all,New York,7,50454,24,0.2776514709,0.380470862,0.01039336086,0.9282038895,0.916945736,0.4119633867,0.07179611055,0.8964713072,0.9000419007,0.5731797581,0.1035286928,0.9217328941,0.9179181556,0.6123421996,0.07826710588
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,low_efficiency_all,Philadelphia,7,33719,20,0.2700359981,0.4602047162,0.07039679574,0.4995562154,0.5050287697,0,0.5004437846,0.8103503659,0.7329495869,0.4845429774,0.1896496341,0.9150739755,0.8357463951,0.6668695801,0.08492602453
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,low_efficiency_all,San Antonio,7,25076,19,0.2466322448,0.6213182136,0.06358895566,0.5250314128,0.5297827181,0.01503759398,0.4749685872,0.8783210271,0.79724608,0.5812947267,0.1216789729,0.9176311474,0.8518790991,0.7055477774,0.0823688526
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,low_efficiency_all,Austin,7,18007,15,0.4554000101,0.6726854535,0.04812774998,0.8291821647,0.7878227107,0.3418803419,0.1708178353,0.9672573192,0.9219130934,0.7325318761,0.0327426808,0.9281800993,0.9078447212,0.474738292,0.07181990068
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,low_efficiency_all,Chicago,7,26081,13,0.4953920453,0.6163144719,0.02497450409,0.8313900339,0.879726085,0.4505186848,0.1686099661,0.7179656424,0.756920491,0.1643298452,0.2820343576,0.8106149131,0.8138726008,0.3250040838,0.1893850869
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,low_efficiency_all,Dallas,7,12000,10,0.4155187232,0.625354719,0.0194935577,0.667097374,0.6614045024,0,0.332902626,0.7320111643,0.7147366661,0,0.2679888357,0.7282356111,0.7180381066,0.175,0.2717643889
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,low_efficiency_all,Houston,7,4800,4,0.4269696456,0.6319121271,0.02109068318,0.9402190449,0.9618370457,0.75,0.05978095507,0.8057470297,0.8436027493,0.4,0.1942529703,0.787422669,0.8188829691,0.2916666667,0.212577331
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,low_efficiency_all,New York,7,50454,24,0.3927063075,0.5207074504,0.01011007391,0.7011143196,0.7286847598,0.04513556884,0.2988856804,0.7694582176,0.7607885993,0.275467991,0.2305417824,0.7998697919,0.7872454795,0.3322075468,0.2001302081
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,low_efficiency_all,Philadelphia,7,33719,20,-0.02065143208,0.2597745276,0.06359528962,0.5708541729,0.5660072919,0.007142857143,0.4291458271,0.7057056748,0.6739308717,0.1325330615,0.2942943252,0.7725809077,0.7334182544,0.2184027204,0.2274190923
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,low_efficiency_all,San Antonio,7,25076,19,0.1203487231,0.4816993954,0.06039027695,0.7341020289,0.7114444944,0.005639097744,0.2658979711,0.8263854628,0.7909794511,0.3681568917,0.1736145372,0.8668624882,0.8314816563,0.4267820741,0.1331375118
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,high_efficiency_all,Austin,6,18007,15,0.5158820264,0.7258423298,0.0508593125,0.9544625238,0.9717387549,0.8341880342,0.04553747619,0.9596167716,0.96759499,0.8157741348,0.04038322839,0.9594570004,0.964725859,0.716271809,0.04054299958
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,high_efficiency_all,Chicago,6,26081,13,0.4123944559,0.4202340469,0.04346174127,0.9586944654,0.9691874053,0.7174916267,0.0413055346,0.9692243093,0.9713455703,0.8052736206,0.03077569073,0.9668684547,0.9689204629,0.7773129717,0.03313154531
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,high_efficiency_all,Dallas,6,12000,10,0.5581241785,0.7409004023,0.03364216217,0.6901762373,0.6763358664,0,0.3098237627,0.8219926141,0.7836977318,0.1666666667,0.1780073859,0.8524070584,0.8190779139,0.4583333333,0.1475929416
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,high_efficiency_all,Houston,6,4800,4,0.5092163469,0.7252128769,0.0266268084,0.9690579116,0.9798900688,0.8333333333,0.03094208838,0.9497992813,0.9601246051,0.8,0.05020071875,0.9603448377,0.9641365043,0.7916666667,0.03965516235
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,high_efficiency_all,New York,6,50454,24,0.2613114791,0.3797158846,0.01781192041,0.9324137511,0.9212521957,0.4286245564,0.06758624893,0.9102376463,0.9122531902,0.6567258771,0.08976235375,0.9122473621,0.9129825735,0.6552576424,0.08775263789
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,high_efficiency_all,Philadelphia,6,33719,20,0.3639681288,0.6048770063,0.0991458173,0.957783402,0.9682714603,0.773385302,0.04221659803,0.9688476879,0.9702598719,0.8159169769,0.03115231206,0.9707277412,0.9711346,0.7806561611,0.02927225878
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,high_efficiency_all,San Antonio,6,25076,19,0.3039636829,0.7136056651,0.0799049131,0.9549499933,0.9695376035,0.7502570529,0.04505000673,0.9703005281,0.9736818014,0.782404581,0.02969947186,0.9770976889,0.9778782762,0.7938729921,0.02290231107
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,high_efficiency_all,Austin,7,18007,15,0.3684360251,0.6170496025,1.434891292,0.6893361529,0.6726954148,0,0.3106638471,0.8422414815,0.7986140582,0.5660473588,0.1577585185,0.8467448822,0.8159183322,0.3831221304,0.1532551178
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,high_efficiency_all,Chicago,7,26081,13,0.2742918689,0.381538956,0.1322187281,0.8270634759,0.8764613397,0.4505186848,0.1729365241,0.6446565318,0.6988671362,0.1219238451,0.3553434682,0.6614971501,0.6935876328,0.132275693,0.3385028499
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,high_efficiency_all,Dallas,7,12000,10,0.429957717,0.6296927859,0.08856061673,0.6696037685,0.6538485454,0,0.3303962315,0.7378988614,0.7172934795,0,0.2621011386,0.781477698,0.7552961433,0.3166666667,0.218522302
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,high_efficiency_all,Houston,7,4800,4,0.3614670077,0.5543026188,0.2703451964,0.9402190449,0.9618370457,0.75,0.05978095507,0.6703230842,0.7403562959,0.1666666667,0.3296769158,0.690153145,0.7325272918,0.1395833333,0.309846855
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,high_efficiency_all,New York,7,50454,24,0.2232102706,0.3358412892,0.02503502039,0.7469688857,0.7618057666,0.04959241597,0.2530311143,0.8303053952,0.8134572126,0.4056941402,0.1696946048,0.8602720729,0.8419689709,0.47404424,0.1397279271
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,high_efficiency_all,Philadelphia,7,33719,20,0.182605488,0.4111287852,0.1621567927,0.5703754677,0.5677835426,0.003571428571,0.4296245323,0.6121051126,0.6005665047,0.01714285714,0.3878948874,0.6582747049,0.6383522911,0.05557761776,0.3417252951
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,high_efficiency_all,San Antonio,7,25076,19,0.2322794215,0.5907946347,0.1940292019,0.7207983698,0.730723303,0.005639097744,0.2792016302,0.7483787059,0.7435642808,0.2217279377,0.2516212941,0.8056865581,0.7854594362,0.3167189648,0.1943134419
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,high_efficiency_all,Austin,7,18007,15,0.3881375193,0.6155173827,0.05791267176,0.9244778567,0.8373271206,0.5803418803,0.07552214326,0.7996354821,0.7891961103,0.4339526412,0.2003645179,0.8619033189,0.837849993,0.6168778696,0.1380966811
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,high_efficiency_all,Chicago,7,26081,13,0.5315867047,0.6330420658,0.03289458315,0.6925256917,0.700072304,0.03183023873,0.3074743083,0.8625847095,0.8283405362,0.5164833865,0.1374152905,0.887991976,0.8582762607,0.5723141982,0.112008024
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,high_efficiency_all,Dallas,7,12000,10,0.586111186,0.7729640823,0.01429126664,0.9978903538,0.9984141719,0.9166666667,0.002109646189,0.9869323507,0.9903651372,0.8333333333,0.01306764926,0.9524692932,0.9639190802,0.575,0.04753070682
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,high_efficiency_all,Houston,7,4800,4,0.4739580891,0.7031819259,0.01867357458,0.7505687211,0.7679067896,0.08333333333,0.2494312789,0.837733905,0.8243362449,0.5166666667,0.162266095,0.8818718162,0.860233985,0.5583333333,0.1181281838
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,high_efficiency_all,New York,7,50454,24,0.4772457135,0.6125556153,0.0142462331,0.9611319828,0.9680664342,0.5717990647,0.03886801722,0.9455259919,0.9493797709,0.6607134358,0.05447400808,0.9411372746,0.944800948,0.6488626382,0.05886272537
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,high_efficiency_all,Philadelphia,7,33719,20,-0.009233473642,0.2333059699,0.09562717162,0.8017898544,0.7613167775,0.4950144443,0.1982101456,0.8587806167,0.8265612295,0.581450279,0.1412193833,0.943714013,0.9000604013,0.7375233647,0.05628598699
E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,base_train_transfer,base,high_efficiency_all,San Antonio,7,25076,19,0.09371941816,0.4563104033,0.09045740051,0.844508458,0.7834420343,0.5800719748,0.155491542,0.8988401157,0.8553303748,0.6358740189,0.1011598843,0.9357026391,0.8962942304,0.7426187489,0.0642973609
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,expensive_all,Austin,6,18007,15,0.5158820264,0.7258423298,0.04328774994,0.9544625238,0.9717387549,0.8341880342,0.04553747619,0.9596167716,0.96759499,0.8157741348,0.04038322839,0.9594570004,0.964725859,0.716271809,0.04054299958
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,expensive_all,Chicago,6,26081,13,0.4123944559,0.4202340469,0.02669298813,0.9586944654,0.9691874053,0.7174916267,0.0413055346,0.9692243093,0.9713455703,0.8052736206,0.03077569073,0.9668684547,0.9689204629,0.7773129717,0.03313154531
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,expensive_all,Dallas,6,12000,10,0.5581241785,0.7409004023,0.03784042035,0.6901762373,0.6763358664,0,0.3098237627,0.8219926141,0.7836977318,0.1666666667,0.1780073859,0.8524070584,0.8190779139,0.4583333333,0.1475929416
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,expensive_all,Houston,6,4800,4,0.5092163469,0.7252128769,0.02866759584,0.9690579116,0.9798900688,0.8333333333,0.03094208838,0.9497992813,0.9601246051,0.8,0.05020071875,0.9603448377,0.9641365043,0.7916666667,0.03965516235
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,expensive_all,New York,6,50454,24,0.2613114791,0.3797158846,0.01452001899,0.9324137511,0.9212521957,0.4286245564,0.06758624893,0.9102376463,0.9122531902,0.6567258771,0.08976235375,0.9122473621,0.9129825735,0.6552576424,0.08775263789
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,expensive_all,Philadelphia,6,33719,20,0.3639681288,0.6048770063,0.05729398741,0.957783402,0.9682714603,0.773385302,0.04221659803,0.9688476879,0.9702598719,0.8159169769,0.03115231206,0.9707277412,0.9711346,0.7806561611,0.02927225878
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,expensive_all,San Antonio,6,25076,19,0.3039636829,0.7136056651,0.04787956263,0.9549499933,0.9695376035,0.7502570529,0.04505000673,0.9703005281,0.9736818014,0.782404581,0.02969947186,0.9770976889,0.9778782762,0.7938729921,0.02290231107
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,expensive_all,Austin,7,18007,15,0.3212783386,0.5512778205,0.05443851263,0.7610550657,0.7129965438,0.3094017094,0.2389449343,0.7459220209,0.7377500011,0.3907103825,0.2540779791,0.8244526864,0.7964238453,0.5685674931,0.1755473136
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,expensive_all,Chicago,7,26081,13,0.2801501968,0.3260900859,0.03490834423,0.6595148958,0.6744098637,0.009283819629,0.3404851042,0.7849242971,0.7556494901,0.3619946968,0.2150757029,0.8568825119,0.8192571157,0.5128497949,0.1431174881
E2_full_factorized,factorized,compact activated law with eta/cost,base_train_transfer,base,expensive_all,Dallas,7,12000,10,0.6360065052,0.8092435818,0.01529775828,0.9876494849,0.9884401166,0.75,0.0123505151,0.9328747649,0.9435902122,0.5,0.06712523512,0.9458648496,0.9496507602,0.6416666667,0.05413515043
