train_mode,train_parameter_scenario,test_parameter_scenario,model_id,family,description,n_features,n_cities,n_events,mean_city_spearman,mean_event_spearman,median_event_spearman,mean_event_top_1pct_value_capture,median_event_top_1pct_value_capture,mean_event_top_1pct_ndcg,median_event_top_1pct_ndcg,mean_event_top_1pct_precision,median_event_top_1pct_precision,mean_event_top_1pct_regret,median_event_top_1pct_regret,mean_event_top_5pct_value_capture,median_event_top_5pct_value_capture,mean_event_top_5pct_ndcg,median_event_top_5pct_ndcg,mean_event_top_5pct_precision,median_event_top_5pct_precision,mean_event_top_5pct_regret,median_event_top_5pct_regret,mean_event_top_10pct_value_capture,median_event_top_10pct_value_capture,mean_event_top_10pct_ndcg,median_event_top_10pct_ndcg,mean_event_top_10pct_precision,median_event_top_10pct_precision,mean_event_top_10pct_regret,median_event_top_10pct_regret
base_train_transfer,base,C_favored,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.6093924759,0.8002049755,0.8093389817,0.873562093,0.9572003595,0.8744052194,0.9718239308,0.6357916201,0.7692307692,0.126437907,0.04279964048,0.8621261574,0.9093159591,0.867667146,0.8769507521,0.6110058744,0.6833333333,0.1378738426,0.09068404088,0.8619205232,0.8783161777,0.86601661,0.8707142724,0.5998847321,0.6392694064,0.1380794768,0.1216838223
base_train_transfer,base,C_favored,E2_full_factorized,factorized,compact activated law with eta/cost,7,7,105,0.609315786,0.8528151588,0.8652692521,0.9811500083,0.9835803697,0.9868011091,0.9883495495,0.8234931815,0.8333333333,0.01884999169,0.01641963026,0.9804735913,0.981946054,0.9829654739,0.9843888891,0.8600324258,0.8539325843,0.01952640868,0.01805394602,0.9840834149,0.9847702251,0.9848370564,0.9852223876,0.8720974434,0.8666666667,0.01591658512,0.01522977486
base_train_transfer,base,C_favored,E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,7,7,105,-0.02563846528,-0.1243119933,-0.1385838688,0.3906361645,0.3813046727,0.3957218934,0.3867993886,0,0,0.6093638355,0.6186953273,0.3973869556,0.3893257081,0.3964719685,0.394712822,0.001093179121,0,0.6026130444,0.6106742919,0.4065566027,0.3998768195,0.4032524572,0.3913793178,0.004058375655,0,0.5934433973,0.6001231805
base_train_transfer,base,R_favored,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.5410269749,0.7793550812,0.9031745731,0.715884717,0.7951054121,0.7192908375,0.8032024576,0.2717052268,0.4444444444,0.284115283,0.2048945879,0.7536811839,0.8760876535,0.745317122,0.8689241693,0.3732113058,0.55,0.2463188161,0.1239123465,0.7730258923,0.9005728235,0.7619696169,0.8938955384,0.4367641957,0.6416666667,0.2269741077,0.09942717654
base_train_transfer,base,R_favored,E2_full_factorized,factorized,compact activated law with eta/cost,7,7,105,0.4110079879,0.6510045597,0.5534443665,0.9461127243,0.9421086688,0.9596840538,0.9575019708,0.6279399948,0.5,0.05388727571,0.05789133116,0.7924798447,0.7659385897,0.8385101631,0.8207901784,0.5664875236,0.5166666667,0.2075201553,0.2340614103,0.7030400955,0.6097788025,0.7589634625,0.6883903306,0.4961974905,0.3811659193,0.2969599045,0.3902211975
base_train_transfer,base,R_favored,E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,7,7,105,0.3827432714,0.5284901131,0.6606207489,0.605139916,0.6808914605,0.5910145184,0.6645902202,0.1339047382,0,0.394860084,0.3191085395,0.6909358052,0.7612429417,0.6647653229,0.721713139,0.29056463,0.4,0.3090641948,0.2387570583,0.7009522803,0.7930969623,0.6804694016,0.7657692029,0.2783389939,0.36875,0.2990477197,0.2069030377
base_train_transfer,base,S_favored,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.6212810348,0.8451858045,0.8772597141,0.7650742856,0.6737463233,0.7737612836,0.6687161569,0.2089132345,0,0.2349257144,0.3262536767,0.8287981489,0.8406458944,0.81981681,0.8147978787,0.3478256656,0.3426573427,0.1712018511,0.1593541056,0.8375496299,0.845408028,0.8290940106,0.8355419006,0.4119741238,0.4104046243,0.1624503701,0.154591972
base_train_transfer,base,S_favored,E2_full_factorized,factorized,compact activated law with eta/cost,7,7,105,0.6018969079,0.820256676,0.832484363,0.9559831302,0.9512860501,0.9633741738,0.9684691429,0.5870911681,0.6923076923,0.04401686983,0.04871394991,0.9577882939,0.9695160172,0.9591071042,0.9627003674,0.6556704803,0.7166666667,0.04221170605,0.03048398281,0.9597050967,0.9695319333,0.9600983601,0.9651891384,0.6966522961,0.7416666667,0.04029490327,0.03046806667
base_train_transfer,base,S_favored,E3_centered_efficiency_factorized,factorized,compact law with event-centered eta/cost for scale-invariant transfer,7,7,105,-0.004831292926,-0.02836084494,-0.0529367559,0.6652112532,0.647559418,0.6641453025,0.6613317708,0.01386878172,0,0.3347887468,0.352440582,0.6581124705,0.6633030876,0.658166277,0.6536391501,0.07048270166,0.09523809524,0.3418875295,0.3366969124,0.6409234185,0.6462214115,0.6450002868,0.6536238643,0.09820856071,0.09536784741,0.3590765815,0.3537785885
base_train_transfer,base,base,E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",6,7,105,0.6157697446,0.8916104833,0.9300158018,0.9260534082,0.9542701455,0.9310012657,0.9716651653,0.6207916609,0.75,0.07394659177,0.04572985455,0.9397300777,0.9596157869,0.9392202022,0.9675991327,0.7096884132,0.7833333333,0.06026992225,0.0403842131,0.9447613567,0.9606739877,0.9431251436,0.9656218613,0.714495612,0.735915493,0.05523864327,0.03932601226
