model_id,family,description,train_mode,train_parameter_scenario,test_parameter_scenario,heldout_city,n_features,city,event_id,n_tokens,total_value,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,157,1615,13.19361951,0.9361399321,0.9640949541,0.9730011058,0.7058823529,0.03590504587,0.9757438587,0.9765782916,0.8271604938,0.02425614132,0.969710324,0.9716918281,0.7777777778,0.03028967599
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,158,1723,16.49880104,0.9322704899,0.9635763204,0.9723648304,0.6666666667,0.03642367963,0.9730705461,0.9747167711,0.8045977011,0.02692945391,0.9656458811,0.9687313501,0.7630057803,0.03435411889
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Chicago,6,Chicago,159,2008,36.5642555,0.9219063129,0.9585926843,0.9682782792,0.6666666667,0.04140731572,0.9607735904,0.9644370069,0.7722772277,0.03922640956,0.963648248,0.9652651618,0.815920398,0.03635175204
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,55,1200,8.15770611,0.8367413637,0.6901762373,0.6763358665,0,0.3098237627,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8530393646,0.8195907744,0.4583333333,0.1469606354
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,56,1200,11.96265592,0.8382131803,0.6901762373,0.6763358664,0,0.3098237627,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8530393646,0.8195907744,0.4583333333,0.1469606354
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,57,1200,9.070939275,0.830441966,0.6901762373,0.6763358664,0,0.3098237627,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8530393646,0.8195907744,0.4583333333,0.1469606354
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,58,1200,11.83348416,0.8319766858,0.6901762373,0.6763358664,0,0.3098237627,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8511304163,0.8181597245,0.4583333333,0.1488695837
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,59,1200,8.109051955,0.8379887603,0.6901762373,0.6763358664,0,0.3098237627,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.851702424,0.8185847023,0.4583333333,0.148297576
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,60,1200,8.003069738,0.8298935498,0.6901762373,0.6763358664,0,0.3098237627,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8530393646,0.8195907744,0.4583333333,0.1469606354
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,61,1200,7.356830583,0.836706194,0.6901762372,0.6763358663,0,0.3098237628,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8530393646,0.8195907743,0.4583333333,0.1469606354
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,62,1200,29.93168233,0.8342931762,0.6901762373,0.6763358664,0,0.3098237627,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8517024239,0.8185847023,0.4583333333,0.1482975761
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,63,1200,15.04949748,0.8344752052,0.6901762374,0.6763358665,0,0.3098237626,0.8224551214,0.7840298913,0.1666666667,0.1775448786,0.8530393646,0.8195907744,0.4583333333,0.1469606354
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Dallas,6,Dallas,64,1200,8.220644286,0.8300536595,0.6901762373,0.6763358665,0,0.3098237627,0.8178300479,0.7807082961,0.1666666667,0.1821699521,0.8512991322,0.8179053632,0.4583333333,0.1487008678
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Houston,6,Houston,52,1200,54.59604745,0.9255167539,0.9690579116,0.9798900688,0.8333333333,0.03094208839,0.9497992813,0.9601246051,0.8,0.05020071874,0.9603448377,0.9641365043,0.7916666667,0.03965516235
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Houston,6,Houston,60,1200,10.67289199,0.9245485335,0.9690579116,0.9798900688,0.8333333333,0.03094208837,0.9497992813,0.9601246051,0.8,0.05020071874,0.9603448377,0.9641365043,0.7916666667,0.03965516235
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Houston,6,Houston,61,1200,13.64904529,0.9272420077,0.9690579116,0.9798900688,0.8333333333,0.03094208837,0.9497992813,0.9601246051,0.8,0.05020071874,0.9603448377,0.9641365043,0.7916666667,0.03965516235
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,Houston,6,Houston,62,1200,12.02888271,0.9275861626,0.9690579116,0.9798900688,0.8333333333,0.03094208838,0.9497992812,0.9601246051,0.8,0.05020071875,0.9603448376,0.9641365043,0.7916666667,0.03965516236
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,98,2833,167.6548909,0.7832962569,0.9650572817,0.9758870262,0.7586206897,0.03494271834,0.9378077065,0.9470929027,0.7253521127,0.06219229347,0.9324220353,0.9396779763,0.735915493,0.0675779647
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,99,3324,51.99770592,0.6240801229,0.9348742531,0.9322805711,0.5294117647,0.06512574686,0.8903126694,0.8964026159,0.6167664671,0.1096873306,0.8941809473,0.8975491583,0.6516516517,0.1058190527
E1_parameter_light_factorized,factorized,"delay, future horizon, OD exposure, and intervention type; no eta/cost",base_train_transfer,base,base,New York,6,New York,100,3667,60.65644053,0.6774665335,0.9482158801,0.9575416761,0.5945945946,0.05178411985,0.9059024861,0.9151166292,0.6630434783,0.09409751393,0.8997169468,0.9072165566,0.6648501362,0.1002830532
