window_hours,target,feature,spearman
1,recoverable_fraction,delay_R,
1,recoverable_fraction,delay_S,
1,recoverable_fraction,early_positive_deficit_slope,
1,recoverable_fraction,early_rainy_hour_share,
2,recoverable_fraction,dynamic_rain_kernel_sum,0.24522165
2,recoverable_fraction,n_units,0.1517191502
2,recoverable_fraction,early_positive_deficit_slope,0.1422714976
2,recoverable_fraction,early_precip_max,-0.05284247101
2,recoverable_fraction,event_peak_precip_observed_so_far,-0.05284247101
2,recoverable_fraction,early_precip_mean,-0.06891044675
2,recoverable_fraction,early_precip_sum,-0.06891044675
2,recoverable_fraction,early_mean_deficit_mean,-0.09291934481
2,recoverable_fraction,early_p90_deficit_max,-0.09892183288
2,recoverable_fraction,early_last_precip,-0.1957209425
2,recoverable_fraction,early_rainy_hour_share,-0.1973272016
2,recoverable_fraction,q_density,-0.2135417692
2,recoverable_fraction,early_positive_deficit_start,-0.5069725848
2,recoverable_fraction,early_positive_deficit_max,-0.5210073909
2,recoverable_fraction,early_positive_deficit_mean,-0.5246657712
2,recoverable_fraction,early_positive_deficit_sum,-0.5246657712
2,recoverable_fraction,early_positive_deficit_last,-0.5270663171
2,recoverable_fraction,mean_a_retention,-0.5349098926
2,recoverable_fraction,early_abnormal_deficit_mean,-0.537787684
2,recoverable_fraction,city_signal_b0,-0.5415016336
2,recoverable_fraction,weighted_b0,-0.5415016336
2,recoverable_fraction,delay_C,
2,recoverable_fraction,delay_R,
2,recoverable_fraction,delay_S,
3,recoverable_fraction,dynamic_rain_kernel_sum,0.24522165
3,recoverable_fraction,early_positive_deficit_slope,0.2212384666
3,recoverable_fraction,n_units,0.1517191502
3,recoverable_fraction,early_mean_deficit_mean,-0.07617665354
3,recoverable_fraction,early_precip_max,-0.07708844944
3,recoverable_fraction,event_peak_precip_observed_so_far,-0.07708844944
3,recoverable_fraction,early_precip_mean,-0.08827930241
3,recoverable_fraction,early_precip_sum,-0.08827930241
3,recoverable_fraction,early_p90_deficit_max,-0.1189093925
3,recoverable_fraction,early_last_precip,-0.201830972
3,recoverable_fraction,q_density,-0.2135417692
3,recoverable_fraction,early_rainy_hour_share,-0.2467570876
3,recoverable_fraction,early_positive_deficit_start,-0.5069725848
3,recoverable_fraction,early_positive_deficit_last,-0.5073226852
3,recoverable_fraction,early_abnormal_deficit_mean,-0.5336927224
3,recoverable_fraction,mean_a_retention,-0.5349098926
3,recoverable_fraction,city_signal_b0,-0.5415016336
3,recoverable_fraction,weighted_b0,-0.5415016336
3,recoverable_fraction,early_positive_deficit_max,-0.5416817351
3,recoverable_fraction,early_positive_deficit_mean,-0.5444036495
3,recoverable_fraction,early_positive_deficit_sum,-0.5444036495
3,recoverable_fraction,delay_C,
3,recoverable_fraction,delay_R,
3,recoverable_fraction,delay_S,
6,recoverable_fraction,dynamic_rain_kernel_sum,0.24522165
6,recoverable_fraction,early_positive_deficit_slope,0.1837592261
