city,event_id,event_start,window_hours,recoverable_fraction,decision_criticality_score,top_5pct_value_share,marginal_value_gini,baseline_objective,event_peak_positive_abnormal_deficit,event_total_precip,n_units,q_density,mean_a_retention,dynamic_rain_kernel_sum,delay_R,delay_C,delay_S,weighted_b0,city_signal_b0,early_observed_hours,early_precip_sum,early_precip_max,early_precip_mean,early_rainy_hour_share,early_last_precip,event_peak_precip_observed_so_far,early_positive_deficit_start,early_positive_deficit_last,early_positive_deficit_max,early_positive_deficit_mean,early_positive_deficit_sum,early_positive_deficit_slope,early_abnormal_deficit_mean,early_p90_deficit_max,early_mean_deficit_mean,early_observation_count_sum,log_early_precip_sum,log_early_precip_max,log_early_positive_deficit_sum,log_early_positive_deficit_max,log_early_p90_deficit_max,log_baseline_objective,log_n_units
New York,100,2019-06-05 21:00:00,6,0.169567208,0.0177129754,0.2044100421,0.5110312076,0.06728818434,0.01875161061,0.01049869333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,6,0.02099738667,0.01049869333,0.003499564444,0.3333333333,0.01049869333,0.01049869333,0,0.001376742693,0.001376742693,0.0002294571155,0.001376742693,0.0002753485386,-0.004942880153,0.308053042,0.06410224423,691106,0.0207799796,0.01044396477,0.001375795852,0.001375795852,0.2685398042,0.06512102427,7.570958583
New York,100,2019-06-05 21:00:00,12,0.169567208,0.0177129754,0.2044100421,0.5110312076,0.06728818434,0.01875161061,0.01049869333,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,12,0.11417329,0.09317590333,0.009514440833,0.25,0,0.09317590333,0,0.01875161061,0.01875161061,0.003462243666,0.04154692399,0.001704691873,0.0008760750319,0.3663014089,0.06511156039,1382234,0.108112686,0.08908713251,0.04070703494,0.01857796654,0.3121073875,0.06512102427,7.570958583
New York,115,2019-06-20 01:00:00,1,0.1517437935,0.01727254137,0.2131626348,0.5339913536,0.01889311455,0.00338160594,0.00787402,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,1,0.00393701,0.00393701,0.00393701,1,0.00393701,0.00393701,0,0,0,0,0,0,-0.01639418872,0.1086209406,0.03063003655,115173,0.003929280258,0.003929280258,0,0,0.103116847,0.01871685625,7.570958583
New York,115,2019-06-20 01:00:00,2,0.1517437935,0.01727254137,0.2131626348,0.5339913536,0.01889311455,0.00338160594,0.00787402,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,2,0.00787402,0.00393701,0.00393701,1,0.00393701,0.00393701,0,0,0,0,0,0,-0.01548061815,0.1086209406,0.02780449326,230343,0.00784318168,0.003929280258,0,0,0.103116847,0.01871685625,7.570958583
New York,115,2019-06-20 01:00:00,3,0.1517437935,0.01727254137,0.2131626348,0.5339913536,0.01889311455,0.00338160594,0.00787402,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,3,0.00787402,0.00393701,0.002624673333,0.6666666667,0,0.00393701,0,0,0,0,0,0,-0.01355020019,0.1086209406,0.02690718809,345493,0.00784318168,0.003929280258,0,0,0.103116847,0.01871685625,7.570958583
New York,115,2019-06-20 01:00:00,6,0.1517437935,0.01727254137,0.2131626348,0.5339913536,0.01889311455,0.00338160594,0.00787402,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,6,0.01968505,0.00787402,0.003280841667,0.6666666667,0,0.00787402,0,0,0,0,0,0,-0.01014398164,0.2408712384,0.03772047964,690928,0.01949380511,0.00784318168,0,0,0.2158137445,0.01871685625,7.570958583
New York,115,2019-06-20 01:00:00,12,0.1517437935,0.01727254137,0.2131626348,0.5339913536,0.01889311455,0.00338160594,0.00787402,1940,0.1880237007,0.9068545483,0.0005168224336,2,0,1,0,0,12,0.04330711,0.02362206,0.003608925833,0.4166666667,0,0.02362206,0,0,0.00338160594,0.0004364665003,0.005237598004,0,-0.01243196,0.3228342068,0.05945020784,1381908,0.04239558138,0.02334737646,0.005223929494,0.003375901168,0.2797765612,0.01871685625,7.570958583
Chicago,154,2019-07-20 05:00:00,1,0.2164610453,0.01709188982,0.1722164847,0.4584960653,0.02404835271,0.005706766028,0.01181103,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.003390490092,0.003390490092,1,0.01181103,0.01181103,0.01181103,1,0.01181103,0.01181103,0.003390490092,0.003390490092,0.003390490092,0.003390490092,0.003390490092,0,0.003390490092,0.2638886723,0.08972366371,75768,0.01174182418,0.01174182418,0.003384755339,0.003384755339,0.2341932161,0.02376374495,6.783325201
Chicago,154,2019-07-20 05:00:00,2,0.2164610453,0.01709188982,0.1722164847,0.4584960653,0.02404835271,0.005706766028,0.01181103,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.003390490092,0.003390490092,2,0.01181103,0.01181103,0.005905515,0.5,0,0.01181103,0.003390490092,0,0.003390490092,0.001695245046,0.003390490092,-0.003390490092,0.0005208078676,0.3064589438,0.09751154673,151536,0.01174182418,0.01174182418,0.003384755339,0.003384755339,0.2673203809,0.02376374495,6.783325201
Chicago,154,2019-07-20 05:00:00,3,0.2164610453,0.01709188982,0.1722164847,0.4584960653,0.02404835271,0.005706766028,0.01181103,882,0.4333816671,0.8000622696,0.007129881557,2,0,1,0.003390490092,0.003390490092,3,0.01181103,0.01181103,0.00393701,0.3333333333,0,0.01181103,0.003390490092,0,0.003390490092,0.001130163364,0.003390490092,-0.001695245046,-7.040486514e-05,0.3959728478,0.1242532613,227304,0.01174182418,0.01174182418,0.003384755339,0.003384755339,0.3335915542,0.02376374495,6.783325201
