city,unit,t,p,b,rC,d,rS,ell,weighted_loss,scenario
Austin,3,3,0.017022245871283932,0.08977288946142954,0.0,0.08977288946142954,0.0,0.08467076583409491,0.0014412865941378708,delayed_response
Austin,167,3,0.023834286304811797,0.08490436821071862,0.0,0.08490436821071862,0.0,0.08359878671292749,0.00199251741725081,delayed_response
Austin,125,3,0.03403835624063424,0.07751466575678395,0.0,0.07751466575678395,0.0,0.08179569179627025,0.0027841908963105702,delayed_response
Austin,128,3,0.019091927492800653,0.08725184587145003,0.0,0.08725184587145003,0.0,0.0831502905250771,0.001587499317710081,delayed_response
Austin,114,3,0.02636147181034369,0.08228621916049679,0.0,0.08228621916049679,0.0,0.08379888128018903,0.0022090618466060405,delayed_response
Austin,12,3,0.03073707208611477,0.07756703401436758,0.0,0.07756703401436758,0.0,0.08058381149885123,0.0024769104230140744,delayed_response
Austin,183,3,0.01266946119720935,0.08929945007527035,0.0,0.08929945007527035,0.0,0.08481197586113819,0.0010745220372313463,delayed_response
Austin,205,3,0.0446933347994433,0.06800564669763276,0.0,0.06800564669763276,0.0023072733115912236,0.07446389413659986,0.0033280397511173602,delayed_response
Austin,89,3,0.02043906094631183,0.08226858003696569,0.0,0.08226858003696569,0.0,0.0826699528518831,0.001689696204768364,delayed_response
Austin,118,3,0.03554850136382571,0.0722554766319355,0.0,0.0722554766319355,0.0,0.07842173155701165,0.0027877750312080025,delayed_response
Austin,91,3,0.023357353056226104,0.0797828825691094,0.0,0.0797828825691094,0.0,0.08493034718943784,0.00198374810449156,delayed_response
Austin,201,3,0.02768637701317971,0.0768434204063521,0.0,0.0768434204063521,0.0,0.07863551825484154,0.002177132605030318,delayed_response
Austin,73,3,0.020764376566966773,0.08115705392095278,0.0,0.08115705392095278,0.0,0.08271387202517785,0.0017175019860426915,delayed_response
Austin,159,3,0.042770795865163774,0.06697269454044559,0.0,0.06697269454044559,0.002279972308143253,0.07952078166798093,0.00340116711975947,delayed_response
Austin,97,3,0.035517830881075005,0.07090252073413039,0.0,0.07090252073413039,0.002383053014351991,0.07454120123612655,0.002647541779176922,delayed_response
Austin,59,3,0.03528372307758902,0.07006384336117244,0.0,0.07006384336117244,0.0,0.07905900561708279,0.002789496060982704,delayed_response
Austin,7,3,0.02684519664208184,0.07464552099025203,0.0,0.07464552099025203,0.0,0.08367712637360383,0.0022463289119437273,delayed_response
Austin,98,3,0.03459572547355847,0.0697255745979698,0.0,0.0697255745979698,0.0,0.07977461561192098,0.00275986070146867,delayed_response
Austin,163,3,0.03134480783886641,0.0717157227991487,0.0,0.0717157227991487,0.0,0.07790689409251021,0.0024419766246526493,delayed_response
Austin,39,3,0.019836339935300068,0.07845268056691694,0.0,0.07845268056691694,0.0,0.0832091670593808,0.0016505653235230505,delayed_response
Austin,40,3,0.023784810265494078,0.07583939575591535,0.0,0.07583939575591535,0.0,0.08134841870552757,0.0019348567043089428,delayed_response
Austin,2,3,0.017800372231019816,0.07969926159400881,0.0,0.07969926159400881,0.0,0.08072198700700672,0.001436881415952265,delayed_response
Austin,35,3,0.020264322207019018,0.07770518331872278,0.0,0.07770518331872278,0.0,0.08019049648045659,0.0016250060586207968,delayed_response
Austin,42,3,0.03175226407926154,0.07006795911747558,0.0,0.07006795911747558,0.0,0.07799257243293015,0.0024764407561113314,delayed_response
Austin,67,3,0.017347183686504664,0.07913232917838503,0.0,0.07913232917838503,0.0,0.08036698324327472,0.0013941408206513289,delayed_response
Austin,120,3,0.02521097357508036,0.07376424749443233,0.0,0.07376424749443233,0.0,0.07950507553741437,0.0020044003584585215,delayed_response
Austin,63,4,0.02282223947157894,0.10542971035451947,0.00949015546693915,0.09593955488758031,0.0,0.0820020472882668,0.0018714703603725652,delayed_response
Austin,16,4,0.05100623270149336,0.08012176422693992,0.007889362388470997,0.07223240183846892,0.0040442943557060925,0.07096275902790576,0.0036195430001173604,delayed_response
Austin,80,4,0.039080396500033844,0.07490668162771269,0.0,0.07490668162771269,0.0038599455432044736,0.07256821040661406,0.0028359944359883597,delayed_response
Austin,165,4,0.02942483594833732,0.08078120468795195,0.0,0.08078120468795195,0.0,0.0778381532339347,0.0022903748894300704,delayed_response
Austin,177,4,0.04394081163246698,0.07090721937404972,0.0,0.07090721937404972,0.003714443506279441,0.07212978300294808,0.0031694412080232595,delayed_response
Austin,14,4,0.03330044768852163,0.07647230971286476,0.0,0.07647230971286476,0.0,0.0750179576417185,0.002498131574147778,delayed_response
Austin,105,4,0.025689031582639753,0.08041067907950487,0.0031156483852964752,0.0772950306942084,0.0,0.07642265594592998,0.001963224022224207,delayed_response
Austin,184,4,0.0333430918620842,0.0733117215801649,0.0,0.0733117215801649,0.0,0.07304815872704273,0.0024356514667918934,delayed_response
Austin,144,4,0.0227947421056781,0.07966406329946402,0.0,0.07966406329946402,0.0,0.07630993315686835,0.0017394652464123484,delayed_response
Austin,3,4,0.017022245871283932,0.08271225856419716,0.0,0.08271225856419716,0.0,0.0775207046512261,0.0013195764946883546,delayed_response
Austin,167,4,0.023834286304811797,0.07784509722629325,0.0,0.07784509722629325,0.0,0.07623163058515113,0.0018169265088491396,delayed_response
Austin,125,4,0.03403835624063424,0.07052155327543265,0.0,0.07052155327543265,0.0,0.07448690471564279,0.002535411797973228,delayed_response
Austin,128,4,0.019091927492800653,0.08018781024083452,0.0,0.08018781024083452,0.0,0.0759970172946782,0.0014509295438591135,delayed_response
Austin,114,4,0.02636147181034369,0.07524141904522338,0.0,0.07524141904522338,0.0,0.07637224880939822,0.0020132848840815057,delayed_response
Austin,12,4,0.03073707208611477,0.07057317421051745,0.0,0.07057317421051745,0.0,0.07345935853770313,0.002257925598773132,delayed_response
Austin,183,4,0.01266946119720935,0.08223751229797681,0.0,0.08223751229797681,0.0,0.0776448868655415,0.0009837188813046878,delayed_response
Austin,205,4,0.0446933347994433,0.061216462314079775,0.0,0.061216462314079775,0.003345546301807274,0.06639302557284991,0.0029673257202753817,delayed_response
Austin,89,4,0.02043906094631183,0.07522391048041933,0.0,0.07522391048041933,0.0,0.0755793391302163,0.0015447707187644616,delayed_response
Austin,118,4,0.03554850136382571,0.06535818982251358,0.0,0.06535818982251358,0.0,0.07138049375683617,0.002537469579665443,delayed_response
Austin,91,4,0.023357353056226104,0.07276108155260119,0.0,0.07276108155260119,0.0,0.07727750825105907,0.0018049980435254126,delayed_response
Austin,201,4,0.02768637701317971,0.0698602447385956,0.0,0.0698602447385956,0.0,0.07157724065278262,0.001981714470276033,delayed_response
Austin,73,4,0.020764376566966773,0.07412151069567156,0.0,0.07412151069567156,0.0,0.07542704086373571,0.001566195479826599,delayed_response
Austin,159,4,0.042770795865163774,0.060214021549757926,0.0,0.060214021549757926,0.0033059598468077166,0.071000101242558,0.003036730836651409,delayed_response
