city,unit,t,intervention,u,e,cost,effective_cost,scenario
Chicago,719,2,R,0.0,0.0,1.4936809720024946,0.0,base
Chicago,719,2,C,0.0,0.0,1.0157030609616964,0.0,base
Chicago,719,2,S,0.0,0.0,0.7767141054412973,0.0,base
Chicago,463,2,R,0.0,0.0,1.4718625651331045,0.0,base
Chicago,463,2,C,0.0,0.0,1.0008665442905111,0.0,base
Chicago,463,2,S,0.0,0.0,0.7653685338692144,0.0,base
Chicago,773,2,R,0.0,0.0,1.4002997097283743,0.0,base
Chicago,773,2,C,0.0,0.0,0.9522038026152945,0.0,base
Chicago,773,2,S,0.0,0.0,0.7281558490587546,0.0,base
Chicago,700,2,R,0.0,0.0,1.4553635637411522,0.0,base
Chicago,700,2,C,0.0,0.0,0.9896472233439835,0.0,base
Chicago,700,2,S,0.0,0.0,0.7567890531453991,0.0,base
Chicago,551,2,R,0.0,0.0,1.368436848287241,0.0,base
Chicago,551,2,C,0.0,0.0,0.930537056835324,0.0,base
Chicago,551,2,S,0.0,0.0,0.7115871611093654,0.0,base
Chicago,173,2,R,0.0,0.0,1.4472863570955528,0.0,base
Chicago,173,2,C,0.0,0.0,0.9841547228249758,0.0,base
Chicago,173,2,S,0.0,0.0,0.7525889056896874,0.0,base
Chicago,31,2,R,0.0,0.0,1.3905257302228966,0.0,base
Chicago,31,2,C,0.0,0.0,0.9455574965515696,0.0,base
Chicago,31,2,S,0.0,0.0,0.7230733797159062,0.0,base
Chicago,823,2,R,0.0,0.0,1.3891457839458403,0.0,base
Chicago,823,2,C,0.0,0.0,0.9446191330831715,0.0,base
Chicago,823,2,S,0.0,0.0,0.722355807651837,0.0,base
Chicago,257,2,R,0.0,0.0,1.4119094166469726,0.0,base
Chicago,257,2,C,0.0,0.0,0.9600984033199413,0.0,base
Chicago,257,2,S,0.0,0.0,0.7341928966564257,0.0,base
Chicago,396,2,R,0.0,0.0,1.3983019896715043,0.0,base
Chicago,396,2,C,0.0,0.0,0.9508453529766229,0.0,base
Chicago,396,2,S,0.0,0.0,0.7271170346291823,0.0,base
Chicago,64,2,R,0.0,0.0,1.3783971118624105,0.0,base
Chicago,64,2,C,0.0,0.0,0.9373100360664391,0.0,base
Chicago,64,2,S,0.0,0.0,0.7167664981684535,0.0,base
Chicago,625,2,R,0.0,0.0,1.3879412024342286,0.0,base
Chicago,625,2,C,0.0,0.0,0.9438000176552754,0.0,base
Chicago,625,2,S,0.0,0.0,0.7217294252657989,0.0,base
Chicago,50,2,R,0.0,0.0,1.3133886214887147,0.0,base
Chicago,50,2,C,0.0,0.0,0.893104262612326,0.0,base
Chicago,50,2,S,0.0,0.0,0.6829620831741317,0.0,base
Chicago,516,2,R,0.0,0.0,1.34607185898775,0.0,base
Chicago,516,2,C,0.0,0.0,0.9153288641116701,0.0,base
Chicago,516,2,S,0.0,0.0,0.6999573666736301,0.0,base
Chicago,793,2,R,0.0,0.0,1.4107773985945755,0.0,base
Chicago,793,2,C,0.0,0.0,0.9593286310443112,0.0,base
Chicago,793,2,S,0.0,0.0,0.7336042472691793,0.0,base
Chicago,282,2,R,0.0,0.0,1.4059823727891585,0.0,base
Chicago,282,2,C,0.0,0.0,0.9560680134966277,0.0,base
Chicago,282,2,S,0.0,0.0,0.7311108338503625,0.0,base
Chicago,881,2,R,0.0,0.0,1.3205755073823278,0.0,base
Chicago,881,2,C,0.0,0.0,0.8979913450199829,0.0,base
Chicago,881,2,S,0.0,0.0,0.6866992638388104,0.0,base
