city,budget_intensity,delay_name,delay_R,delay_C,delay_S,baseline_objective,optimized_objective,recoverable_fraction,total_budget,weighted_b0
Chicago,0.75,base,2,0,1,3.105858167067098,2.6183440836480014,0.1569659840196317,11.099373385129013,0.3408760438661845
Chicago,0.75,slow,4,2,2,3.105858167067098,2.6708123775082404,0.14007265179455275,11.099373385129013,0.3408760438661845
Chicago,1.0,fast,0,0,0,3.105858167067098,2.40696363108306,0.2250246142579051,14.799164513505351,0.3408760438661845
Chicago,1.0,base,2,0,1,3.105858167067098,2.4851164881100702,0.19986156661596755,14.799164513505351,0.3408760438661845
Chicago,1.0,slow,4,2,2,3.105858167067098,2.5510552460623823,0.17863111937549392,14.799164513505351,0.3408760438661845
New York,0.06,fast,0,0,0,1.3877016328423497,1.3645700836354318,0.016668964465754055,0.43341332693578083,0.1625164107325184
New York,0.06,base,2,0,1,1.3877016328423497,1.3649383975204772,0.016403551587128917,0.43341332693578083,0.1625164107325184
New York,0.06,slow,4,2,2,1.3877016328423497,1.3653094035786435,0.016136198685477887,0.43341332693578083,0.1625164107325184
New York,0.12,fast,0,0,0,1.3877016328423497,1.3451646037313294,0.03065286377439369,0.8668266538715617,0.1625164107325184
New York,0.12,base,2,0,1,1.3877016328423497,1.3460496912028759,0.03001505558090367,0.8668266538715617,0.1625164107325184
New York,0.12,slow,4,2,2,1.3877016328423497,1.3469121825220336,0.02939353053636562,0.8668266538715617,0.1625164107325184
New York,0.18,fast,0,0,0,1.3877016328423497,1.326853710315713,0.04384798654593025,1.3002399808073424,0.1625164107325184
New York,0.18,base,2,0,1,1.3877016328423497,1.329190468116121,0.04216408148658268,1.3002399808073424,0.1625164107325184
New York,0.18,slow,4,2,2,1.3877016328423497,1.3310348541060049,0.04083498743190028,1.3002399808073424,0.1625164107325184
New York,0.24,fast,0,0,0,1.3877016328423497,1.3094160282242173,0.05641385926583109,1.7336533077431233,0.1625164107325184
New York,0.24,base,2,0,1,1.3877016328423497,1.3133031268321957,0.05361275381493047,1.7336533077431233,0.1625164107325184
New York,0.24,slow,4,2,2,1.3877016328423497,1.3164645030296085,0.0513346155447193,1.7336533077431233,0.1625164107325184
New York,0.3,fast,0,0,0,1.3877016328423497,1.2926351388687276,0.06850643663141254,2.1670666346789043,0.1625164107325184
New York,0.3,base,2,0,1,1.3877016328423497,1.2979934503152257,0.06464515166951257,2.1670666346789043,0.1625164107325184
New York,0.3,slow,4,2,2,1.3877016328423497,1.3023605425506175,0.061498155130748744,2.1670666346789043,0.1625164107325184
New York,0.5,fast,0,0,0,1.3877016328423497,1.2387421026871221,0.10734262079819157,3.61177772446484,0.1625164107325184
New York,0.5,base,2,0,1,1.3877016328423497,1.249607909292297,0.09951254670444054,3.61177772446484,0.1625164107325184
New York,0.5,slow,4,2,2,1.3877016328423497,1.2585358600480652,0.09307892254167183,3.61177772446484,0.1625164107325184
New York,0.75,fast,0,0,0,1.3877016328423497,1.1737554489082551,0.15417304330461934,5.41766658669726,0.1625164107325184
New York,0.75,base,2,0,1,1.3877016328423497,1.1917852515056289,0.14118047907419162,5.41766658669726,0.1625164107325184
New York,0.75,slow,4,2,2,1.3877016328423497,1.2054591555877978,0.1313268450086602,5.41766658669726,0.1625164107325184
New York,1.0,fast,0,0,0,1.3877016328423497,1.1104826908755518,0.1997684051138473,7.22355544892968,0.1625164107325184
New York,1.0,base,2,0,1,1.3877016328423497,1.135343099977445,0.18185359654583189,7.22355544892968,0.1625164107325184
New York,1.0,slow,4,2,2,1.3877016328423497,1.1543527667148314,0.16815492653818032,7.22355544892968,0.1625164107325184
Houston,0.06,fast,0,0,0,0.6796610664763543,0.6643392694640291,0.022543290719534315,0.24209502513679693,0.09261884158709238
Houston,0.06,base,2,0,1,0.6796610664763543,0.6651050332272419,0.021416605962993995,0.24209502513679693,0.09261884158709238
Houston,0.06,slow,4,2,2,0.6796610664763543,0.6656170704703531,0.02066323451306551,0.24209502513679693,0.09261884158709238
Houston,0.12,fast,0,0,0,0.6796610664763543,0.6528000457928428,0.03952119962199718,0.48419005027359385,0.09261884158709238
Houston,0.12,base,2,0,1,0.6796610664763543,0.6543338401115454,0.03726449492850281,0.48419005027359385,0.09261884158709238
Houston,0.12,slow,4,2,2,0.6796610664763543,0.6551998673418555,0.03599029036827983,0.48419005027359385,0.09261884158709238
Houston,0.18,fast,0,0,0,0.6796610664763543,0.6415593819624393,0.0560598309852437,0.7262850754103907,0.09261884158709238
Houston,0.18,base,2,0,1,0.6796610664763543,0.6437517177238388,0.05283420005015804,0.7262850754103907,0.09261884158709238
Houston,0.18,slow,4,2,2,0.6796610664763543,0.645123925513964,0.05081524110457758,0.7262850754103907,0.09261884158709238
Houston,0.24,fast,0,0,0,0.6796610664763543,0.6305877146719743,0.07220268193203516,0.9683801005471877,0.09261884158709238
Houston,0.24,base,2,0,1,0.6796610664763543,0.6333561290063884,0.06812945415577498,0.9683801005471877,0.09261884158709238
Houston,0.24,slow,4,2,2,0.6796610664763543,0.6355013480312296,0.06497314709236923,0.9683801005471877,0.09261884158709238
