city,status,objective,runtime_seconds,n_units,horizon,initial_mean_b,final_weighted_b,final_weighted_ell,total_intervention_cost,total_budget,mean_period_budget,total_u_C,total_e_C,total_cost_C,cap_utilization_C,total_u_R,total_e_R,total_cost_R,cap_utilization_R,total_u_S,total_e_S,total_cost_S,cap_utilization_S,baseline_objective,recoverable_fraction,scenario,optimized_objective,budget_intensity
Houston,OPTIMAL,0.6291129358894706,0.03800010681152344,35,12,0.09261884158709238,0.02069242317397268,0.02041893431620008,1.2104751256839847,1.2104751256839847,0.3389330351915158,0.5193036489596579,0.1628172429289304,0.5118861398880533,0.03143884488004806,0.388884508899581,0.07850835569530354,0.5648940073594667,0.010089951178748639,0.1854323041550116,0.05992429586753567,0.13369497843646497,0.02405602245742929,0.6796610664763543,0.07437255579306057,high_budget,0.6291129358894706,0.3
Houston,OPTIMAL,0.5703873198060211,0.05099987983703613,35,12,0.09261884158709238,0.018451564160481573,0.016562608905410198,3.026187814209958,3.0261878142099614,0.8473325879787893,1.0263008093198063,0.318751070294579,0.9993976742660176,0.062132650153936694,1.1283000654766697,0.21835106763177672,1.6257161917600809,0.029274739196613848,0.5652392341509241,0.19999367817443925,0.401073948183859,0.07332814944254831,0.6796610664763543,0.1607768225372298,very_high_budget,0.5703873198060211,0.75
Houston,OPTIMAL,0.6496978365521021,0.03000020980834961,35,12,0.09261884158709238,0.021415641033698047,0.02124767294473535,0.7262850754103909,0.7262850754103907,0.20335982111490938,0.43120307445793116,0.1347966465049508,0.42343126951886323,0.026105201834882255,0.1256207635275263,0.02546522805200068,0.1834471638265,0.0032593413777692233,0.16559079655851786,0.05356156688394841,0.11940664206502777,0.021481995485669807,0.6796610664763543,0.04408554705008194,delayed_response,0.6496978365521021,0.18
Houston,OPTIMAL,0.6453884909377157,0.039999961853027344,35,12,0.09261884158709238,0.021105606756163745,0.02149642187499398,0.7262850754103904,0.7262850754103907,0.20335982111490938,0.20898103632437018,0.06574236337892868,0.2068887486228064,0.012651793217774912,0.32007689251742516,0.06473994207924788,0.4660785362589237,0.0083046769543097,0.07342566930341923,0.02795693070062357,0.053317790528660404,0.009525468379221946,0.6796610664763543,0.050425980285029315,fast_response,0.6453884909377157,0.18
Austin,OPTIMAL,0.8116125566500366,0.039999961853027344,35,12,0.1004544868496215,0.031952815950758974,0.03299426421658635,0.7986328236812643,0.7986328236812643,0.22361719063075394,0.1607592682146666,0.05176448436512265,0.16397445357895993,0.008695159147138413,0.3292606223237241,0.06238759761534688,0.4884010930304775,0.007632459774310143,0.2194768072611039,0.07826965945281515,0.14625727707182692,0.0254380236997702,0.8514459392174984,0.04678321985312395,base,0.8116125566500366,0.18
Austin,OPTIMAL,0.8290721624732317,0.03400015830993652,35,12,0.1004544868496215,0.03241145255745235,0.03412450277243739,0.3993164118406322,0.39931641184063216,0.11180859531537697,0.14289712730192586,0.04601287499122013,0.14575506984796438,0.007729030353011923,0.1667133151855802,0.0345096562434151,0.25006997277837034,0.0038645151765059607,0.004960041348700229,0.0018439796468621684,0.003491369214297463,0.00057488374719235,0.8514459392174984,0.026277389689389863,low_budget,0.8290721624732317,0.09
Austin,OPTIMAL,0.7916068371677487,0.0410001277923584,35,12,0.1004544868496215,0.03118877965403273,0.03140019065232198,1.3310547061354407,1.3310547061354407,0.37269531771792347,0.30725871361013507,0.09577942120129296,0.3006219741014094,0.016619031946684387,0.5622797927564371,0.10561916543864826,0.8155671057349723,0.013033984658820013,0.32114581701294975,0.11487291576325312,0.21486562629905911,0.037221768469315894,0.8514459392174984,0.07027939096725677,high_budget,0.7916068371677487,0.3
Austin,OPTIMAL,0.7264751382243279,0.046000003814697266,35,12,0.1004544868496215,0.02979077506132994,0.02836137820129532,3.3276367653385996,3.3276367653386014,0.9317382942948084,1.1680510794234529,0.34167539235313876,1.1051031582909312,0.06317763286911462,1.1838015705214762,0.2235422093480356,1.6605200693998947,0.027441234253900396,0.8468467553493393,0.3010660966815911,0.5620135376477736,0.09815209224828068,0.8514459392174984,0.1467747924290086,very_high_budget,0.7264751382243279,0.75
Austin,OPTIMAL,0.8164593027991446,0.03399991989135742,35,12,0.1004544868496215,0.03208466702620695,0.032937825449168456,0.7986328236812643,0.7986328236812643,0.22361719063075394,0.2393810139998318,0.07471333895231097,0.2345865132213063,0.012947657927581983,0.24443974466418644,0.04720849235754701,0.3621192089182994,0.005666260681964393,0.30233233087498607,0.10800156226646183,0.20192710154165855,0.035041228701925026,0.8514459392174984,0.04109084888056136,delayed_response,0.8164593027991446,0.18
Austin,OPTIMAL,0.8070034676872209,0.037000179290771484,35,12,0.1004544868496215,0.03190208650837233,0.032869494958484985,0.7986328236812645,0.7986328236812643,0.22361719063075394,0.1607592682146666,0.05176448436512265,0.16397445357895993,0.008695159147138413,0.3950796019279045,0.07451299197824876,0.5871295624367482,0.009158183411317465,0.06752217734812582,0.025102516690589542,0.047528807665556366,0.00782602393882241,0.8514459392174984,0.05219646895153607,fast_response,0.8070034676872209,0.18
San Antonio,OPTIMAL,0.7575751465492911,0.03399991989135742,35,12,0.0936665653316798,0.030993691529000233,0.03166247063340455,0.7367981430342838,0.7367981430342834,0.20630348004959934,0.19981523261118095,0.06356337465650075,0.200666010084097,0.01193228998696285,0.2882150902317777,0.05873942494098981,0.4237939433385168,0.007376241662980196,0.15507505851429584,0.05893641342471373,0.11233818961166991,0.019844053040081258,0.789462086575632,0.04039071738663669,base,0.7575751465492911,0.18
San Antonio,OPTIMAL,0.7726743028666521,0.03399991989135742,35,12,0.0936665653316798,0.031507934775594174,0.03243904203247182,0.36839907151714174,0.3683990715171417,0.10315174002479967,0.04221719244096838,0.01359393596599182,0.04306153628978775,0.0025210679689335294,0.1661927084334432,0.034087813039830384,0.24638093666968006,0.004253342803960937,0.10845824821293978,0.041376415366923644,0.07895659855767398,0.01387877103379243,0.789462086575632,0.021264838419028487,low_budget,0.7726743028666521,0.09
San Antonio,OPTIMAL,0.7391506698895206,0.03699994087219238,35,12,0.0936665653316798,0.03040443507940101,0.03062924994031042,1.2279969050571384,1.227996905057139,0.343839133415999,0.39277163807380544,0.12386279250690817,0.3900641007880024,0.023454994010745987,0.45929859006036766,0.09287091553555385,0.6685414720633085,0.011754753691164663,0.23795666717417133,0.08922924638393957,0.16939133220582756,0.030449930310423912,0.789462086575632,0.06372873066563844,high_budget,0.7391506698895206,0.3
San Antonio,OPTIMAL,0.6792950471496448,0.039999961853027344,35,12,0.0936665653316798,0.028131520117912888,0.026592954363392124,3.069992262642851,3.069992262642848,0.8595978335399974,0.9368298247830739,0.28979468153045906,0.9075433558395108,0.0559443091083023,1.216658360133894,0.2321402395093559,1.7437645585028994,0.031137738410628533,0.5969535185720745,0.221317496611773,0.41868434830044093,0.07638866880656593,0.789462086575632,0.13954696659829136,very_high_budget,0.6792950471496448,0.75
San Antonio,OPTIMAL,0.7604772382555813,0.03099989891052246,35,12,0.0936665653316798,0.03141964711998654,0.03181706981926846,0.7367981430342836,0.7367981430342834,0.20630348004959934,0.33376080626252014,0.10513015577354422,0.3309612592137744,0.0199310666887769,0.16800719187415455,0.0342800121435552,0.2474045232335023,0.004299780581876728,0.22297103266793117,0.08349226482627364,0.15843236058700683,0.028532305846308767,0.789462086575632,0.03671468055644733,delayed_response,0.7604772382555813,0.18
San Antonio,OPTIMAL,0.7542402440647501,0.032000064849853516,35,12,0.0936665653316798,0.030675974722680646,0.03144396866482398,0.7367981430342835,0.7367981430342834,0.20630348004959934,0.025192436871576893,0.00811196467264776,0.02569628560900843,0.0015044071380426378,0.42075694275161735,0.08554786944757961,0.61679450947923,0.01076836361557886,0.12917783625425555,0.04938872041968869,0.09430734794604521,0.016530136172710628,0.789462086575632,0.04461498925636831,fast_response,0.7542402440647501,0.18
