city,n_units,horizon,q_nnz,q_density,mean_b0,weighted_b0,max_b0,mean_a_retention,total_disturbance,total_budget,mean_period_budget,delay_R,delay_C,delay_S,q_row_sum_min,q_row_sum_max,pwl_enabled,scenario_type,event_id,event_start,event_end,event_total_precip,event_peak_precip,event_peak_positive_abnormal_deficit,city_signal_b0,city_signal_h_total,city_signal_h_peak,dynamic_a_retention,dynamic_rain_kernel_sum,h_observed_innovation_steps,h_rain_kernel_fallback_steps,h_signal_source,scenario
Chicago,882,12,337138,0.4333816671037273,0.0035111105635444,0.0036022025521834,0.0050017752592893,0.800062269565398,12.295652291063684,3.46330165682473,0.9697244639109246,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,150,2019-07-16 04:00:00,2019-07-16 04:00:00,0.05905515,0.05905515,0.0144179002132126,0.0036022025521834,0.0143023240025156,0.0097626548597098,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0006202139576938,0.0006363047420098,0.0008835298042928,0.800062269565398,12.847190321551947,3.0136992822535245,0.843835799030987,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,152,2019-07-17 19:00:00,2019-07-17 19:00:00,0.27952771,0.27952771,0.0133421014371372,0.0006363047420099,0.0149438739931156,0.0133421014371372,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0354533165067908,0.0363731146863129,0.0505052513027125,0.800062269565398,44.202488786669385,16.981270637773264,4.754755778576516,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,153,2019-07-18 08:00:00,2019-07-18 13:00:00,1.42913463,0.48031522,0.041306707548312,0.0363731146863129,0.0514164113768885,0.0124172355874569,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0033047518577666,0.0033904900916485,0.004707805630473,0.800062269565398,5.155594768463905,1.815836829078174,0.5084343121418887,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,154,2019-07-20 05:00:00,2019-07-20 05:00:00,0.01181103,0.01181103,0.0057067660278796,0.0033904900916485,0.0059969967480161,0.0057067660278796,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.025525648271155,0.0261878837719278,0.0363627273164247,0.800062269565398,2.761147238133656,5.686823027990801,1.5923104478374246,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,155,2019-07-21 12:00:00,2019-07-21 13:00:00,0.2519686399999999,0.24015761,0.0261878837719278,0.0261878837719278,0.003211771241054,0.0019725683783877,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0135083212251052,0.0138587800959662,0.0192433663581522,0.800062269565398,1.9925430701767208,3.129048537911893,0.8761335906153301,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,156,2019-07-21 15:00:00,2019-07-21 16:00:00,0.07086618,0.05118113,0.0046350419280006,0.0138587800959663,0.0023177295440719,0.0010785266814056,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0220640891671004,0.022636518238576,0.0314315409091958,0.800062269565398,34.21649692618222,12.077330303602086,3.3816524850085847,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,157,2019-07-29 10:00:00,2019-07-29 11:00:00,0.09055123,0.0787402,0.0336231538179615,0.022636518238576,0.0398006883803156,0.0205999321042894,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0327728962599199,0.0336231538179615,0.0466868413060295,0.800062269565398,14.447564199169705,9.754483207594296,2.731255298126403,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,158,2019-07-29 13:00:00,2019-07-29 15:00:00,0.41338605,0.38188997,0.0336231538179615,0.0336231538179615,0.0168054316543946,0.0120366469083112,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Chicago,882,12,337138,0.4333816671037273,0.0196380110919036,0.0201474981760896,0.027975455697976,0.800062269565398,9.377919945546562,6.007195288936257,1.6820146809021523,2,0,1,0.9999999999999982,1.000000000000002,True,observed_rainfall_event,159,2019-07-29 17:00:00,2019-07-29 18:00:00,0.18110246,0.14960638,0.0184815991140099,0.0201474981760896,0.0109084126938383,0.0046708041418406,0.7942534536841872,0.0071298815569445,12,0,observed_innovation,base
Dallas,366,12,87499,0.6531920929260354,0.0382232602698237,0.0392179364303435,0.0508681987481265,0.966450576001841,9.225237990270184,5.223364031030776,1.4625419286886174,2,0,1,0.9999999999999988,1.0000000000000009,True,observed_rainfall_event,55,2019-04-17 11:00:00,2019-04-17 12:00:00,0.0157480399999999,0.009842525,0.0438598386249286,0.0392179364303435,0.0258614876777961,0.0088631488133985,0.9558410649350446,0.0053847864087424,12,0,observed_innovation,base
