city,status,objective,runtime_seconds,n_units,horizon,initial_mean_b,final_weighted_b,final_weighted_ell,total_intervention_cost,total_budget,mean_period_budget,total_u_C,total_e_C,total_cost_C,cap_utilization_C,total_u_R,total_e_R,total_cost_R,cap_utilization_R,total_u_S,total_e_S,total_cost_S,cap_utilization_S,baseline_objective,recoverable_fraction,scenario_type,event_id,event_start,event_end,event_total_precip,event_peak_precip,event_peak_positive_abnormal_deficit,city_signal_b0,city_signal_h_total,city_signal_h_peak,dynamic_a_retention,dynamic_rain_kernel_sum,h_observed_innovation_steps,h_rain_kernel_fallback_steps,h_signal_source,scenario,optimized_objective,weighted_b0,weighted_h_total,weighted_h_peak,budget_intensity,error
Chicago,OPTIMAL,0.3078286765033104,13.098000049591064,882.0,12.0,0.0363731146863129,0.0236498696080254,0.0226934882627526,16.981270637773285,16.981270637773264,4.754755778576516,10.770478040090868,3.0394304436219963,9.999541200919415,0.0274293189795399,3.3138881101187927,0.6382604376034228,4.660213065748356,0.0036169383050039,3.4245646358292143,1.2237455415840224,2.321516371105514,0.0186886801812517,0.3599332251655771,0.1447617086149726,observed_rainfall_event,153,2019-07-18 08:00:00,2019-07-18 13:00:00,1.42913463,0.48031522,0.041306707548312,0.0363731146863129,0.0514164113768885,0.0124172355874569,0.7942534536841872,0.0071298815569445,12.0,0.0,observed_innovation,base,0.3078286765033104,0.0363731146863129,0.0514164113768885,0.0124172355874569,0.18,
Chicago,OPTIMAL,0.0188428211433612,246.25499987602237,882.0,12.0,0.0033904900916485,0.0059867410418137,0.0060545594101489,1.8158368290781748,1.815836829078174,0.5084343121418887,1.3310593219123084,0.3824085035181674,1.2166947965154788,0.0144781440382365,0.0201324129908147,0.0041226118386442,0.0297838264264595,9.385005407342444e-05,0.8610250886299466,0.3046113169639849,0.5693582061362363,0.0200689433411095,0.0240483527073767,0.2164610452681331,observed_rainfall_event,154,2019-07-20 05:00:00,2019-07-20 05:00:00,0.01181103,0.01181103,0.0057067660278796,0.0033904900916485,0.0059969967480161,0.0057067660278796,0.7942534536841872,0.0071298815569445,12.0,0.0,observed_innovation,base,0.0188428211433612,0.0033904900916485,0.0059969967480161,0.0057067660278795,0.18,
Chicago,OPTIMAL,0.1250188178432033,40.08800005912781,882.0,12.0,0.0261878837719278,0.0028594550576678,0.0024777216687114,5.686823027990812,5.686823027990801,1.5923104478374246,3.581474322231085,1.0137687554428818,3.306246117763025,0.0272359392870535,1.0577797606430228,0.2032029069394973,1.4837356007360312,0.0034474579956941,1.3257596010037689,0.4698117566951909,0.8968413094917557,0.0216042162409609,0.1421726612597469,0.1206550068385073,observed_rainfall_event,155,2019-07-21 12:00:00,2019-07-21 13:00:00,0.2519686399999999,0.24015761,0.0261878837719278,0.0261878837719278,0.003211771241054,0.0019725683783877,0.7942534536841872,0.0071298815569445,12.0,0.0,observed_innovation,base,0.1250188178432033,0.0261878837719278,0.003211771241054,0.0019725683783877,0.18,
Chicago,OPTIMAL,0.0663487823217049,65.5460000038147,882.0,12.0,0.0138587800959662,0.0020971439434027,0.0018606994687068,3.129048537911882,3.129048537911893,0.8761335906153301,2.001471507158014,0.5740041131570531,1.852219744769605,0.0217570384503239,0.5726055767758743,0.111005773681664,0.8046045247953603,0.0026676518836039,0.6990098653893145,0.2493929253407711,0.4722242683469168,0.0162827176305463,0.0759688096103,0.126631275887345,observed_rainfall_event,156,2019-07-21 15:00:00,2019-07-21 16:00:00,0.07086618,0.05118113,0.0046350419280006,0.0138587800959663,0.0023177295440719,0.0010785266814056,0.7942534536841872,0.0071298815569445,12.0,0.0,observed_innovation,base,0.0663487823217049,0.0138587800959662,0.0023177295440719,0.0010785266814056,0.18,
Chicago,OPTIMAL,0.2447975062904386,16.564000129699707,882.0,12.0,0.022636518238576,0.0103389150270426,0.0095300415548576,12.07733030360208,12.077330303602086,3.3816524850085847,7.159679018745428,2.0147786464871373,6.6741442163415785,0.0256373325926122,2.8610370203966307,0.5512590469683176,4.062361932623099,0.0043906212710479,1.963870882133233,0.7037671361394084,1.3408241546374031,0.0150690347716829,0.2829050771087322,0.1347009081906554,observed_rainfall_event,157,2019-07-29 10:00:00,2019-07-29 11:00:00,0.09055123,0.0787402,0.0336231538179615,0.022636518238576,0.0398006883803156,0.0205999321042894,0.7942534536841872,0.0071298815569445,12.0,0.0,observed_innovation,base,0.2447975062904386,0.022636518238576,0.0398006883803156,0.0205999321042894,0.18,
Chicago,OPTIMAL,0.2112211119682626,15.16099977493286,882.0,12.0,0.0336231538179615,0.0053767984155839,0.0047563572316927,9.754483207594305,9.754483207594296,2.731255298126403,5.888375440061946,1.6605894660762042,5.461714833687708,0.0261060674754026,2.1711031074325637,0.4168016023030656,3.0629010687915383,0.0041252438660564,1.808851558271316,0.6474037447343866,1.2298673051150557,0.0171847061749858,0.2414585391663944,0.1252282371231216,observed_rainfall_event,158,2019-07-29 13:00:00,2019-07-29 15:00:00,0.41338605,0.38188997,0.0336231538179615,0.0336231538179615,0.0168054316543946,0.0120366469083112,0.7942534536841872,0.0071298815569445,12.0,0.0,observed_innovation,base,0.2112211119682626,0.0336231538179615,0.0168054316543946,0.0120366469083112,0.18,
Chicago,OPTIMAL,0.1076472382951268,29.628000020980835,882.0,12.0,0.0201474981760896,0.0088559674829173,0.00856553692947,6.007195288936232,6.007195288936257,1.6820146809021523,3.827664135570041,1.0851788387330474,3.525629814743755,0.0275557541381066,1.0164693454521143,0.1965727026480752,1.4264361183115355,0.0031361438778486,1.5665784284663968,0.55485175558499,1.0551293558809411,0.0241670610608497,0.1254807080269178,0.1421212074127396,observed_rainfall_event,159,2019-07-29 17:00:00,2019-07-29 18:00:00,0.18110246,0.14960638,0.0184815991140099,0.0201474981760896,0.0109084126938383,0.0046708041418406,0.7942534536841872,0.0071298815569445,12.0,0.0,observed_innovation,base,0.1076472382951268,0.0201474981760896,0.0109084126938383,0.0046708041418406,0.18,
Dallas,OPTIMAL,0.5893344888856783,2.2220001220703125,366.0,12.0,0.0392179364303435,0.0456265167246834,0.0466776020190535,5.223364031030774,5.223364031030776,1.4625419286886174,0.8327370845911303,0.2639954597101687,0.8326108772403389,0.0070886055398524,2.9652576245029127,0.5651543073443617,4.272249768690261,0.0108177900906116,0.1625912399961574,0.0620838697901184,0.1185033851001734,0.0029658095983237,0.6297233168143924,0.0641374185301423,observed_rainfall_event,55,2019-04-17 11:00:00,2019-04-17 12:00:00,0.0157480399999999,0.009842525,0.0438598386249286,0.0392179364303435,0.0258614876777961,0.0088631488133985,0.9558410649350446,0.0053847864087424,12.0,0.0,observed_innovation,base,0.5893344888856783,0.0392179364303435,0.0258614876777961,0.0088631488133985,0.18,
Dallas,OPTIMAL,0.3910745263826954,2.310999870300293,366.0,12.0,0.0138922445306568,0.0451597686088843,0.0459734788037419,4.694745220367387,4.694745220367386,1.314528661702868,0.7537688247700827,0.2389145673372668,0.7534673198231282,0.0071388678259221,2.662929750092825,0.5091997669279373,3.834767384047364,0.0108087157063766,0.1461365591811781,0.0558008113597917,0.1065105164968956,0.0029658095983237,0.4273576317293792,0.0849010352286391,observed_rainfall_event,56,2019-04-18 02:00:00,2019-04-18 05:00:00,0.1712599349999999,0.14566937,0.0456232153879828,0.0138922445306569,0.0446009628086862,0.0092763606055568,0.9558410649350446,0.0053847864087424,12.0,0.0,observed_innovation,base,0.3910745263826954,0.0138922445306568,0.0446009628086862,0.0092763606055568,0.18,
Dallas,OPTIMAL,0.5336756321348012,2.256999969482422,366.0,12.0,0.040577415839367,0.0395933847331967,0.0405293736831596,4.587337730027093,4.587337730027088,1.2844545644075844,0.7313383146653487,0.231849881740928,0.7312274750342886,0.0070886055398524,2.604191111192454,0.4963379274288312,3.752036511256686,0.0108177900906116,0.1427932124537516,0.0545241872139049,0.1040737437361183,0.0029658095983237,0.569146488297276,0.0623228938275512,observed_rainfall_event,57,2019-04-18 12:00:00,2019-04-18 13:00:00,0.09448824,0.064960665,0.040577415839367,0.040577415839367,0.0165775700827589,0.0101189067909635,0.9558410649350446,0.0053847864087424,12.0,0.0,observed_innovation,base,0.5336756321348012,0.040577415839367,0.0165775700827589,0.0101189067909635,0.18,
