city,event_id,event_start,screen_mode,screen_mode_label,strategy,strategy_label,requested_screen_fraction,n_units,active_unit_count,active_unit_fraction,full_action_tokens,active_action_tokens,active_action_token_fraction,full_estimated_total_variables,restricted_estimated_total_variables,restricted_total_variable_fraction,restricted_variable_reduction,full_estimated_total_constraints,restricted_estimated_total_constraints,restricted_constraint_fraction,small_signal_value_capture,finite_value_capture,footprint_mass_capture,origin_exposure_capture,destination_importance_capture,local_need_capture,positive_footprint_unit_share,positive_value_unit_share,top5_small_units_share,top5_finite_units_share,top5_footprint_units_share,footprint_blend,footprint_relative_max,footprint_relative_gini,hybrid_relative_max,hybrid_relative_gini,od_footprint_relative_cosine,od_hybrid_relative_cosine
New York,112,2019-06-19 07:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.025,1940,49,0.025257731958762887,69840,1764,0.025257731958762887,475300,134920,0.28386282347990743,0.7161371765200926,550973,136844,0.24836788735564175,0.07370736522904768,0.1393610373775192,0.30084747685671825,0.05671863591058729,0.08591030330661645,0.042303839460953126,0.033630748112560054,0.025257731958762887,0.29896907216494845,0.5051546391752577,0.24742268041237114,0.5,17.452751744411987,0.6929920579978646,9.295737907715509,0.3486069779830636,0.410089891835713,0.6711295232821788
New York,112,2019-06-19 07:00:00,token_columns,active action columns,finite_value_only,finite value only,0.025,1940,253,0.13041237113402063,69840,1601,0.022923825887743412,475300,134105,0.28214811697875025,0.7178518830212497,550973,135719,0.24632604501490998,0.08621243663316557,0.19270841459050508,0.5796574366864576,0.2617191961639966,0.303145722231572,0.15576677453844243,0.16129032258064516,0.13041237113402063,0.9175257731958762,1.0,0.5154639175257731,0.5,17.452751744411987,0.6929920579978646,9.295737907715509,0.3486069779830636,0.410089891835713,0.6711295232821788
New York,113,2019-06-19 10:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.025,1940,49,0.025257731958762887,69840,1764,0.025257731958762887,475300,134920,0.28386282347990743,0.7161371765200926,550973,136844,0.24836788735564175,0.0732792671130089,0.14328988900574124,0.3062485636222583,0.05687638814342895,0.08507272809323485,0.04152454586624923,0.033607681755829906,0.025257731958762887,0.28865979381443296,0.5051546391752577,0.24742268041237114,0.5,17.587509122087564,0.7078595237005096,9.363116596553297,0.3536240963415225,0.4022784271906411,0.66530841181084
New York,113,2019-06-19 10:00:00,token_columns,active action columns,finite_value_only,finite value only,0.025,1940,331,0.17061855670103093,69840,1601,0.022923825887743412,475300,134105,0.28214811697875025,0.7178518830212497,550973,135719,0.24632604501490998,0.0844291435329326,0.20894210435220006,0.6366310132084504,0.31470626305328286,0.3798935232584466,0.19488627117927415,0.20987654320987653,0.17061855670103093,1.0,1.0,0.6288659793814433,0.5,17.587509122087564,0.7078595237005096,9.363116596553297,0.3536240963415225,0.4022784271906411,0.66530841181084
New York,115,2019-06-20 01:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.025,1940,49,0.025257731958762887,69840,1764,0.025257731958762887,475300,134920,0.28386282347990743,0.7161371765200926,550973,136844,0.24836788735564175,0.07364271142996079,0.13404769022661858,0.3069920941302228,0.055783141843338074,0.08502436939034572,0.0289074603044,0.033630748112560054,0.025257731958762887,0.29896907216494845,0.5051546391752577,0.2268041237113402,0.5,17.636422617120584,0.6957092499764326,9.387573344069807,0.35256328563345884,0.4139253610762857,0.672650022177561
New York,115,2019-06-20 01:00:00,token_columns,active action columns,finite_value_only,finite value only,0.025,1940,193,0.09948453608247422,69840,1601,0.022923825887743412,475300,134105,0.28214811697875025,0.7178518830212497,550973,135719,0.24632604501490998,0.07052114704650939,0.17631386298996513,0.5297110333564004,0.21348538105945908,0.24562141711699567,0.10490858989191996,0.12422786547700755,0.09948453608247422,0.7731958762886598,0.9896907216494846,0.422680412371134,0.5,17.636422617120584,0.6957092499764326,9.387573344069807,0.35256328563345884,0.4139253610762857,0.672650022177561
New York,116,2019-06-20 04:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.025,1940,49,0.025257731958762887,69840,1764,0.025257731958762887,475300,134920,0.28386282347990743,0.7161371765200926,550973,136844,0.24836788735564175,0.07396877965747478,0.13649955740388842,0.30171155666768884,0.056861627189849884,0.08621233731791686,0.028892016136455693,0.033630748112560054,0.025257731958762887,0.30927835051546393,0.5051546391752577,0.23711340206185566,0.5,17.45809194970101,0.7046492306103735,9.29840801036002,0.35602197750972486,0.409042123339284,0.668540291929829
New York,116,2019-06-20 04:00:00,token_columns,active action columns,finite_value_only,finite value only,0.025,1940,263,0.13556701030927834,69840,1601,0.022923825887743412,475300,134105,0.28214811697875025,0.7178518830212497,550973,135719,0.24632604501490998,0.07828116139504317,0.19475033772160733,0.5932708579379555,0.2695276898400516,0.31000843070884854,0.1410633275018196,0.16609471516815374,0.13556701030927834,0.9072164948453608,1.0,0.5360824742268041,0.5,17.45809194970101,0.7046492306103735,9.29840801036002,0.35602197750972486,0.409042123339284,0.668540291929829
New York,117,2019-06-20 07:00:00,unit_block,active units with all actions,finite_value_only,finite value only,0.025,1940,49,0.025257731958762887,69840,1764,0.025257731958762887,475300,134920,0.28386282347990743,0.7161371765200926,550973,136844,0.24836788735564175,0.07382953599033179,0.14153382570303571,0.3031904199392504,0.05807805610147183,0.0852137814060668,0.02870396008932341,0.03372333103922918,0.025257731958762887,0.29896907216494845,0.5051546391752577,0.24742268041237114,0.5,17.321119486279464,0.7193024302240911,9.229921778649247,0.3620796766728789,0.40410356151573273,0.6644564468513166
New York,117,2019-06-20 07:00:00,token_columns,active action columns,finite_value_only,finite value only,0.025,1940,359,0.18505154639175259,69840,1601,0.022923825887743412,475300,134105,0.28214811697875025,0.7178518830212497,550973,135719,0.24632604501490998,0.08304549019793943,0.20890685199606143,0.6539539196341324,0.3384989757179611,0.3907652527434777,0.19040799837145392,0.22436338609772882,0.18505154639175259,0.9896907216494846,1.0,0.6597938144329897,0.5,17.321119486279464,0.7193024302240911,9.229921778649247,0.3620796766728789,0.40410356151573273,0.6644564468513166
