city,event_id,unit,origin_exposure,destination_importance,b0,h_total,h_peak,a_retention,local_need,out_degree,in_degree,small_signal_value,finite_value,max_small_signal_value,max_finite_value,positive_action_tokens,footprint_weight,od_structure_score,need_structure_score,small_signal_rank,finite_value_rank,footprint_rank,od_structure_rank,need_structure_rank,hybrid_screen_score,n_units
New York,115,249,0.0003675501149612253,8.915977987319667e-05,0.0,0.002886235712958397,0.0015033585824762263,0.9029500128333465,0.02,413.0,100.0,0.19272325288706227,0.0021207016032668323,0.019514747185418235,0.0002478980293515845,33,0.0002411949821118134,0.00022835494741721098,0.00012793737076822914,0.10824742268041238,0.30567010309278353,0.6407216494845361,0.14432989690721648,0.041237113402061855,0.2961340206185567,1940
New York,115,1489,0.0002603294531789781,0.00015171455124333,0.0,0.0017089547414647892,0.0008901462088178255,0.9035138654113531,0.02,266.0,162.0,0.19224107121717526,0.0012542697555363825,0.013806088871053727,0.00012936212956571273,33,0.0,0.00020602200221115404,0.0001279693717273477,0.1077319587628866,0.08350515463917525,0.12474226804123711,0.11391752577319587,0.1268041237113402,0.10685567010309278,1940
New York,115,1213,0.0003371459578073925,0.00010430749458693143,0.0,0.0016980279369312751,0.0008844547452617666,0.9030899292418334,0.02,387.0,112.0,0.19095152625769346,0.0015820039095590284,0.01789534765038044,0.00018532959534247866,33,0.0,0.00022072672619716195,0.0001279451198397816,0.10721649484536082,0.15463917525773196,0.12474226804123711,0.13402061855670103,0.060309278350515465,0.1274742268041237,1940
New York,115,571,0.0003381039043094282,0.0001023613087804624,0.0,0.0016975495048857947,0.0008842055435356307,0.9030713671225867,0.02,408.0,124.0,0.19008468877795598,0.0013904282087921628,0.01794687466528157,0.00015902339850223514,33,0.0,0.0002202326065449453,0.00012794412423527268,0.10670103092783505,0.11134020618556702,0.12474226804123711,0.13195876288659794,0.05721649484536082,0.11615979381443299,1940
New York,115,190,0.00015805048232910376,0.00020605612722354724,0.0,0.033091476452624724,0.01723641451337707,0.9040213702042608,0.033091476452624724,121.0,207.0,0.18848487279023277,0.010006879768463782,0.010017567656618593,0.0006119889281107193,33,0.05368710227575338,0.0001820533047763255,0.0002117807686504522,0.10618556701030928,0.9427835051546392,0.9994845360824742,0.08711340206185567,0.9927835051546392,0.535798969072165,1940
New York,115,152,0.0002544698688777267,0.0001481003554864285,0.0,0.004331596701608509,0.002256206257843754,0.9034898259442439,0.02,220.0,128.0,0.18779442512810426,0.0018527087487603697,0.01349599539103177,0.00015644496411201223,33,0.0005308861022165295,0.00020128511218207761,0.00012796752282392864,0.1056701030927835,0.22731958762886598,0.8463917525773196,0.1077319587628866,0.11804123711340206,0.32157216494845364,1940
New York,115,1015,0.00015763610761827254,0.00020519731599480065,0.0,0.0028322674776244654,0.0014752480544947119,0.904013018022767,0.02,126.0,138.0,0.18779152080908504,0.0013021147999596806,0.009975983913221083,9.098977804242891e-05,33,0.00022472826257421248,0.0001814167118065366,0.00012799673174690925,0.10515463917525773,0.09226804123711341,0.6185567010309279,0.08556701030927835,0.21030927835051547,0.22734536082474227,1940
New York,115,138,0.00014616680186313872,0.0002112886326429244,0.0,0.002558377639729301,0.0013325865814195733,0.9040706645810558,0.02,157.0,292.0,0.1873721246795856,0.00108363192078458,0.01027092927159217,6.681992200146445e-05,33,0.0001689987420443094,0.00017872771725303154,0.00012799984786372604,0.10463917525773196,0.05515463917525773,0.5396907216494845,0.07938144329896907,0.22268041237113403,0.1972422680412371,1940
New York,115,67,0.00033699396869113556,9.784219454748195e-05,0.0,0.0023347629893107763,0.0012161120321078913,0.9030296150609595,0.02,280.0,50.0,0.18683370750386621,0.0020269658002919078,0.017889484000131642,0.00024005721232534598,33,0.0001291747255603072,0.00021741808161930876,0.000127941812405389,0.10412371134020619,0.27835051546391754,0.4747422680412371,0.1283505154639175,0.051030927835051546,0.24396907216494845,1940
New York,115,1241,0.0002911445111645727,0.0001249033444813547,0.0,0.002622312226397797,0.0013658883000399952,0.9032778355213882,0.02,286.0,70.0,0.1868211046374543,0.0018836188056799222,0.015447719847107135,0.0002065147153925933,33,0.00018607312841481034,0.0002080239278229637,0.0001279556559977124,0.10360824742268042,0.24020618556701032,0.568041237113402,0.11649484536082474,0.08298969072164948,0.25579896907216493,1940
New York,115,1551,0.0002707079527186458,0.0001363472382846251,0.0,0.007510382902398201,0.0039119461183681195,0.903382914313805,0.02,267.0,91.0,0.18643080261339245,0.0028204025386639312,0.014360313554111957,0.00023588394365913485,33,0.0011747549221141653,0.00020352759550163545,0.00012796151031657147,0.10309278350515463,0.4690721649484536,0.9463917525773196,0.11237113402061856,0.10206185567010309,0.4068041237113402,1940
New York,115,1543,0.00029449833382023163,0.00012111411545912884,0.0,0.00242126933221959,0.001261170740399355,0.9032425703283674,0.02,231.0,72.0,0.18568457757609536,0.001756424582120041,0.0156267914854325,0.00019379696824180657,33,0.00014557075078460807,0.00020780622463968023,0.00012795371755304426,0.10257731958762886,0.1979381443298969,0.511340206185567,0.1154639175257732,0.07731958762886598,0.23054123711340205,1940
New York,115,1421,0.00016900400669640745,0.00019427831802710052,0.0,0.0017367160616664362,0.0009046062956356267,0.903913635666141,0.02,185.0,163.0,0.18513841155502764,0.0011253410260846084,0.009447034072158066,0.0001023342459317089,33,3.532961570071091e-06,0.000181641162361754,0.00012799114594745824,0.10206185567010309,0.059278350515463915,0.2634020618556701,0.0865979381443299,0.19072164948453607,0.12938144329896906,1940
New York,115,1739,0.0002876801881530485,0.00012417220551144876,0.0,0.0017122985546272017,0.0008918879065569743,0.9032612937644695,0.02,374.0,159.0,0.18507898053871502,0.0011927454247809917,0.01526442198801048,0.00012701944128050584,33,1.994167551254145e-06,0.00020592619683224863,0.00012795528197111504,0.10154639175257732,0.07010309278350516,0.25463917525773194,0.1134020618556701,0.08195876288659794,0.13373711340206185,1940
New York,115,279,0.00021744673100346863,0.00016362878371568677,0.0,0.0018148000094205343,0.0009452780164111367,0.9036320459810732,0.02,308.0,196.0,0.18382595709235452,0.0014633458795681729,0.011529119400321228,0.00015438799573603898,33,2.080412805455622e-05,0.0001905377573595777,0.00012797546665596664,0.10103092783505155,0.12886597938144329,0.30567010309278353,0.09484536082474226,0.14329896907216494,0.15822164948453607,1940
New York,115,899,0.0003329055887326544,9.527255583613425e-05,0.0,0.001695870518531524,0.0008833310070124282,0.9030062261162182,0.02,282.0,89.0,0.18370151225696757,0.001320320156985708,0.01767329519500983,0.00015114864594266102,33,0.0,0.00021408907228439433,0.00012794049786292404,0.10051546391752578,0.09639175257731959,0.12474226804123711,0.12371134020618557,0.04690721649484536,0.10902061855670103,1940
New York,115,352,0.0003201666942410151,0.00010231493192359921,0.0,0.003115830383182411,0.0016229479550359182,0.9030711394881846,0.02,267.0,76.0,0.18339756944647823,0.0014670077431276865,0.016994758509231857,0.0001486350413244787,33,0.00028702769524381594,0.00021124081308230715,0.00012794410051040136,0.1,0.12989690721649486,0.6907216494845361,0.1211340206185567,0.05670103092783505,0.25832474226804125,1940
New York,115,562,0.00028321564422866756,0.00012367743095324554,0.0,0.0029996839444143032,0.0015624505588038174,0.9032662717664635,0.02,187.0,89.0,0.18310899392517316,0.0015743812537020584,0.015027379188605038,0.00015692442491601943,33,0.0002625045580289146,0.00020344653759095654,0.0001279550288607597,0.09948453608247422,0.15309278350515465,0.6675257731958762,0.11185567010309279,0.08144329896907217,0.2567525773195876,1940
New York,115,934,0.00025676455276403277,0.00013915838581921312,0.0,0.0022214982990024245,0.0011571156571749384,0.9034091743043211,0.02,198.0,107.0,0.18302531382614837,0.00136968899076102,0.013619927253452535,0.0001382606789846698,33,0.00010427278207230578,0.00019796146929162295,0.00012796294840698984,0.09896907216494845,0.10721649484536082,0.438659793814433,0.1056701030927835,0.10618556701030928,0.18695876288659793,1940
New York,115,1593,0.00024450645913022334,0.00014600435794222312,0.0,0.0020508006583583307,0.0010682040821713482,0.9034722495563361,0.02,274.0,206.0,0.18278155573118207,0.001199225664172954,0.012968041567778131,0.00011613305759947659,33,6.939860476575588e-05,0.00019525540853622322,0.00012796645058067276,0.09845360824742268,0.07164948453608247,0.3829896907216495,0.10154639175257732,0.11494845360824742,0.16335051546391754,1940
