screen_mode,screen_mode_label,strategy,strategy_label,requested_screen_fraction,active_unit_count_mean,active_unit_count_min,active_unit_fraction_mean,active_unit_fraction_min,active_action_token_fraction_mean,active_action_token_fraction_min,restricted_total_variable_fraction_mean,restricted_total_variable_fraction_min,restricted_variable_reduction_mean,restricted_variable_reduction_min,restricted_constraint_fraction_mean,restricted_constraint_fraction_min,small_signal_value_capture_mean,small_signal_value_capture_min,finite_value_capture_mean,finite_value_capture_min,footprint_mass_capture_mean,footprint_mass_capture_min,origin_exposure_capture_mean,origin_exposure_capture_min,destination_importance_capture_mean,destination_importance_capture_min,local_need_capture_mean,local_need_capture_min,positive_footprint_unit_share_mean,positive_footprint_unit_share_min,positive_value_unit_share_mean,positive_value_unit_share_min,top5_small_units_share_mean,top5_small_units_share_min,top5_finite_units_share_mean,top5_finite_units_share_min,top5_footprint_units_share_mean,top5_footprint_units_share_min
token_columns,active action columns,value_union,small + finite value union,0.3,1780.0,1675,0.9175257731958762,0.8634020618556701,0.3744759450171821,0.3619988545246277,0.5404313065432358,0.5312644645487061,0.45956869345676415,0.43573532505785817,0.5136974044100164,0.504208010192877,0.6906360666473212,0.681416011317809,0.8331818288533116,0.8229936961405359,0.9671570042418092,0.9469913882227132,0.977600917043946,0.9539317374775544,0.9737212540975305,0.9534977555878971,0.9190293400678664,0.8644347348624692,0.9247589651900203,0.8750857927247769,0.9175257731958762,0.8634020618556701,1.0,1.0,1.0,1.0,0.9731958762886597,0.9587628865979382
token_columns,active action columns,value_union,small + finite value union,0.4,1876.8,1835,0.9674226804123711,0.9458762886597938,0.47353379152348224,0.45644329896907215,0.6132084998948033,0.6006522196507469,0.3867915001051967,0.35315590153587206,0.5890353973788189,0.5760373012833659,0.7840837935837914,0.7726829992164033,0.9009023908383794,0.8916491640630029,0.9852340599611834,0.9757824117768403,0.9948520245173025,0.9889014915655847,0.9928178020269328,0.9866621307795332,0.9680211672007021,0.9462854609832424,0.9691057289577516,0.9485243651338366,0.9674226804123711,0.9458762886597938,1.0,1.0,1.0,1.0,0.9855670103092784,0.979381443298969
token_columns,active action columns,value_union,small + finite value union,0.5,1908.4,1893,0.9837113402061857,0.9757731958762886,0.5650973654066438,0.5450028636884306,0.6804796970334526,0.665716389648643,0.31952030296654743,0.27920260887860304,0.6586736555148801,0.643390873962971,0.8555812821778312,0.8444003889406829,0.9429825411776871,0.9355804474751741,0.9911351939634443,0.9880076646240317,0.9985905490085496,0.9970099938948194,0.9975314005730572,0.9959924071476434,0.9840137263969115,0.9759563492020228,0.984483851761599,0.9773507206588882,0.9837113402061857,0.9757731958762886,1.0,1.0,1.0,1.0,0.9896907216494846,0.979381443298969
token_columns,active action columns,value_union,small + finite value union,0.6,1922.6,1914,0.9910309278350515,0.98659793814433,0.6492611683848797,0.6289089347079038,0.7423143277929729,0.727361666316011,0.25768567220702715,0.21320218809173153,0.7226840516685936,0.7072052532519743,0.9093419834781196,0.9002509647153952,0.9690486660972871,0.9639982119388395,0.9941203039330038,0.9907577408986407,0.9996536600034306,0.9991428874044909,0.999143697773609,0.998460157141276,0.991196277727633,0.9866992570053743,0.9905259295147099,0.9862731640356898,0.9910309278350515,0.98659793814433,1.0,1.0,1.0,1.0,0.9958762886597938,0.9896907216494846
unit_block,active units with all actions,finite_value_only,finite value only,0.01,20.0,20,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.010309278350515464,0.2728802861350726,0.2728802861350726,0.7271197138649275,0.7271197138649275,0.23684100672809735,0.23684100672809738,0.03360804418942203,0.031225238146173142,0.07431876540048735,0.0707984345602874,0.13621670478480188,0.11202341956151327,0.02370609411534832,0.022545952690945198,0.040464909667915834,0.03647543225539307,0.014868076579832478,0.011629456557578811,0.013732510786346061,0.013717421124828532,0.010309278350515464,0.010309278350515464,0.12371134020618557,0.1134020618556701,0.20618556701030927,0.20618556701030927,0.11134020618556702,0.10309278350515463
unit_block,active units with all actions,finite_value_only,finite value only,0.025,49.0,49,0.025257731958762887,0.025257731958762887,0.025257731958762887,0.025257731958762887,0.28386282347990743,0.28386282347990743,0.7161371765200926,0.7161371765200926,0.24836788735564178,0.24836788735564175,0.07368553188396479,0.0732792671130089,0.1389463999433606,0.13404769022661858,0.3037980222432277,0.30084747685671825,0.0568635698377352,0.055783141843338074,0.08548670390283614,0.08502436939034572,0.034066364371476296,0.02870396008932341,0.03364465142654785,0.033607681755829906,0.025257731958762887,0.025257731958762887,0.29896907216494845,0.28865979381443296,0.5051546391752577,0.5051546391752577,0.24123711340206183,0.2268041237113402
unit_block,active units with all actions,finite_value_only,finite value only,0.05,97.0,97,0.05,0.05,0.05,0.05,0.3020408163265306,0.3020408163265306,0.6979591836734693,0.6979591836734693,0.2674468621874393,0.2674468621874393,0.1352089614300201,0.13316671984023437,0.21618604097883676,0.210449776629457,0.40420878632337115,0.3846669486336668,0.10749654580152919,0.10636429470305592,0.15460989475163284,0.1523849845024465,0.06154152587780846,0.05472381458916146,0.06660267731377839,0.06652949245541838,0.05,0.05,0.5752577319587628,0.5567010309278351,1.0,1.0,0.38969072164948454,0.36082474226804123
unit_block,active units with all actions,finite_value_only,finite value only,0.1,194.0,194,0.1,0.1,0.1,0.1,0.33877551020408164,0.33877551020408164,0.6612244897959183,0.6612244897959183,0.3060022904933636,0.3060022904933636,0.24030613306224105,0.23902266576750797,0.327663302879883,0.3214258006758327,0.5541733750718458,0.5440525151098495,0.19709962987663038,0.19615544859045558,0.27028646321384386,0.26842136003781963,0.11339890417154515,0.10542015693017481,0.13073329504117898,0.12971859986273165,0.1,0.1,0.9154639175257732,0.8762886597938144,1.0,1.0,0.5360824742268041,0.5051546391752577
unit_block,active units with all actions,finite_value_only,finite value only,0.15,291.0,291,0.15,0.15,0.15,0.15,0.37551020408163266,0.37551020408163266,0.6244897959183673,0.6244897959183673,0.3445577187992878,0.3445577187992878,0.32385080574212327,0.32121317853194387,0.41434133688523767,0.40783235016563657,0.6377344430414793,0.6276694937642101,0.27495404938967394,0.27233122439007984,0.35771019469024323,0.3548016921952689,0.1639585014365356,0.1556234923325298,0.19307895075941045,0.1928620452985587,0.15,0.15,0.9979381443298969,0.9896907216494846,1.0,1.0,0.6597938144329897,0.6185567010309279
unit_block,active units with all actions,finite_value_only,finite value only,0.2,388.0,388,0.2,0.2,0.2,0.2,0.4122448979591836,0.4122448979591837,0.5877551020408163,0.5877551020408163,0.38311314710521205,0.38311314710521205,0.39647481278340424,0.3935376983284505,0.48578644011237915,0.48010007007744837,0.6838023250511078,0.6682455852419289,0.3454516382910905,0.34413724143984364,0.4317384296596152,0.42848264521275137,0.21338924467560155,0.20524256712334804,0.25308990939930204,0.25188743994509266,0.2,0.2,1.0,1.0,1.0,1.0,0.7484536082474227,0.7319587628865979
