city,event_id,event_start,policy_scenario,budget_scale,delay_add_hours,policy_score,allocated_cost,value_proxy,selected_action_count,baseline_objective,optimized_objective,lp_recoverable_fraction,replay_objective,replay_gain,replay_recoverable_fraction,replay_fraction_of_base_lp_gain,objective_gap_to_base_lp,event_peak_positive_abnormal_deficit,event_total_precip,oracle_replay_gain,oracle_replay_recoverable_fraction,law_replay_gain,law_replay_recoverable_fraction,law_allocated_cost,relative_to_oracle_replay_gain,law_minus_policy_replay_gain,law_minus_policy_recoverable_fraction,law_to_policy_replay_gain_ratio,law_minus_policy_replay_gain_per_cost
Austin,478,2024-07-06 17:00:00,budget_0.75,0.75,0,deficit_only,1.094357365,0.06529190857,145,0.1342685328,0.1197952744,0.1077933755,0.1292558037,0.005012729074,0.03733361026,0.3463441986,0.009460529302,0.02623511767,1.27165423,0.01012477215,0.0754068875,0.01012477215,0.0754068875,1.094357365,0.4950954946,0.005112043074,0.03807327724,2.019812361,0.004671273973
Austin,478,2024-07-06 17:00:00,budget_0.75,0.75,0,structure_only,1.094357365,0.03629538341,120,0.1342685328,0.1197952744,0.1077933755,0.1317323063,0.002536226494,0.01888920986,0.1752353498,0.01193703188,0.02623511767,1.27165423,0.01012477215,0.0754068875,0.01012477215,0.0754068875,1.094357365,0.2504971427,0.007588545654,0.05651767764,3.992061503,0.006934248263
Austin,478,2024-07-06 17:00:00,budget_0.75,0.75,0,random_positive,1.094357365,0.01594826877,194,0.1342685328,0.1197952744,0.1077933755,0.1321378765,0.002130656263,0.01586861954,0.1472133094,0.01234260211,0.02623511767,1.27165423,0.01012477215,0.0754068875,0.01012477215,0.0754068875,1.094357365,0.2104399222,0.007994115884,0.05953826796,4.751950055,0.007304849534
Austin,478,2024-07-06 17:00:00,budget_1,1,0,greedy_oracle,1.459143153,0.1126878882,386,0.1342685328,0.1197952744,0.1077933755,0.1214378436,0.01283068919,0.09555991207,0.8865100625,0.001642569188,0.02623511767,1.27165423,0.01283068919,0.09555991207,0.01283068919,0.09555991207,1.459143153,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_1,1,0,activated_bottleneck_law,1.459143153,0.1126878882,386,0.1342685328,0.1197952744,0.1077933755,0.1214378436,0.01283068919,0.09555991207,0.8865100625,0.001642569188,0.02623511767,1.27165423,0.01283068919,0.09555991207,0.01283068919,0.09555991207,1.459143153,1,0,0,1,0
Austin,478,2024-07-06 17:00:00,budget_1,1,0,exposure_only,1.459143153,0.08643344868,190,0.1342685328,0.1197952744,0.1077933755,0.1276858373,0.006582695491,0.04902634559,0.4548177971,0.007890562885,0.02623511767,1.27165423,0.01283068919,0.09555991207,0.01283068919,0.09555991207,1.459143153,0.513043017,0.006247993697,0.04653356648,1.949154295,0.004281960742
Austin,478,2024-07-06 17:00:00,budget_1,1,0,deficit_only,1.459143153,0.08241805377,194,0.1342685328,0.1197952744,0.1077933755,0.1281423827,0.006126150105,0.04562610448,0.4232737333,0.00834710827,0.02623511767,1.27165423,0.01283068919,0.09555991207,0.01283068919,0.09555991207,1.459143153,0.4774607206,0.006704539082,0.04993380759,2.094413125,0.004594846688
Austin,478,2024-07-06 17:00:00,budget_1,1,0,structure_only,1.459143153,0.04664504609,159,0.1342685328,0.1197952744,0.1077933755,0.1310535044,0.003215028348,0.02394476413,0.2221357668,0.01125823003,0.02623511767,1.27165423,0.01283068919,0.09555991207,0.01283068919,0.09555991207,1.459143153,0.2505733169,0.009615660839,0.07161514794,3.990847918,0.006589936581
Austin,478,2024-07-06 17:00:00,budget_1,1,0,random_positive,1.459143153,0.02108025677,262,0.1342685328,0.1197952744,0.1077933755,0.1314684091,0.002800123735,0.02085465356,0.1934687865,0.01167313464,0.02623511767,1.27165423,0.01283068919,0.09555991207,0.01283068919,0.09555991207,1.459143153,0.2182364247,0.01003056545,0.07470525851,4.582186504,0.006874284702
Austin,478,2024-07-06 17:00:00,budget_1.25,1.25,0,greedy_oracle,1.823928941,0.1335591093,460,0.1342685328,0.1197952744,0.1077933755,0.1191191622,0.01514937062,0.1128288982,1.046714584,-0.000676112246,0.02623511767,1.27165423,0.01514937062,0.1128288982,0.01514937062,0.1128288982,1.823928941,1,0,0,1,0
