city,event_id,event_start,budget_scale,activated_bottleneck_law,deficit_only,exposure_only,greedy_oracle,random_positive,structure_only,replay_gain_activated_bottleneck_law,replay_gain_deficit_only,replay_gain_exposure_only,replay_gain_greedy_oracle,replay_gain_random_positive,replay_gain_structure_only,proxy_leverage_vs_random_positive,proxy_ratio_vs_random_positive,replay_gain_leverage_vs_random_positive,replay_gain_ratio_vs_random_positive,proxy_leverage_vs_exposure_only,proxy_ratio_vs_exposure_only,replay_gain_leverage_vs_exposure_only,replay_gain_ratio_vs_exposure_only,proxy_leverage_vs_deficit_only,proxy_ratio_vs_deficit_only,replay_gain_leverage_vs_deficit_only,replay_gain_ratio_vs_deficit_only,proxy_leverage_vs_structure_only,proxy_ratio_vs_structure_only,replay_gain_leverage_vs_structure_only,replay_gain_ratio_vs_structure_only,law_fraction_of_oracle_proxy,law_fraction_of_oracle_replay_gain,baseline_objective,recoverable_fraction,top_5pct_value_share,marginal_value_gini,decision_criticality_score,event_peak_positive_abnormal_deficit,event_total_precip
Chicago,152,2019-07-17 19:00:00,0.1,0.06780270169,0.04886810772,0.0518755877,0.06780270169,0.005382402403,0.01753409928,0.0005542243879,0.0002788175416,0.000304530313,0.0005542243879,8.39599442e-05,7.776836857e-05,0.06242029928,12.5971075,0.0004702644437,6.601057126,0.01592711399,1.307025225,0.0002496940749,1.819931758,0.01893459396,1.387463212,0.0002754068463,1.987767286,0.0502686024,3.866905313,0.0004764560194,7.126604275,1,1,0.02216888903,0.2680336809,0.1722164847,0.4584960653,0.02116409507,0.01334210144,0.27952771
Chicago,153,2019-07-18 08:00:00,0.1,0.02352732403,0.0171402863,0.01800528035,0.02352732403,0.002423962793,0.005930833091,0.008468265616,0.005026800783,0.005337740121,0.008468265616,0.0008724647457,0.001623291679,0.02110336123,9.706140745,0.00759580087,9.706140745,0.00552204368,1.306690236,0.003130525495,1.58648893,0.006387037722,1.372633083,0.003441464833,1.684623279,0.01759649093,3.96695096,0.006844973937,5.216724589,1,1,0.3599332252,0.1447617086,0.1722164847,0.4584960653,0.01143046856,0.04130670755,1.42913463
Chicago,154,2019-07-20 05:00:00,0.1,0.04016941442,0.0277297158,0.0285175736,0.04016941442,0.00335163756,0.009277164583,0.0006944145502,0.0002600780829,0.0002771033264,0.0006944145502,6.765816657e-05,7.266853505e-05,0.03681777686,11.98501142,0.0006267563836,10.26357327,0.01165184082,1.40858458,0.0004173112238,2.505976956,0.01243969862,1.448605341,0.0004343364672,2.670023334,0.03089224984,4.32992366,0.0006217460151,9.555917835,1,1,0.02404835271,0.2164610453,0.1722164847,0.4584960653,0.01709188982,0.005706766028,0.01181103
Chicago,155,2019-07-21 12:00:00,0.1,0.01994701474,0.01464345537,0.01526529715,0.01994701474,0.00212015705,0.005028298797,0.002832427939,0.00141075058,0.001498926337,0.002832427939,0.0003014283701,0.0004217101697,0.01782685769,9.408272251,0.002530999569,9.396686642,0.004681717588,1.306690236,0.001333501601,1.889637848,0.00530355937,1.362179502,0.001421677359,2.007745365,0.01491871594,3.96695096,0.002410717769,6.716527469,1,1,0.1421726613,0.1206550068,0.1722164847,0.4584960653,0.009526989395,0.02618788377,0.25196864
Chicago,156,2019-07-21 15:00:00,0.1,0.0205400393,0.01506742493,0.01571794399,0.0205400393,0.002321126882,0.005298179184,0.001560402335,0.0008399642327,0.0008892757922,0.001560402335,0.0001763332461,0.0002475888638,0.01821891242,8.849166956,0.001384069089,8.849166956,0.004822095311,1.30678919,0.0006711265429,1.75468887,0.005472614375,1.363208339,0.0007204381024,1.857700929,0.01524186012,3.876810993,0.001312813471,6.302393053,1,1,0.07596880961,0.1266312759,0.1722164847,0.4584960653,0.00999887907,0.004635041928,0.07086618
Chicago,157,2019-07-29 10:00:00,0.1,0.02128896219,0.01560477854,0.01629227923,0.02128896219,0.002001297575,0.005366580631,0.006022755489,0.003743163221,0.003937424344,0.006022755489,0.0005661772449,0.00121154788,0.01928766461,10.63757956,0.005456578244,10.63757956,0.004996682962,1.306690236,0.002085331145,1.529618086,0.005684183644,1.364259168,0.002279592268,1.609001567,0.01592238156,3.96695096,0.004811207609,4.971124614,1,1,0.2829050771,0.1347009082,0.1722164847,0.4584960653,0.01063606192,0.03362315382,0.09055123
Chicago,158,2019-07-29 13:00:00,0.1,0.02014586803,0.01493762878,0.01541747805,0.02014586803,0.001784669906,0.005078426286,0.004864391865,0.002773804525,0.002889377209,0.004864391865,0.0004309237885,0.0008532767507,0.01836119812,11.28828808,0.004433468077,11.28828808,0.004728389982,1.306690236,0.001975014656,1.683543377,0.005208239256,1.348665731,0.002090587341,1.753689498,0.01506744175,3.96695096,0.004011115114,5.700837227,1,1,0.2414585392,0.1252282371,0.1722164847,0.4584960653,0.009888094314,0.03362315382,0.41338605
Chicago,159,2019-07-29 17:00:00,0.1,0.02387366405,0.01757374225,0.01827033171,0.02387366405,0.002145543884,0.006018139447,0.002953686156,0.00154788012,0.001635060721,0.002953686156,0.0002692243657,0.0004751926021,0.02172812017,11.12709194,0.00268446179,10.97109524,0.005603332345,1.306690236,0.001318625435,1.806468786,0.006299921805,1.358484933,0.001405806036,1.908213768,0.01785552461,3.96695096,0.002478493554,6.215766286,1,1,0.125480708,0.1421212074,0.1722164847,0.4584960653,0.01122197306,0.01848159911,0.18110246
Dallas,55,2019-04-17 11:00:00,0.1,0.008375496532,0.005389742749,0.005878307712,0.008375496532,0.001039105184,0.003889855038,0.005274245456,0.003394046681,0.00370170743,0.005274245456,0.0006543487629,0.002449532416,0.007336391348,8.060297131,0.004619896693,8.060297131,0.00249718882,1.424814239,0.001572538026,1.424814239,0.002985753782,1.553969627,0.001880198775,1.553969627,0.004485641494,2.15316418,0.002824713039,2.15316418,1,1,0.6297233168,0.06413741853,0.1419750557,0.4123877827,0.003755167506,0.04385983862,0.01574804
Dallas,56,2019-04-18 02:00:00,0.1,0.01109252989,0.007138189639,0.007785246375,0.01109252989,0.001413314111,0.005151734363,0.004740477305,0.003050559819,0.003327084453,0.004740477305,0.0006039905714,0.002201632997,0.009679215782,7.848594877,0.004136486734,7.848594877,0.003307283518,1.424814239,0.001413392852,1.424814239,0.003954340254,1.553969627,0.001689917486,1.553969627,0.00594079553,2.15316418,0.002538844308,2.15316418,1,1,0.4273576317,0.08490103523,0.1419750557,0.4123877827,0.004970851899,0.04562321539,0.171259935
