city,event_id,event_start,baseline_objective,lp_recoverable_fraction,static_greedy_recoverable_fraction,residual_greedy_recoverable_fraction,static_fraction_of_lp_gain,residual_fraction_of_lp_gain,residual_gain_improvement_over_static,residual_gap_to_lp,static_gap_to_lp,static_selected_action_count,residual_selected_action_count,residual_allocated_cost,event_peak_positive_abnormal_deficit,event_total_precip
San Antonio,508,2024-07-28 09:00:00,0.1624977201,0.1374346769,0.1263804986,0.136846091,0.9195677646,0.9957173409,0.07614957632,0.004282659128,0.08043223545,482,562,3.263491779,0.02986680471,0.56299243
New York,109,2019-06-18 07:00:00,0.7345846597,0.1478550483,0.1363058189,0.1473397741,0.9218881636,0.9965150048,0.07462684112,0.003484995244,0.07811183636,1390,1669,58.20723774,0.06813897394,0.1036745967
Austin,484,2024-07-22 14:00:00,0.1084480967,0.1310122947,0.1211222808,0.1305543353,0.9245107958,0.9965044551,0.07199365932,0.00349554489,0.07548920421,386,437,1.429619699,0.01704210899,0.005905515
New York,111,2019-06-18 23:00:00,0.2995702587,0.1167509254,0.1084735464,0.116585336,0.9291022413,0.9985816871,0.06947944587,0.001418312857,0.07089775873,1390,1583,18.59735783,0.007086730324,0.00787402
Chicago,157,2019-07-29 10:00:00,0.2829050771,0.1347009082,0.1252559489,0.134491215,0.9298819927,0.998443268,0.06856127534,0.001556731985,0.07011800733,932,1115,12.0773303,0.03362315382,0.09055123
Austin,480,2024-07-12 15:00:00,0.1171135872,0.1248134854,0.116291662,0.1243396706,0.9317235362,0.9962038166,0.06448028041,0.003796183373,0.06827646379,386,424,1.452910912,0.0164342092,0.05118113
New York,107,2019-06-16 03:00:00,0.3743013216,0.1341549552,0.1256433713,0.1338864125,0.9365540853,0.9979982648,0.06144417948,0.002001735201,0.06344591468,1390,1630,26.86712664,0.02734209638,0.03412075333
Austin,492,2024-07-28 09:00:00,0.1299120167,0.1185037345,0.1111084126,0.1183503127,0.9375941871,0.9987053427,0.06111115557,0.001294657348,0.06240581292,386,420,1.517016101,0.01758517343,0.076771695
Chicago,150,2019-07-16 04:00:00,0.08333075424,0.1313108172,0.1229519211,0.1309301865,0.9363426691,0.9971012998,0.06075863067,0.002898700205,0.06365733088,930,1080,3.463301657,0.01441790021,0.05905515
San Antonio,509,2024-07-28 16:00:00,0.05787973292,0.1448580491,0.135567869,0.1439778305,0.9358670084,0.9939235784,0.05805657,0.006076421617,0.06413299162,477,534,1.214792663,0.004199071565,0.01049869333
San Antonio,503,2024-07-24 09:00:00,0.0637757722,0.1339534857,0.1264091326,0.1333701933,0.9436793072,0.9956455605,0.05196625335,0.004354439483,0.05632069283,478,536,1.236696285,0.01448938751,0.00393701
New York,121,2019-06-25 07:00:00,0.5339519264,0.1237967923,0.1175324769,0.1235837675,0.9493984033,0.9982792382,0.0488808349,0.001720761783,0.05060159668,1390,1604,35.07910644,0.04783041442,0.4973755967
New York,105,2019-06-13 08:00:00,0.2561590109,0.09878326619,0.09390872931,0.09857439824,0.9506542243,0.9978855936,0.04723136935,0.002114406352,0.0493457757,1390,1524,13.3353173,0.03122607429,0.4317587633
Philadelphia,651,2023-07-18 11:00:00,0.09123606506,0.1588102475,0.1507374765,0.1573165853,0.9491671916,0.9905946738,0.04142748226,0.009405326188,0.05083280844,949,1086,4.296730118,0.01025791362,0.01574804
Houston,62,2019-04-30 03:00:00,0.4064162998,0.1178913158,0.1132601491,0.1178506104,0.9607166424,0.9996547207,0.03893807831,0.0003452792649,0.03928335757,324,395,7.008516945,0.03738240115,0.01181103
Houston,60,2019-04-18 05:00:00,0.457149008,0.09387180327,0.09039052011,0.09373066958,0.9629144958,0.9984965274,0.03558203159,0.001503472603,0.03708550419,324,379,6.243465092,0.0527549075,0.86220519
New York,120,2019-06-21 04:00:00,0.05966038473,0.1261122136,0.1057937035,0.1101066599,0.8388854689,0.8730848249,0.0341993559,0.1269151751,0.1611145311,719,777,3.846498066,0.009006987358,0.48031522
San Antonio,507,2024-07-28 05:00:00,0.1698329055,0.1430929955,0.137907526,0.1422808525,0.9637615421,0.9943243695,0.03056282745,0.005675630451,0.0362384579,482,544,3.560331357,0.02986680471,0.0393701
New York,122,2019-06-29 18:00:00,0.4169878714,0.10857205,0.1053044562,0.1084315009,0.9699039134,0.9987054756,0.02880156212,0.001294524439,0.03009608656,1390,1456,23.7154995,0.03686080824,0.04986879333
New York,102,2019-06-10 12:00:00,0.3089764556,0.1118956433,0.108602922,0.1117440425,0.9705732841,0.9986451587,0.02807187468,0.001354841257,0.02942671593,1390,1456,18.11111689,0.0432816613,0.6207352433
New York,101,2019-06-06 02:00:00,0.1381608698,0.1280051421,0.1240479086,0.1273602594,0.9690853554,0.9949620565,0.02587670113,0.005037943522,0.03091464465,1390,1519,9.423734096,0.01875161061,0.1036745967
New York,110,2019-06-18 13:00:00,0.672594944,0.114527596,0.1118754885,0.1142914757,0.9768430705,0.9979383115,0.02109524094,0.002061688536,0.02315692947,1390,1450,40.2881086,0.06813897394,0.80708705
New York,103,2019-06-11 01:00:00,0.3539791125,0.1360233972,0.1328287363,0.1355681332,0.976513887,0.9966530466,0.02013915952,0.003346953432,0.02348611296,1390,1505,25.59521297,0.0432816613,0.00393701
New York,123,2019-06-30 15:00:00,0.2729615004,0.1165328165,0.1141352171,0.116383003,0.9794255435,0.9987144097,0.01928886625,0.001285590259,0.02057445651,1390,1450,16.62784393,0.02021357153,0.04724412
Dallas,58,2019-04-18 22:00:00,0.4339111185,0.09364614235,0.09215459745,0.09338930056,0.9840725432,0.9972573159,0.0131847727,0.002742684102,0.0159274568,212,226,5.281583299,0.03655756319,0.009842525
Dallas,62,2019-04-28 01:00:00,0.1708659535,0.08906290776,0.08871843664,0.08894587297,0.9961322716,0.998685931,0.002553659419,0.001314069019,0.003867728438,212,220,1.973000234,0.01786907333,0.053149635
Dallas,56,2019-04-18 02:00:00,0.4273576317,0.08490103523,0.08482520378,0.08485526319,0.9991068253,0.9994608776,0.0003540522484,0.0005391224038,0.0008931746522,212,215,4.69474522,0.04562321539,0.171259935
Dallas,63,2019-04-28 09:00:00,0.3377999703,0.07400008392,0.07400008392,0.07400008392,1,1,1.402499132e-10,-1.402498118e-10,0,212,212,3.232815079,0.02141410712,0.005905515
New York,119,2019-06-20 21:00:00,0.01783321113,0.1276266689,0.08993414733,0.08993414733,0.7046657887,0.7046657887,8.131273349e-11,0.2953342113,0.2953342113,1095,1095,3.846498066,0.009006987358,0.03805776333
Dallas,57,2019-04-18 12:00:00,0.5691464883,0.06232289383,0.06232289383,0.06232289383,1,1,6.983895631e-11,-6.983902345e-11,0,212,212,4.58733773,0.04057741584,0.09448824
Dallas,61,2019-04-24 15:00:00,0.6946419693,0.05991398588,0.05991398588,0.05991398588,1,1,2.39593988e-11,-2.395950105e-11,0,212,212,5.38242858,0.06215555493,0.352362395
Dallas,59,2019-04-23 19:00:00,0.6307852175,0.06568683295,0.06568683295,0.06568683295,1,1,1.229026896e-11,-1.229016888e-11,0,212,212,5.358569577,0.06215555493,2.210631115
Dallas,55,2019-04-17 11:00:00,0.6297233168,0.06413741853,0.06413741853,0.06413741853,1,1,-3.190351701e-11,3.190347986e-11,0,212,212,5.223364031,0.04385983862,0.01574804
Dallas,60,2019-04-24 11:00:00,0.6434381403,0.07239293644,0.07239293644,0.07239293644,1,0.9999999999,-9.026358445e-11,9.026357439e-11,0,212,212,6.024098126,0.06215555493,0.041338605
Dallas,64,2019-04-30 18:00:00,0.6216910488,0.05486721131,0.05486721131,0.05486721131,1,0.9999999999,-9.152708428e-11,9.152711922e-11,0,212,212,4.411401083,0.05493827201,0.005905515
Philadelphia,658,2023-07-29 09:00:00,0.0198147851,0.126623227,0.1204695498,0.1204695498,0.9514016719,0.9514016717,-1.192222575e-10,0.04859832826,0.04859832814,643,643,1.249107647,0.00879234695,0.01574804
