city,event_id,unit,t,intervention,lp_cost,greedy_cost,absolute_cost_difference,allocation_preference,marginal_resource_value,finite_deficit_area_value,active_weighted_horizon,origin_exposure_rank,destination_importance_rank,local_remaining_rank,access_remaining_rank,eta_per_cost_rank
New York,100,1605,6,R,0,0.02805722284,0.02805722284,greedy_more,0.03844217536,0.0006778826849,5.114001765,0.881443299,0.9979381443,0.9979381443,1,0.002577319588
Philadelphia,640,505,7,C,0.000100781982,0.00532173913,0.005220957148,greedy_more,0.6749126808,0.0002390179836,2.52563125,1,1,1,0.9875389408,0.001557632399
Philadelphia,640,505,6,C,0.0001390116285,0.00532173913,0.005182727501,greedy_more,0.705918587,0.0003523924686,2.641660312,1,1,1,0.9859813084,0.001557632399
Philadelphia,640,505,5,C,0.0001917429335,0.00532173913,0.005129996197,greedy_more,0.726072426,0.0005087733164,2.717079203,1,1,1,0.984423676,0.001557632399
Philadelphia,640,505,4,C,0.0002644768134,0.00532173913,0.005057262317,greedy_more,0.7391724214,0.0007244741381,2.766101482,1,1,1,0.984423676,0.001557632399
Philadelphia,640,505,3,C,0.0003648008484,0.00532173913,0.004956938282,greedy_more,0.7476874184,0.001021996789,2.797965963,1,1,1,0.9797507788,0.001557632399
Philadelphia,640,505,2,C,0.001313889875,0.00532173913,0.004007849255,greedy_more,0.7532221664,0.001432378759,2.818677876,1,1,1,0.9797507788,0.001557632399
Philadelphia,640,505,1,C,0.002660869565,0.00532173913,0.002660869565,greedy_more,0.7568197526,0.001998430992,2.83214062,1,1,1,0.9781931464,0.001557632399
Philadelphia,640,86,0,C,0.005289666172,0.002644833086,0.002644833086,lp_more,0.6681088454,0.00228838244,2.840891403,0.9485981308,0.9984423676,0.9984423676,0.9641744548,0.003115264798
Philadelphia,640,314,0,C,0.005285409058,0.002642704529,0.002642704529,lp_more,0.6562393292,0.002228098924,2.840891403,0.9890965732,0.9968847352,0.9968847352,0.992211838,0.004672897196
Philadelphia,640,505,10,C,3.840415259e-05,0.002660869565,0.002622465412,greedy_more,0.4409218184,5.402923996e-05,1.65,1,1,1,0.9890965732,0.001557632399
Philadelphia,640,505,9,C,5.297200639e-05,0.002660869565,0.002607897559,greedy_more,0.5538245264,9.723191304e-05,2.0725,1,1,1,0.9890965732,0.001557632399
Philadelphia,640,86,9,C,4.474004045e-05,0.002644833086,0.002600093046,greedy_more,0.4874017996,7.646719422e-05,2.0725,0.9485981308,0.9984423676,0.9984423676,0.9704049844,0.003115264798
Philadelphia,640,314,9,C,4.375044613e-05,0.002642704529,0.002598954083,greedy_more,0.4787426962,7.400849934e-05,2.0725,0.9890965732,0.9968847352,0.9968847352,0.992211838,0.004672897196
Philadelphia,640,321,0,C,0.002597114891,0,0.002597114891,lp_more,0.413534581,0.001167003571,2.840891403,0.5109034268,0.9719626168,0.9719626168,0.8753894081,0.02959501558
Philadelphia,640,321,1,C,0.002597114891,0,0.002597114891,lp_more,0.4122607726,0.000821057203,2.83214062,0.5109034268,0.9719626168,0.9719626168,0.8753894081,0.02959501558
Philadelphia,640,301,0,C,0.002596101394,0,0.002596101394,lp_more,0.4083780884,0.001147784885,2.840891403,0.8037383178,0.9704049844,0.9704049844,0.8551401869,0.03115264798
Philadelphia,640,301,1,C,0.002596101394,0,0.002596101394,lp_more,0.4071201635,0.0008072737059,2.83214062,0.8037383178,0.9704049844,0.9704049844,0.8504672897,0.03115264798
Philadelphia,640,101,9,C,3.987807741e-05,0.00263387619,0.002593998113,greedy_more,0.4432352268,6.447826604e-05,2.0725,0.9968847352,0.9953271028,0.9953271028,0.8224299065,0.006230529595
Philadelphia,640,59,0,C,0.002593968853,0,0.002593968853,lp_more,0.3975553988,0.001107873791,2.840891403,0.5420560748,0.968847352,0.968847352,0.8411214953,0.03271028037
Philadelphia,640,59,1,C,0.002593968853,0,0.002593968853,lp_more,0.396330811,0.0007786727713,2.83214062,0.5420560748,0.968847352,0.968847352,0.8364485981,0.03271028037
Philadelphia,641,505,2,C,8.415008372e-06,0.002660869565,0.002652454557,greedy_more,1.494852952,0.003723035591,2.818677876,1,1,1,0.9750778816,0.001557632399
Philadelphia,641,505,1,C,1.160707494e-05,0.002660869565,0.00264926249,greedy_more,1.501992761,0.003741822804,2.83214062,1,1,1,0.9750778816,0.001557632399
Philadelphia,641,86,2,C,7.421543918e-06,0.002644833086,0.002637411542,greedy_more,1.315568351,0.003091286815,2.818677876,0.9485981308,0.9984423676,0.9984423676,0.9626168224,0.003115264798
Philadelphia,641,314,2,C,7.298322964e-06,0.002642704529,0.002635406206,greedy_more,1.292196172,0.003013108125,2.818677876,0.9890965732,0.9968847352,0.9968847352,0.992211838,0.004672897196
Philadelphia,641,86,1,C,1.030022589e-05,0.002644833086,0.00263453286,greedy_more,1.32185185,0.003106886503,2.83214062,0.9485981308,0.9984423676,0.9984423676,0.9626168224,0.003115264798
Philadelphia,641,314,1,C,1.013735191e-05,0.002642704529,0.002632567177,greedy_more,1.298368039,0.003028313178,2.83214062,0.9890965732,0.9968847352,0.9968847352,0.992211838,0.004672897196
Philadelphia,641,101,3,C,4.884843522e-06,0.00263387619,0.002628991346,greedy_more,1.187565407,0.002692484661,2.797965963,0.9968847352,0.9953271028,0.9953271028,0.8052959502,0.006230529595
Philadelphia,641,267,3,C,4.863397568e-06,0.002633344542,0.002628481144,greedy_more,1.181888463,0.002674496186,2.797965963,0.9252336449,0.9937694704,0.9937694704,0.9657320872,0.007788161994
Philadelphia,641,101,2,C,6.807405967e-06,0.00263387619,0.002627068784,greedy_more,1.196356347,0.002702269317,2.818677876,0.9968847352,0.9953271028,0.9953271028,0.8052959502,0.006230529595
Philadelphia,641,53,3,C,4.802783018e-06,0.002631829798,0.002627027015,greedy_more,1.165740932,0.002623633046,2.797965963,0.6791277259,0.992211838,0.992211838,0.9641744548,0.009345794393
Philadelphia,641,267,2,C,6.778848901e-06,0.002633344542,0.002626565693,greedy_more,1.19063738,0.002684213509,2.818677876,0.9252336449,0.9937694704,0.9937694704,0.9657320872,0.007788161994
Philadelphia,641,53,2,C,6.698094932e-06,0.002631829798,0.002625131703,greedy_more,1.174370317,0.002633160096,2.818677876,0.6791277259,0.992211838,0.992211838,0.9641744548,0.009345794393
Philadelphia,641,101,1,C,9.486644922e-06,0.00263387619,0.002624389545,greedy_more,1.202070458,0.002715904988,2.83214062,0.9968847352,0.9953271028,0.9953271028,0.8052959502,0.006230529595
Philadelphia,641,267,1,C,9.448701608e-06,0.002633344542,0.00262389584,greedy_more,1.196324175,0.002697758006,2.83214062,0.9252336449,0.9937694704,0.9937694704,0.9657320872,0.007788161994
Philadelphia,641,53,1,C,9.341349702e-06,0.002631829798,0.002622488448,greedy_more,1.179979417,0.002646446784,2.83214062,0.6791277259,0.992211838,0.992211838,0.9641744548,0.009345794393
Philadelphia,641,413,3,C,4.472828048e-06,0.002623253463,0.002618780635,greedy_more,1.075250435,0.002346651218,2.797965963,0.4672897196,0.9906542056,0.9906542056,0.9937694704,0.01090342679
Philadelphia,641,350,3,C,4.411807011e-06,0.002621602372,0.002617190565,greedy_more,1.058011373,0.002295416022,2.797965963,0.9190031153,0.9890965732,0.9890965732,0.9984423676,0.01246105919
Philadelphia,641,413,2,C,6.257433646e-06,0.002623253463,0.002616996029,greedy_more,1.083209964,0.002355144937,2.818677876,0.4672897196,0.9906542056,0.9906542056,0.9937694704,0.01090342679
Philadelphia,641,350,2,C,6.175734339e-06,0.002621602372,0.002615426638,greedy_more,1.065843291,0.002303719142,2.818677876,0.9190031153,0.9890965732,0.9890965732,0.9984423676,0.01246105919
Philadelphia,641,48,4,C,0.002614820379,0,0.002614820379,lp_more,0.9764590368,0.002086160391,2.766101482,0.7881619938,0.9859813084,0.9859813084,0.9735202492,0.01557632399
Philadelphia,642,505,5,C,1.636230619e-05,0.002660869565,0.002644507259,greedy_more,1.627308916,0.003120899394,2.717079203,1,1,1,0.9750778816,0.001557632399
Philadelphia,642,505,4,C,2.256902261e-05,0.002660869565,0.002638300542,greedy_more,1.656669265,0.003162153484,2.766101482,1,1,1,0.9750778816,0.001557632399
Philadelphia,642,86,5,C,1.416548572e-05,0.002644833086,0.0026306676,greedy_more,1.432138261,0.002596928179,2.717079203,0.9485981308,0.9984423676,0.9984423676,0.96105919,0.003115264798
Philadelphia,642,505,3,C,3.113013383e-05,0.002660869565,0.002629739431,greedy_more,1.675753491,0.003219056494,2.797965963,1,1,1,0.9750778816,0.001557632399
Philadelphia,642,314,5,C,1.389675542e-05,0.002642704529,0.002628807774,greedy_more,1.406695119,0.002531957948,2.717079203,0.9890965732,0.9968847352,0.9968847352,0.992211838,0.004672897196
Philadelphia,642,86,4,C,1.966002013e-05,0.002644833086,0.002625173066,greedy_more,1.457977288,0.002630553605,2.766101482,0.9485981308,0.9984423676,0.9984423676,0.9626168224,0.003115264798
Philadelphia,642,314,4,C,1.93025577e-05,0.002642704529,0.002623401971,greedy_more,1.432075094,0.002564653824,2.766101482,0.9890965732,0.9968847352,0.9968847352,0.992211838,0.004672897196
Philadelphia,642,101,5,C,1.283462957e-05,0.00263387619,0.00262104156,greedy_more,1.302363117,0.002273341416,2.717079203,0.9968847352,0.9953271028,0.9953271028,0.8068535826,0.006230529595
Philadelphia,642,267,5,C,1.277326976e-05,0.002633344542,0.002620571272,greedy_more,1.296137404,0.002258304206,2.717079203,0.9252336449,0.9937694704,0.9937694704,0.9657320872,0.007788161994
Philadelphia,642,53,5,C,1.260001243e-05,0.002631829798,0.002619229786,greedy_more,1.278428948,0.002215776866,2.717079203,0.6791277259,0.992211838,0.992211838,0.9641744548,0.009345794393
Philadelphia,642,546,6,C,0.002618119851,0,0.002618119851,lp_more,1.089477184,0.001835616444,2.641660312,0.8971962617,0.9875389408,0.9875389408,0.9517133956,0.01401869159
