city,intervention,rank,unit,total_cost,primitive_cost_share,origin_exposure_rank_pct,destination_importance_rank_pct,initial_deficit_rank_pct,out_degree_rank_pct,in_degree_rank_pct
Austin,S,7,125,0.2305579851100789,0.04296504439825748,0.9565217391304348,0.8743961352657005,0.8743961352657005,0.9106280193236715,0.8140096618357487
Austin,S,8,159,0.2231147772120946,0.041577984402700746,0.9855072463768116,0.37681159420289856,0.37681159420289856,0.7004830917874396,0.26811594202898553
Chicago,C,1,849,1.084157081169722,0.02636427799747423,1.0,1.0,1.0,1.0,0.9982993197278912
Chicago,C,2,411,1.0514150489181235,0.02556806492514705,0.9988662131519275,0.9977324263038548,0.9988662131519275,0.9943310657596371,0.9982993197278912
Chicago,C,3,719,1.0513460037660807,0.02556638590130959,0.9897959183673469,0.9988662131519275,0.9977324263038548,0.9977324263038548,0.9982993197278912
Chicago,C,4,463,1.0184823711760072,0.02476721578042937,0.8866213151927438,0.9965986394557823,0.9965986394557823,0.9240362811791383,0.9739229024943311
Chicago,C,5,700,0.9932430402663888,0.02415345164225348,0.8843537414965986,0.9954648526077098,0.9954648526077098,0.9807256235827665,0.9886621315192744
Chicago,C,6,173,0.9809278146010167,0.023853972868667285,0.8968253968253969,0.9943310657596371,0.9943310657596371,0.9841269841269841,0.9931972789115646
Chicago,C,7,209,0.9441930342492744,0.02296066508311598,0.14852607709750568,0.9931972789115646,0.9931972789115646,0.5249433106575964,0.971655328798186
Chicago,C,8,257,0.936541479200719,0.022774596359388746,0.971655328798186,0.9920634920634921,0.9920634920634921,0.8741496598639455,0.8707482993197279
Chicago,R,1,849,1.1212008975791214,0.06065022689522702,1.0,1.0,1.0,1.0,0.9982993197278912
Chicago,R,2,411,1.1071382330854354,0.0598895213034503,0.9988662131519275,0.9977324263038548,0.9988662131519275,0.9943310657596371,0.9982993197278912
Chicago,R,3,719,1.1070375494181401,0.05988407492245,0.9897959183673469,0.9988662131519275,0.9977324263038548,0.9977324263038548,0.9982993197278912
Chicago,R,4,463,1.0140258534041469,0.054852701437699034,0.8866213151927438,0.9965986394557823,0.9965986394557823,0.9240362811791383,0.9739229024943311
Chicago,R,5,700,0.9550016594272581,0.05165984744985822,0.8843537414965986,0.9954648526077098,0.9954648526077098,0.9807256235827665,0.9886621315192744
Chicago,R,6,173,0.9352500827003632,0.05059140591309953,0.8968253968253969,0.9943310657596371,0.9943310657596371,0.9841269841269841,0.9931972789115646
