city,unit,origin_exposure_p,destination_importance,initial_deficit_b0,local_disturbance_h,out_degree,in_degree,origin_exposure_p_rank_pct,origin_exposure_p_top10,origin_exposure_p_top25,destination_importance_rank_pct,destination_importance_top10,destination_importance_top25,initial_deficit_b0_rank_pct,initial_deficit_b0_top10,initial_deficit_b0_top25,local_disturbance_h_rank_pct,local_disturbance_h_top10,local_disturbance_h_top25,out_degree_rank_pct,out_degree_top10,out_degree_top25,in_degree_rank_pct,in_degree_top10,in_degree_top25
Chicago,696,0.0019004928476710962,0.0010046174867639759,0.0351040053218126,0.04962242013555102,502,332,0.8639455782312925,False,True,0.5748299319727891,False,False,0.5759637188208617,False,False,0.5759637188208617,False,False,0.8599773242630385,False,True,0.46258503401360546,False,False
Chicago,429,0.0018132168432910948,0.0010844980653765312,0.035327661221702944,0.049938576281506754,473,319,0.8458049886621315,False,True,0.6122448979591837,False,False,0.6122448979591837,False,False,0.6122448979591837,False,False,0.7959183673469388,False,True,0.42290249433106575,False,False
Chicago,434,0.0021398990116212402,0.0007678190912044229,0.034438196401619374,0.04868124405991682,600,338,0.9126984126984127,True,True,0.41383219954648526,False,False,0.3979591836734694,False,False,0.3979591836734694,False,False,0.9523809523809523,True,True,0.47959183673469385,False,False
Chicago,501,0.0017387799152490991,0.0011496937582756602,0.035500817822112035,0.050183347483424394,496,332,0.826530612244898,False,True,0.6485260770975056,False,False,0.6485260770975056,False,False,0.6485260770975056,False,False,0.8497732426303855,False,True,0.46258503401360546,False,False
Chicago,40,0.0017155211305905666,0.0011634508818924936,0.03553476474040042,0.05023133426516542,437,295,0.8197278911564626,False,True,0.655328798185941,False,False,0.655328798185941,False,False,0.655328798185941,False,False,0.6944444444444444,False,False,0.34410430839002265,False,False
Chicago,506,0.002124918108174684,0.0007488070300927401,0.034434059305414405,0.048675395931643654,413,186,0.9104308390022676,True,True,0.3945578231292517,False,False,0.3934240362811791,False,False,0.3934240362811791,False,False,0.6303854875283447,False,False,0.07653061224489796,False,False
Chicago,241,0.0016033261291764724,0.0012597322393020972,0.035789966477547806,0.050592083065877945,457,309,0.7789115646258503,False,True,0.7006802721088435,False,False,0.7006802721088435,False,False,0.7006802721088435,False,False,0.7556689342403629,False,True,0.38605442176870747,False,False
Chicago,683,0.0019439411286247975,0.0009178868050723622,0.034877899666896126,0.049302801057886474,547,373,0.873015873015873,False,True,0.5192743764172335,False,False,0.5204081632653061,False,False,0.5204081632653061,False,False,0.9195011337868481,True,True,0.5821995464852607,False,False
Chicago,376,0.0014831400255138926,0.0013737080877637272,0.036091658541742004,0.051018549795920964,438,303,0.7380952380952381,False,False,0.7380952380952381,False,False,0.7380952380952381,False,False,0.7380952380952381,False,False,0.699546485260771,False,False,0.36507936507936506,False,False
Chicago,519,0.002047690215046571,0.0008043819075306188,0.03458183841456216,0.04888429394696017,442,212,0.891156462585034,False,True,0.445578231292517,False,False,0.4467120181405896,False,False,0.4467120181405896,False,False,0.7103174603174603,False,False,0.13038548752834467,False,False
Chicago,779,0.0010883204630128863,0.0017575768665927262,0.03711261054850737,0.052461750050521685,280,404,0.5578231292517006,False,False,0.8492063492063492,False,True,0.8526077097505669,False,True,0.8526077097505669,False,True,0.2108843537414966,False,False,0.6530612244897959,False,False
Chicago,846,0.001371813618137018,0.0014814677125795025,0.036352550692415934,0.05138734246764396,525,729,0.6904761904761905,False,False,0.7777777777777778,False,True,0.7732426303854876,False,True,0.7732426303854876,False,True,0.8996598639455783,False,True,0.9433106575963719,True,True
