level,feature,target,n,pearson,spearman,abs_spearman
city,n_units,mean_baseline_objective,7,-0.027928308592829923,0.14285714285714288,0.14285714285714288
city,q_nnz,mean_baseline_objective,7,-0.029112594486048374,0.14285714285714288,0.14285714285714288
city,od_rows,mean_baseline_objective,7,-0.029112909726545542,0.14285714285714288,0.14285714285714288
city,origin_zone_count,mean_baseline_objective,7,-0.027988775995904824,0.14285714285714288,0.14285714285714288
city,destination_zone_count,mean_baseline_objective,7,-0.027928308592829923,0.14285714285714288,0.14285714285714288
city,log_n_units,mean_baseline_objective,7,-0.04041656250532328,0.14285714285714288,0.14285714285714288
city,log_od_rows,mean_baseline_objective,7,-0.03734602143659885,0.14285714285714288,0.14285714285714288
city,doc_over_1_volume_share,mean_baseline_objective,7,-0.07118841889243599,0.10714285714285716,0.10714285714285716
city,link_volume_hhi,mean_baseline_objective,7,-0.01119101527302964,-0.10714285714285716,0.10714285714285716
city,rain_kernel_sum,mean_baseline_objective,7,-0.010760670816485464,-0.07142857142857144,0.07142857142857144
city,q_density,mean_baseline_objective,7,0.00497911692660401,-0.03571428571428572,0.03571428571428572
city,od_density_observed,mean_baseline_objective,7,0.004693108426921183,-0.03571428571428572,0.03571428571428572
city,within_zone_volume_share,mean_baseline_objective,7,0.29334485598714144,-0.03571428571428572,0.03571428571428572
city,destination_volume_gini,mean_baseline_objective,7,-0.1106005971039742,0.03571428571428572,0.03571428571428572
city,od_sparsity,mean_baseline_objective,7,-0.004979116926603957,0.03571428571428572,0.03571428571428572
city,top10_link_volume_share,mean_baseline_objective,7,-0.026705105494568872,0.0,0.0
city,q_density,mean_recoverable_fraction,7,-0.33759739621982177,-0.6071428571428572,0.6071428571428572
city,od_density_observed,mean_recoverable_fraction,7,-0.33735746946462586,-0.6071428571428572,0.6071428571428572
city,link_volume_hhi,mean_recoverable_fraction,7,-0.27130402196384507,-0.6071428571428572,0.6071428571428572
city,od_sparsity,mean_recoverable_fraction,7,0.33759739621982177,0.6071428571428572,0.6071428571428572
city,a_retention,mean_recoverable_fraction,7,-0.7624417194929276,-0.6071428571428572,0.6071428571428572
city,n_units,mean_recoverable_fraction,7,0.30783715604053324,0.5714285714285715,0.5714285714285715
city,q_nnz,mean_recoverable_fraction,7,0.3009053541919773,0.5714285714285715,0.5714285714285715
city,od_rows,mean_recoverable_fraction,7,0.30090587479736375,0.5714285714285715,0.5714285714285715
city,origin_zone_count,mean_recoverable_fraction,7,0.3080045981738764,0.5714285714285715,0.5714285714285715
city,destination_zone_count,mean_recoverable_fraction,7,0.30783715604053324,0.5714285714285715,0.5714285714285715
city,congested_volume_share_speed_ratio_lt_0_8,mean_recoverable_fraction,7,0.3244020925201729,0.5714285714285715,0.5714285714285715
city,log_n_units,mean_recoverable_fraction,7,0.3581391871195213,0.5714285714285715,0.5714285714285715
city,log_od_rows,mean_recoverable_fraction,7,0.3486891076589179,0.5714285714285715,0.5714285714285715
city,top10_destination_volume_share,mean_recoverable_fraction,7,-0.2152828039142107,-0.5357142857142858,0.5357142857142858
city,destination_volume_hhi,mean_recoverable_fraction,7,-0.27593905477296715,-0.5357142857142858,0.5357142857142858
city,destination_volume_gini,mean_recoverable_fraction,7,0.36408068991502324,0.4642857142857144,0.4642857142857144
city,volume_weighted_speed_kmph,mean_recoverable_fraction,7,-0.22082092613278806,-0.39285714285714296,0.39285714285714296
city,top10_link_volume_share,mean_recoverable_fraction,7,-0.15307473197630866,-0.3571428571428572,0.3571428571428572
city,rain_kernel_sum,mean_recoverable_fraction,7,0.13995941107778087,0.28571428571428575,0.28571428571428575
city,within_zone_volume_share,mean_recoverable_fraction,7,-0.38988239712840456,-0.25,0.25
city,doc_over_1_volume_share,mean_recoverable_fraction,7,0.24461664215063444,0.1785714285714286,0.1785714285714286
city,tmc_deficit_gini,mean_recoverable_fraction,7,0.07728321025381495,-0.07142857142857144,0.07142857142857144
city,top_10pct_tmc_deficit_share,mean_recoverable_fraction,7,0.12094057426677693,-0.07142857142857144,0.07142857142857144
