heuristic,heuristic_label,heuristic_score,city,event_id,event_start,unit,t,intervention,target_value,target_rank_pct,delay_feasible,active_weighted_horizon,active_future_loss_share,law_exposure_term,eta_per_cost,deficit_only_score,deficit_only_rank_pct,exposure_only_score,exposure_only_rank_pct,structure_only_score,structure_only_rank_pct,origin_exposure,destination_importance,od_scarcity,baseline_objective,recoverable_fraction,reason_tags
deficit_only,Highest remaining deficit,1,New York,103,2019-06-11 01:00:00,1286,10,C,0.005619900149,0.792195122,1,1.65,1,0.003819148904,0.3156862745,1,0.9956097561,1,0.9929268293,0.1528350515,0.5234146341,0.001213359003,0.003819148904,0.1528350515,0.3539791125,0.1360233972,below_median_future_horizon;below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,New York,102,2019-06-10 12:00:00,1286,8,R,0.006206221706,0.7510204082,1,3.638371115,1,0.003819148904,0.138,1,0.9956632653,1,0.9928571429,0.1528350515,0.5288265306,0.001213359003,0.003819148904,0.1528350515,0.3089764556,0.1118956433,below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,Philadelphia,648,2023-07-16 04:00:00,102,9,S,0.006310915114,0.09126984127,1,1.6525,1,0.0005812892562,0.5352237438,1,0.9943310658,0.05919003115,0.01729024943,0.05315117283,0.2936507937,0.0005812892562,0.002720609778,0.8979750779,0.08146607583,0.1693919213,below_median_future_horizon;below_median_exposure;short_remaining_window
deficit_only,Highest remaining deficit,1,New York,111,2019-06-18 23:00:00,1286,8,R,0.006401090661,0.7673975214,1,3.638371115,1,0.003819148904,0.138,1,0.9959485224,1,0.9933269781,0.1528350515,0.523593899,0.001213359003,0.003819148904,0.1528350515,0.2995702587,0.1167509254,below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,New York,102,2019-06-10 12:00:00,1286,10,C,0.0064384429,0.7826530612,1,1.65,1,0.003819148904,0.3156862745,1,0.9956632653,1,0.9928571429,0.1528350515,0.5288265306,0.001213359003,0.003819148904,0.1528350515,0.3089764556,0.1118956433,below_median_future_horizon;below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,Chicago,153,2019-07-18 08:00:00,849,9,R,0.006565353572,0.4333519241,1,2.516914744,1,0.006803501208,0.138,1,0.9949804796,1,0.991912995,0,0.008644729504,0.006780866894,0.006803501208,0,0.3599332252,0.1447617086,below_median_future_horizon;below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,Dallas,61,2019-04-24 15:00:00,49,10,S,0.006595499399,0.4133333333,1,1.45,1,0.006113930949,0.5167972245,1,0.9891666667,0.9863387978,0.8804166667,0.009432201618,0.06541666667,0.006113930949,0.00868471264,0.00956284153,0.6946419693,0.05991398588,below_median_future_horizon;short_remaining_window
deficit_only,Highest remaining deficit,1,New York,111,2019-06-18 23:00:00,1286,10,C,0.006640603361,0.7969494757,1,1.65,1,0.003819148904,0.3156862745,1,0.9959485224,1,0.9933269781,0.1528350515,0.523593899,0.001213359003,0.003819148904,0.1528350515,0.2995702587,0.1167509254,below_median_future_horizon;below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,New York,108,2019-06-16 19:00:00,1286,8,R,0.006833409573,0.7919863598,1,3.638371115,1,0.003819148904,0.138,1,0.9961636829,1,0.9936061381,0.1528350515,0.5264279625,0.001213359003,0.003819148904,0.1528350515,0.2806178036,0.1540652389,below_median_efficiency;short_remaining_window
deficit_only,Highest remaining deficit,1,New York,106,2019-06-13 22:00:00,1605,10,S,0.006897545361,0.1381963681,1,1.45,1,0.0008573690678,0.517048155,1,0.9969221299,0.881443299,0.1440443213,0.08746280157,0.3865804863,0.0008573690678,0.003658028581,0.09922680412,0.0931906285,0.1475271351,below_median_future_horizon;below_median_exposure;short_remaining_window
