hidden_definition,city,event_id,event_start,unit,t,intervention,target_value,target_rank_pct,delay_feasible,active_weighted_horizon,active_future_loss_share,law_exposure_term,eta_per_cost,deficit_only_score,deficit_only_rank_pct,exposure_only_score,exposure_only_rank_pct,structure_only_score,structure_only_rank_pct,origin_exposure,destination_importance,od_scarcity,baseline_objective,recoverable_fraction
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,172,2,R,0.01508684618,0.9758333333,1,9.220522306,1,0.006662776099,0.1397692971,0.9590163934,0.7429166667,0.9590163934,0.6808333333,0.08646869121,0.385,0.005251760719,0.006662776099,0.09016393443,0.5691464883,0.06232289383
target_top5_not_any_simple_top20,Dallas,64,2019-04-30 18:00:00,287,2,R,0.01404400636,0.9791666667,1,9.237173887,1,0.006766702697,0.1396848858,0.9699453552,0.79875,0.9699453552,0.7558333333,0.3630669772,0.77125,0.003906269196,0.006766702697,0.3743169399,0.6216910488,0.05486721131
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,287,3,R,0.01392728864,0.965,1,8.386178921,1,0.006766702697,0.1396848858,0.9699453552,0.79875,0.9699453552,0.7558333333,0.3630669772,0.7720833333,0.003906269196,0.006766702697,0.3743169399,0.5691464883,0.06232289383
target_top5_not_any_simple_top20,Dallas,64,2019-04-30 18:00:00,36,2,R,0.01387799852,0.9775,1,9.225264069,1,0.00669245962,0.1397451954,0.9644808743,0.77,0.9644808743,0.7170833333,0.01844635552,0.1320833333,0.005544088009,0.00669245962,0.01912568306,0.6216910488,0.05486721131
target_top5_not_any_simple_top20,Dallas,55,2019-04-17 11:00:00,287,2,R,0.01386487178,0.9791666667,1,9.237173887,1,0.006766702697,0.1396848858,0.9699453552,0.7966666667,0.9699453552,0.7566666667,0.3630669772,0.7604166667,0.003906269196,0.006766702697,0.3743169399,0.6297233168,0.06413741853
target_top5_not_any_simple_top20,Dallas,64,2019-04-30 18:00:00,202,2,R,0.01385728795,0.9766666667,1,9.223809941,1,0.006683172531,0.139752581,0.9617486339,0.75625,0.9617486339,0.69875,0.01313864254,0.09125,0.004191497768,0.006683172531,0.01366120219,0.6216910488,0.05486721131
target_top5_not_any_simple_top20,Dallas,59,2019-04-23 19:00:00,287,2,R,0.01384153085,0.9791666667,1,9.237173887,1,0.006766702697,0.1396848858,0.9699453552,0.7975,0.9699453552,0.75625,0.3630669772,0.7641666667,0.003906269196,0.006766702697,0.3743169399,0.6307852175,0.06568683295
target_top5_not_any_simple_top20,Dallas,64,2019-04-30 18:00:00,172,2,R,0.01381172455,0.9758333333,1,9.220522306,1,0.006662776099,0.1397692971,0.9590163934,0.7425,0.9590163934,0.6804166667,0.08646869121,0.3954166667,0.005251760719,0.006662776099,0.09016393443,0.6216910488,0.05486721131
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,36,3,R,0.0137645844,0.9558333333,1,8.376537148,1,0.00669245962,0.1397451954,0.9644808743,0.7720833333,0.9644808743,0.7179166667,0.01844635552,0.1345833333,0.005544088009,0.00669245962,0.01912568306,0.5691464883,0.06232289383
target_top5_not_any_simple_top20,Dallas,57,2019-04-18 12:00:00,202,3,R,0.01374427776,0.9541666667,1,8.37535981,1,0.006683172531,0.139752581,0.9617486339,0.7579166667,0.9617486339,0.6995833333,0.01313864254,0.09041666667,0.004191497768,0.006683172531,0.01366120219,0.5691464883,0.06232289383
