feature_set,feature_description,objective_id,objective_description,heldout_city,n_features,n_tokens,n_events,spearman,top_1pct_value_capture,top_5pct_value_capture,top_10pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Dallas,30,12000,10,0.9397992315,0.7603425094,0.9005295972,0.9448999047,0.8507605781,0.4666666667,0.09947040278
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Houston,30,4800,4,0.9734789017,0.9952346713,0.9599446215,0.9596893798,0.9684838303,0.8416666667,0.04005537852
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,New York,30,50454,24,0.9481041264,0.8726962272,0.9677619928,0.9732519417,0.931327601,0.8124648796,0.03223800721
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,Philadelphia,30,33719,20,0.8849705533,0.979949141,0.9779439797,0.9767364538,0.9780910696,0.8674429399,0.02205602035
full_additive,full additive action-value features,O3_top_tail_weighted_log,log-value regression with top-tail action weights,San Antonio,30,25076,19,0.9322334195,0.9494437088,0.9311791824,0.9335832534,0.9381980066,0.6846783062,0.06882081756
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,Austin,30,18007,15,0.7176835061,0.982845938,0.9474126305,0.9561309533,0.9605448202,0.4661566485,0.05258736954
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,Chicago,30,26081,13,0.5955760898,0.9984805281,0.9797882993,0.9770757514,0.9847230695,0.8329634845,0.02021170072
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,Dallas,30,12000,10,0.774474211,0.8729612909,0.9252917408,0.9452458254,0.9230050034,0.45,0.07470825919
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,Houston,30,4800,4,0.7556254529,0.9467759121,0.998843278,0.9946181349,0.9830125626,0.9833333333,0.001156721992
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,New York,30,50454,24,0.668170695,0.9193470768,0.9502906139,0.9570929708,0.9382608255,0.754547661,0.04970938605
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,Philadelphia,30,33719,20,0.5738843886,0.9969408712,0.9566819351,0.9638136325,0.9656175543,0.7776429683,0.04331806488
full_additive,full additive action-value features,O4_rank_percentile,within-event target rank-percentile regression,San Antonio,30,25076,19,0.7265652308,0.9958298298,0.9500123441,0.9679301624,0.9618372924,0.722173684,0.04998765593
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,Austin,30,18007,15,0.7455762056,0.9998060927,0.968260238,0.9664205015,0.9762037624,0.6004553734,0.03173976202
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,Chicago,30,26081,13,0.5718362814,0.9981477614,0.9856081316,0.9793537275,0.9888315223,0.8473793615,0.0143918684
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,Dallas,30,12000,10,0.8078984097,0.9916693997,0.9873405833,0.9812631686,0.9889256528,0.7666666667,0.01265941672
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,Houston,30,4800,4,0.7876635538,0.9943005387,0.9990511903,0.9994651405,0.9986280365,0.9666666667,0.0009488097155
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,New York,30,50454,24,0.6784681114,0.9481105309,0.9572292098,0.9644715852,0.9547158142,0.7770449983,0.04277079019
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,Philadelphia,30,33719,20,0.5829750439,0.9973787941,0.9700297651,0.9738679498,0.9765795555,0.8317531057,0.0299702349
full_additive,full additive action-value features,O5_event_zscore_log,within-event standardized log-value regression,San Antonio,30,25076,19,0.7473585504,0.999564495,0.9905627477,0.9879035369,0.9922239927,0.8593891511,0.009437252314
