feature_set,feature_description,objective_id,objective_description,heldout_city,n_features,city,event_id,n_tokens,spearman,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,648,1764,0.9188632513,0.9706271119,0.9777817279,0.7777777778,0.02937288807,0.9638347974,0.9693585722,0.7865168539,0.03616520264,0.977854051,0.9778490832,0.7853107345,0.02214594897
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,649,1768,0.9174772065,0.9706271119,0.9777817279,0.7777777778,0.02937288807,0.9638347974,0.9693585722,0.7865168539,0.03616520265,0.9760492922,0.9764883445,0.7853107345,0.02395070779
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,650,1368,0.9365769383,0.9647439414,0.975363593,0.7857142857,0.03525605858,0.9807861825,0.9824019528,0.8405797101,0.01921381751,0.9665854345,0.971178185,0.7591240876,0.03341456548
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,651,1705,0.9199414912,0.9706271119,0.9777817279,0.7777777778,0.02937288808,0.9675039795,0.9719330095,0.8023255814,0.03249602047,0.9785207898,0.9783128497,0.8011695906,0.02147921018
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,652,1898,0.9138414987,0.9733882138,0.9792990128,0.7894736842,0.02661178616,0.9651716692,0.9700636033,0.7894736842,0.0348283308,0.9773221507,0.9774786258,0.7789473684,0.02267784929
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,653,2136,0.8978315866,0.9817919115,0.9842152537,0.9090909091,0.01820808855,0.9603262946,0.9663329487,0.7476635514,0.03967370541,0.9674407048,0.9701576984,0.7196261682,0.03255929519
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,654,2425,0.8876786177,0.985987393,0.9867466877,0.88,0.01401260698,0.9602448857,0.96570607,0.7459016393,0.03975511427,0.9610690704,0.9650644334,0.7119341564,0.03893092956
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,655,2041,0.9043771371,0.9792494283,0.9826984867,0.8571428571,0.02075057175,0.9669553903,0.9710845297,0.7766990291,0.03304460973,0.9712633678,0.9731704466,0.7414634146,0.02873663216
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,656,1966,0.9085065718,0.9765515992,0.9811218853,0.8,0.0234484008,0.9663112702,0.9707378301,0.7878787879,0.03368872985,0.9737752393,0.9749728198,0.7664974619,0.02622476067
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,657,2060,0.9049608572,0.9792494282,0.9826984867,0.8571428571,0.02075057175,0.9669553903,0.9710845297,0.7766990291,0.03304460972,0.9698110687,0.9720384845,0.7427184466,0.03018893132
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,658,1386,0.8353696245,0.8784581002,0.8953217167,0.5714285714,0.1215418998,0.8699049679,0.878824534,0.5857142857,0.1300950321,0.8735425671,0.8791649192,0.5827338129,0.1264574329
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,Philadelphia,7,Philadelphia,659,1619,0.9248000541,0.970539452,0.9779668363,0.7647058824,0.02946054803,0.9683855444,0.9726735599,0.7901234568,0.03161445559,0.9731282479,0.9744969566,0.7901234568,0.02687175212
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,San Antonio,7,San Antonio,491,1205,0.9534364739,0.9619302892,0.9741302919,0.7692307692,0.03806971078,0.9505627426,0.9606685776,0.7213114754,0.04943725741,0.9765778726,0.976615616,0.7933884298,0.02342212738
factorized_low_dim,seven-feature activated law components,O1_log_value,ordinary log marginal-value regression,San Antonio,7,San Antonio,492,1259,0.9513166947,0.9619302892,0.9741302919,0.7692307692,0.03806971077,0.9614452223,0.9680133853,0.746031746,0.03855477774,0.974772709,0.9760076358,0.7698412698,0.02522729097
