city,hour,mean_deficit,p90_deficit,observation_count,precipitation,hour_of_week,hour_of_day,expected_deficit,abnormal_deficit,positive_abnormal_deficit,rain_hour,rain_influence_hour
Philadelphia,2023-07-10 23:00:00,0.0389627601791256,0.1406517522580317,77142,0.0,23,23,0.03881193662805825,0.0001508235510673528,0.0001508235510673528,False,False
Philadelphia,2023-07-11 00:00:00,0.0312275569979096,0.1103891142010415,77142,0.0,24,0,0.0308573634735701,0.0003701935243395002,0.0003701935243395002,False,False
Philadelphia,2023-07-11 01:00:00,0.0274519971739275,0.0959445688727468,77142,0.0,25,1,0.0254324627128515,0.002019534461076,0.002019534461076,False,False
Philadelphia,2023-07-11 02:00:00,0.0250167769206692,0.0804882215565652,77142,0.0,26,2,0.0225613314620961,0.0024554454585731,0.0024554454585731,False,False
Philadelphia,2023-07-11 03:00:00,0.0228626859661696,0.0696111355311354,77132,0.0,27,3,0.0221188770699348,0.0007438088962348002,0.0007438088962348002,False,False
Philadelphia,2023-07-11 04:00:00,0.023754676196499,0.0776307906320564,77130,0.0,28,4,0.0230375251007337,0.0007171510957653011,0.0007171510957653011,False,False
Philadelphia,2023-07-11 05:00:00,0.0352604429466471,0.1170834149927901,77130,0.0,29,5,0.03512551577348695,0.0001349271731601459,0.0001349271731601459,False,False
Philadelphia,2023-07-11 06:00:00,0.047973655335162,0.175282980870981,77130,0.0,30,6,0.048851906167069845,-0.0008782508319078453,0.0,False,False
Philadelphia,2023-07-11 07:00:00,0.0636884284850661,0.2319874834814309,77060,0.0,31,7,0.06349170791612099,0.0001967205689451107,0.0001967205689451107,False,False
Philadelphia,2023-07-11 08:00:00,0.0760811734160618,0.2666985077990391,77018,0.0,32,8,0.07464487515285184,0.0014362982632099563,0.0014362982632099563,False,False
Philadelphia,2023-07-11 09:00:00,0.0791114723683394,0.2613553701788697,76807,0.0,33,9,0.0791114723683394,0.0,0.0,False,False
Philadelphia,2023-07-11 10:00:00,0.076100563497077,0.2424106020153892,76752,0.0,34,10,0.076100563497077,0.0,0.0,False,False
Philadelphia,2023-07-11 11:00:00,0.0777383135918735,0.2565468729911522,76743,0.0,35,11,0.0777383135918735,0.0,0.0,False,False
Philadelphia,2023-07-11 12:00:00,0.0801534225677461,0.2611439363956606,76734,0.0,36,12,0.0801534225677461,0.0,0.0,False,False
Philadelphia,2023-07-11 13:00:00,0.0807158948536024,0.2657626101025933,76732,0.0,37,13,0.0807158948536024,0.0,0.0,False,False
Philadelphia,2023-07-11 14:00:00,0.0790434126840814,0.2543534002229655,76747,0.0,38,14,0.0686208288440549,0.010422583840026492,0.010422583840026492,False,False
Philadelphia,2023-07-11 15:00:00,0.0758693797074893,0.2483595155610156,77022,0.0,39,15,0.0682364929823772,0.007632886725112101,0.007632886725112101,False,False
Philadelphia,2023-07-11 16:00:00,0.0786963488301345,0.2666486118387367,77130,0.0,40,16,0.07041856530536425,0.008277783524770252,0.008277783524770252,False,False
Philadelphia,2023-07-11 17:00:00,0.0855156541349089,0.3003600591468973,77130,0.0,41,17,0.0726958310384921,0.0128198230964168,0.0128198230964168,False,False
