city,hour,mean_deficit,p90_deficit,observation_count
Chicago,2019-07-29 02:00:00,0.08736340414264838,0.24402673796791446,75845
Chicago,2019-07-29 03:00:00,0.088814381656012,0.2492967614989924,75810
Chicago,2019-07-29 04:00:00,0.09193418057747095,0.26076545302362963,75810
Chicago,2019-07-29 05:00:00,0.1108018159041359,0.3078706963195656,75830
Chicago,2019-07-29 06:00:00,0.17631890366592193,0.43264428194993415,75834
Chicago,2019-07-29 07:00:00,0.2641571156729549,0.5331038962655184,75834
Chicago,2019-07-29 08:00:00,0.323854799338044,0.5859212825024438,75844
Chicago,2019-07-29 09:00:00,0.33264781789632253,0.5743784794319066,75846
Chicago,2019-07-29 10:00:00,0.3235142904573593,0.5606682916117699,75846
Chicago,2019-07-29 11:00:00,0.32463816310931193,0.5583138405103668,75846
Chicago,2019-07-29 12:00:00,0.32762215692838564,0.562851755128929,75846
Chicago,2019-07-29 13:00:00,0.3437473252428688,0.5790291315126751,75881
Chicago,2019-07-29 14:00:00,0.3349038403007773,0.580906757732245,75812
Chicago,2019-07-29 15:00:00,0.3380862337419424,0.588477698163905,75687
Chicago,2019-07-29 16:00:00,0.35248808205147636,0.6054540762188632,75831
Chicago,2019-07-29 17:00:00,0.3528660715335068,0.6165782775462995,75840
Chicago,2019-07-29 18:00:00,0.31577728629633667,0.5637362739999267,75840
Chicago,2019-07-29 19:00:00,0.2821190612701478,0.512124115942029,75840
Chicago,2019-07-29 20:00:00,0.2711475398351661,0.4914087195931004,75840
Chicago,2019-07-29 21:00:00,0.2687096995996938,0.48243934478139083,75846
Chicago,2019-07-29 22:00:00,0.24722317978773742,0.4522201773013787,75822
Chicago,2019-07-29 23:00:00,0.11949675097845416,0.29940581314940234,75762
Chicago,2019-07-30 00:00:00,0.08955588476201136,0.24695306776556777,75762
Chicago,2019-07-30 01:00:00,0.08770223273239769,0.24304701585179528,75797
Chicago,2019-07-30 02:00:00,0.08663401466055455,0.23713636363636365,75762
Chicago,2019-07-30 03:00:00,0.08859431179459215,0.24462480528150743,75657
Chicago,2019-07-30 04:00:00,0.09355005168749421,0.26341408591408616,75622
Chicago,2019-07-30 05:00:00,0.11426523379223238,0.3139015070657312,75762
Chicago,2019-07-30 06:00:00,0.18092017279511144,0.4410148831968686,75762
Chicago,2019-07-30 07:00:00,0.2712560476317592,0.5461881456449675,75762
Chicago,2019-07-30 08:00:00,0.3332667537335651,0.6028004524672188,75752
Chicago,2019-07-30 09:00:00,0.3320317277844693,0.5916920867852792,75750
Chicago,2019-07-30 10:00:00,0.32233214590826315,0.5654371631296782,75750
Chicago,2019-07-30 11:00:00,0.32567150295002634,0.567964066951567,75750
Chicago,2019-07-30 12:00:00,0.3339143460936561,0.5773763659951161,75708
Chicago,2019-07-30 13:00:00,0.3338141387364101,0.5765640339299336,75662
Chicago,2019-07-30 14:00:00,0.33990398769617947,0.5920631350267379,75695
Chicago,2019-07-30 15:00:00,0.35114293060621893,0.6085447175527228,75660
Chicago,2019-07-30 16:00:00,0.35916894124655085,0.6243905403036276,75660
Chicago,2019-07-30 17:00:00,0.36248053252598605,0.6372138570367927,75660
Chicago,2019-07-30 18:00:00,0.33058476329680664,0.5883672071392659,75660
Chicago,2019-07-30 19:00:00,0.293221549925224,0.5348637149859944,75660
Chicago,2019-07-30 20:00:00,0.2746618998457112,0.50125,75660
Chicago,2019-07-30 21:00:00,0.2680577658306877,0.4817712842712843,75660
Chicago,2019-07-30 22:00:00,0.2445746748256961,0.45634695301723305,75660
Chicago,2019-07-30 23:00:00,0.11930692008263134,0.30416556281825025,75660
Chicago,2019-07-31 00:00:00,0.08905351152637742,0.2439553156480215,75660
Chicago,2019-07-31 01:00:00,0.08750805097039241,0.23566758955180678,75660
Chicago,2019-07-31 02:00:00,0.08760660514741858,0.22784446159094945,75660
Chicago,2019-07-31 03:00:00,0.08900407833056607,0.2340825295769915,75660
Chicago,2019-07-31 04:00:00,0.09205994418918133,0.24300490326607038,75660
Chicago,2019-07-31 05:00:00,0.11151771967458887,0.30180310732384763,75695
Chicago,2019-07-31 06:00:00,0.17689712970803212,0.4226002872064303,75660
Chicago,2019-07-31 07:00:00,0.2687465704078306,0.5334612498106348,75660
Chicago,2019-07-31 08:00:00,0.3326017648605353,0.5874337041026696,75660
Chicago,2019-07-31 09:00:00,0.33275701919635553,0.575906303030303,75660
Chicago,2019-07-31 10:00:00,0.3263182137945723,0.564602452160436,75660
Chicago,2019-07-31 11:00:00,0.33154743482971216,0.5739231274058441,75661
Chicago,2019-07-31 12:00:00,0.33907242799950765,0.5819959792168619,75666
Chicago,2019-07-31 13:00:00,0.33953055618630235,0.5751996114743381,75677
Chicago,2019-07-31 14:00:00,0.3470016611236778,0.5932542561576356,75642
Chicago,2019-07-31 15:00:00,0.3561315416981544,0.6173473628000724,75642
Chicago,2019-07-31 16:00:00,0.3727455483247846,0.6347388110314777,75642
Chicago,2019-07-31 17:00:00,0.3792471423942062,0.6591694358475098,75642
Chicago,2019-07-31 18:00:00,0.34320649565174566,0.6004745018223414,75642
Chicago,2019-07-31 19:00:00,0.3033757831356708,0.5365794836592068,75642
Chicago,2019-07-31 20:00:00,0.2831614437638995,0.5008351234351235,75642
Chicago,2019-07-31 21:00:00,0.2725275076039912,0.47476017093394374,75642
Chicago,2019-07-31 22:00:00,0.2484377932521516,0.4539943572835833,75642
Chicago,2019-07-31 23:00:00,0.12093557705793595,0.29787808832425894,75642
Houston,2019-04-01 00:00:00,0.00591029586462217,0.0,62832
Houston,2019-04-01 01:00:00,0.00576760756771984,0.0,62829
Houston,2019-04-01 02:00:00,0.005721100807208294,0.0,62829
Houston,2019-04-01 03:00:00,0.005379552921195293,0.0,62832
Houston,2019-04-01 04:00:00,0.005756363074069752,0.0,62832
Houston,2019-04-01 05:00:00,0.012096537891802017,0.006489757989096066,62844
Houston,2019-04-01 06:00:00,0.023560063219128288,0.046076743786500424,62844
Houston,2019-04-01 07:00:00,0.0428770544104197,0.14226058078749895,62844
Houston,2019-04-01 08:00:00,0.053619530445347466,0.1906973812752214,62844
Houston,2019-04-01 09:00:00,0.044802707423442605,0.14636810662648905,62838
Houston,2019-04-01 10:00:00,0.03689875421947554,0.1045919191988997,62844
Houston,2019-04-01 11:00:00,0.034304808956374784,0.09122298535296032,62844
Houston,2019-04-01 12:00:00,0.03774713003472555,0.1161150674400196,62844
Houston,2019-04-01 13:00:00,0.036170648146062745,0.11718382485569992,62844
Houston,2019-04-01 14:00:00,0.035628450599473616,0.10297680368353998,62844
Houston,2019-04-01 15:00:00,0.0371951754485989,0.14009180672268906,62842
Houston,2019-04-01 16:00:00,0.041757705309207575,0.12860601102114283,62841
Houston,2019-04-01 17:00:00,0.0436826638510585,0.1364886424958794,62844
Houston,2019-04-01 18:00:00,0.03810807314687928,0.12995958047292172,62844
Houston,2019-04-01 19:00:00,0.02560974438146293,0.08440434048699717,62844
Houston,2019-04-01 20:00:00,0.020001727413293608,0.039493046965454436,62844
Houston,2019-04-01 21:00:00,0.01844021844390943,0.025557967409238633,62844
Houston,2019-04-01 22:00:00,0.012321760029520437,0.0024886114433812145,62844
Houston,2019-04-01 23:00:00,0.008142871626466753,0.0,62844
Houston,2019-04-02 00:00:00,0.006707516978771109,0.0,62844
Houston,2019-04-02 01:00:00,0.006569346036278319,0.0,62844
Houston,2019-04-02 02:00:00,0.006867288839908658,0.0,62844
Houston,2019-04-02 03:00:00,0.00679403286642686,0.0,62844
Houston,2019-04-02 04:00:00,0.006764986148957748,0.0,62844
Houston,2019-04-02 05:00:00,0.013156871041013854,0.00846109068627452,62844
Houston,2019-04-02 06:00:00,0.022488629107537947,0.04222888401794659,62844
