city,tmc_code,total_deficit,observation_count,severe_observation_count,mean_deficit,severe_observation_share
San Antonio,112P18718,1601.771553610638,4464.0,3771.0,0.35881979247550133,0.844758064516129
San Antonio,112N54210,1594.4688774686633,4464.0,3225.0,0.3571838883218332,0.7224462365591398
San Antonio,112N18600,1568.2838748402962,4464.0,3416.0,0.3513180723208549,0.7652329749103942
San Antonio,112P10300,1548.3581339167893,4464.0,2972.0,0.3468544206802843,0.6657706093189965
San Antonio,112P54071,1499.7125649201394,4464.0,2653.0,0.33595711579752224,0.5943100358422939
San Antonio,112P10672,1470.3311876421271,4464.0,3638.0,0.3293752660488636,0.8149641577060932
San Antonio,112P10316,1455.860000068928,4464.0,3447.0,0.32613351256024375,0.7721774193548387
San Antonio,112P18990,1449.812435395212,4464.0,3237.0,0.3247787713698952,0.7251344086021505
Dallas,111N11649,1155.7815336943622,4295.0,1888.0,0.269099309358408,0.43958090803259603
Dallas,111P11429,1042.0997278227053,4295.0,1713.0,0.24263090286908157,0.39883585564610013
Dallas,111P12756,1032.8251750239262,4294.0,1748.0,0.24052752096505037,0.40707964601769914
Dallas,111N06179,1026.93818577952,4295.0,2080.0,0.23910085815588356,0.4842840512223516
Dallas,111P16176,1000.2672443683987,4294.0,1848.0,0.23294532938248688,0.4303679552864462
Dallas,111P22127,989.1810430609464,4294.0,1448.0,0.2303635405358515,0.3372147182114579
Dallas,111P13834,985.9023685917152,4294.0,1836.0,0.22959999268554152,0.42757335817419656
Dallas,111P14086,960.8756142925866,4294.0,2064.0,0.223771684744431,0.4806707033069399
Dallas,111N10945,946.5364925831126,4294.0,1679.0,0.22043234573430662,0.3910107126222636
Dallas,111P12598,927.8176464082198,4295.0,1736.0,0.21602273490296156,0.4041909196740396
Dallas,111P10789,907.9855511935336,4295.0,1710.0,0.21140525056892517,0.3981373690337602
Dallas,111N11275,902.9393224440055,4295.0,1745.0,0.21023034282747508,0.4062863795110594
Dallas,111P11129,901.8251841864044,4295.0,1604.0,0.20997093927506505,0.37345750873108263
Dallas,111P10661,886.4377572607139,4295.0,1686.0,0.20638830203974712,0.39254947613504076
Dallas,111P11578,883.2362861524327,4294.0,1750.0,0.20569079789297456,0.40754541220307405
Dallas,111+11192,882.0448771444562,4294.0,1526.0,0.20541333887854127,0.35537959944108055
Dallas,111P13583,878.3915481424151,4294.0,1515.0,0.2045625403219411,0.3528178854215184
Dallas,111N12859,864.8740729430583,4294.0,1383.0,0.2014145488921887,0.32207731718677224
Dallas,111N12955,864.4628408897676,4294.0,1677.0,0.20131877989980615,0.3905449464368887
Dallas,111P22074,863.9259045734769,4294.0,1536.0,0.20119373650989217,0.3577084303679553
Austin,112P17002,2269.7044868245757,4464.0,3956.0,0.5084463456148243,0.8862007168458781
Austin,112P50293,2005.701357983901,4464.0,3480.0,0.4493058597634187,0.7795698924731183
Austin,112N13425,1975.8561271842589,4464.0,3361.0,0.4426201001756852,0.7529121863799283
Austin,112P19802,1965.9140916980534,4464.0,3600.0,0.440392941688632,0.8064516129032258
Austin,112N13056,1899.9255975570757,4464.0,3384.0,0.4256105729294524,0.7580645161290323
Austin,112N16811,1819.1526512671117,4464.0,3214.0,0.40751627492542825,0.7199820788530465
Austin,112P19750,1801.027043925893,4464.0,3253.0,0.403455879015657,0.7287186379928315
Austin,112N50396,1772.8041612663671,4464.0,3285.0,0.39713354867078116,0.7358870967741935
Austin,112P13434,1771.593284982574,4464.0,3544.0,0.39686229502297804,0.7939068100358423
Austin,112N50356,1760.3037786506645,4464.0,3229.0,0.3943332837479087,0.72334229390681
Austin,112P50389,1722.1222707921052,4464.0,3413.0,0.38578007858246083,0.7645609318996416
Austin,112P13425,1721.8296482570313,4464.0,3362.0,0.38571452693929914,0.7531362007168458
Austin,112N19710,1721.320882995504,4464.0,3106.0,0.3856005562265914,0.6957885304659498
Austin,112P21238,1711.6239607601904,4464.0,3142.0,0.38342830662190647,0.703853046594982
Austin,112P13112,1690.7627627861605,4464.0,3185.0,0.37875509919044814,0.7134856630824373
Austin,112N54402,1683.559599376977,4464.0,2592.0,0.3771414873156311,0.5806451612903226
Austin,112P54402,1648.9388614904706,4464.0,2585.0,0.3693859456743886,0.5790770609318996
Austin,112+19803,1645.440065757797,4464.0,3593.0,0.3686021652683237,0.8048835125448028
Austin,112N16812,1644.647267928622,4464.0,3360.0,0.3684245671883114,0.7526881720430108
Austin,112P50305,1639.1151017124437,4450.0,3595.0,0.36834047229493116,0.8078651685393259
