split_role,split_id,heldout,model_id,family,feature_set,description,n_features,n_train_tokens,n_test_tokens,n_train_events,n_test_events,full_event_eval,train_loss,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
leave_city,leave_new_york,New York,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,119683,50454,81,24,True,0.03962241466,50454,24,0.8299521401,0.9251200312,0.02635647224,0.8970677036,0.8884708385,0.6053248044,0.1029322964
leave_city,leave_philadelphia,Philadelphia,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,136418,33719,85,20,True,0.02514912752,33719,20,0.7829370037,0.9506587271,0.04553145341,0.9856904616,0.9871544168,0.8770860399,0.0143095384
leave_city,leave_san_antonio,San Antonio,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,145061,25076,86,19,True,0.03290828483,25076,19,0.9153083808,0.9465099278,0.03180100891,0.9737982162,0.9780976488,0.8074859481,0.02620178382
random_event,fold_0,random_event_fold_0,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,137700,32437,83,22,True,0.03372383698,32437,22,0.8081709145,0.9740616423,0.02344132894,0.9612144909,0.9573575829,0.7605106151,0.03878550911
random_event,fold_1,random_event_fold_1,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,132554,37583,83,22,True,0.0353742057,37583,22,0.9659172402,0.98011062,0.01056758076,0.9602432407,0.9544296122,0.7576885799,0.03975675932
random_event,fold_2,random_event_fold_2,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,134836,35301,83,22,True,0.03744094304,35301,22,0.8082593893,0.9692863945,0.02397424221,0.9497832492,0.9424287381,0.7305691821,0.05021675076
random_event,fold_3,random_event_fold_3,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,134129,36008,84,21,True,0.04640527058,36008,21,0.9306695696,0.9620723028,0.02239125865,0.9684825237,0.9638567252,0.7884052751,0.03151747628
random_event,fold_4,random_event_fold_4,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,141329,28808,87,18,True,0.0358899672,28808,18,0.9244725527,0.9454050005,0.0155506923,0.9466243646,0.9410667646,0.6939484929,0.05337563544
token_random,token_random_20pct,random_action_tokens,N2_full_mlp,mlp,full_additive,MLP on full additive action features,30,135973,34164,105,105,False,0.03642935352,34164,105,0.8888400078,0.9817151849,0.01483696278,,,,
random_event,fold_0,random_event_fold_0,N3_full_city_id_mlp,mlp,full_additive_plus_city_id,MLP with full additive features and city identity; evaluated only where cities appear in train,37,137700,32437,83,22,True,0.02981878079,32437,22,0.8563838181,0.9808112236,0.02086725195,0.959941375,0.9611296073,0.7586724325,0.04005862496
random_event,fold_1,random_event_fold_1,N3_full_city_id_mlp,mlp,full_additive_plus_city_id,MLP with full additive features and city identity; evaluated only where cities appear in train,37,132554,37583,83,22,True,0.01997272551,37583,22,0.9087945393,0.9717472787,0.01437768554,0.9656741676,0.962410184,0.7703057218,0.03432583242
random_event,fold_2,random_event_fold_2,N3_full_city_id_mlp,mlp,full_additive_plus_city_id,MLP with full additive features and city identity; evaluated only where cities appear in train,37,134836,35301,83,22,True,0.01921608379,35301,22,0.8518494463,0.9828633239,0.02080768071,0.9671489709,0.9661232317,0.7669332427,0.03285102908
random_event,fold_3,random_event_fold_3,N3_full_city_id_mlp,mlp,full_additive_plus_city_id,MLP with full additive features and city identity; evaluated only where cities appear in train,37,134129,36008,84,21,True,0.02108745783,36008,21,0.9087660022,0.9784867382,0.02257458049,0.9642994314,0.9599800431,0.7643825119,0.03570056864
random_event,fold_4,random_event_fold_4,N3_full_city_id_mlp,mlp,full_additive_plus_city_id,MLP with full additive features and city identity; evaluated only where cities appear in train,37,141329,28808,87,18,True,0.03037020331,28808,18,0.9472769989,0.9720412219,0.01155237642,0.9427959061,0.9442020697,0.6968037093,0.05720409387
token_random,token_random_20pct,random_action_tokens,N4_full_event_id_mlp,mlp,full_additive_plus_event_id,MLP with full additive features and event identity under random token split,135,135973,34164,105,105,False,0.004944944451,34164,105,0.9978543269,0.9979588624,0.002785741171,,,,
