split_role,split_id,heldout,model_id,family,feature_set,description,n_features,n_train_tokens,n_test_tokens,n_train_events,n_test_events,full_event_eval,train_loss,city,event_id,n_tokens,spearman,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,644,1925,0.9090419756,0.9674571401,0.9715637695,0.793814433
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,645,2307,0.8905918521,0.9575184368,0.9640085451,0.7327586207
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,646,1200,0.9429978434,0.981676153,0.9831787211,0.85
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,647,1200,0.9425055749,0.981676153,0.9831787211,0.85
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,648,1764,0.9188657422,0.9638347974,0.9693585722,0.7865168539
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,649,1768,0.9174785014,0.9638347974,0.9693585722,0.7865168539
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,650,1368,0.9365794626,0.9807861825,0.9824019528,0.8405797101
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,651,1705,0.9199431199,0.9675039795,0.9719330095,0.8023255814
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,652,1898,0.9138433011,0.9651716692,0.9700636033,0.7894736842
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,653,2136,0.8978323052,0.9603262946,0.9663329487,0.7476635514
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,654,2425,0.8876798399,0.9602448857,0.96570607,0.7459016393
leave_city,leave_philadelphia,Philadelphia,R1_factorized_ridge,ridge,factorized,ridge on seven factorized law features,7,136418,33719,85,20,True,,Philadelphia,655,2041,0.9043778711,0.9669553903,0.9710845297,0.7766990291
