city,intervention,total_cost,active_unit_count,active_unit_share,cost_gini_across_units,top_10pct_cost_share,cost_weighted_mean_origin_exposure_p_rank_pct,cost_share_in_top10_origin_exposure_p,cost_share_in_top25_origin_exposure_p,cost_weighted_mean_initial_deficit_b0_rank_pct,cost_share_in_top10_initial_deficit_b0,cost_share_in_top25_initial_deficit_b0,cost_weighted_mean_destination_importance_rank_pct,cost_share_in_top10_destination_importance,cost_share_in_top25_destination_importance,cost_weighted_mean_local_disturbance_h_rank_pct,cost_share_in_top10_local_disturbance_h,cost_share_in_top25_local_disturbance_h,cost_weighted_mean_out_degree_rank_pct,cost_share_in_top10_out_degree,cost_share_in_top25_out_degree,cost_weighted_mean_in_degree_rank_pct,cost_share_in_top10_in_degree,cost_share_in_top25_in_degree
Houston,R,3.6781076375430173,17,0.043256997455470736,0.969214643618189,1.0,0.9230497525176884,0.8490576177003767,0.9345264804286187,0.9858795864401375,1.0,1.0,0.9858795864401375,1.0,1.0,0.9858795864401375,1.0,1.0,0.8098872096888347,0.48896596757190897,0.7816930354366707,0.9533047987010153,0.9404344293165295,1.0
Houston,S,0.4792183207892463,12,0.030534351145038167,0.9757031367808913,1.0,0.9888732760835715,1.0,1.0,0.9569045721234087,0.8894762254767173,1.0,0.9569045721234087,0.8894762254767173,1.0,0.9569045721234087,0.8894762254767173,1.0,0.9162314267733346,0.7237557077914567,0.957888546097629,0.9244076113551379,0.8101086038079159,0.9288217609387728
New York,C,19.647531421515218,97,0.05,0.9641625033134895,1.0,0.8671548577142925,0.5942898622486119,0.8627720263325038,0.9823372702524441,1.0,1.0,0.9823386191549107,1.0,1.0,0.9823372702524441,1.0,1.0,0.7318007116480557,0.3334975820910068,0.5841528104909907,0.9609577768856499,0.9126807866736564,0.994926259958963
New York,R,34.50430455729991,100,0.05154639175257732,0.9683826005445166,0.9999999999999998,0.8767542870298868,0.6093851452720815,0.8835330552109236,0.9844487554821184,0.9999999999999998,1.0000000000000002,0.9844485687541406,0.9999999999999998,1.0,0.9844487554821184,0.9999999999999998,1.0000000000000002,0.7393884750554832,0.3314941779041637,0.5919110061342386,0.9632538857675997,0.9257554705041491,0.9960392751762418
New York,S,2.5580148913210996,40,0.020618556701030927,0.9815237109421788,0.9999999999999998,0.9908476931192614,1.0,1.0,0.8691453623587645,0.6435463251916198,0.8232482238205369,0.8726961669857282,0.6435463251916198,0.8232482238205369,0.8691453623587645,0.6435463251916198,0.8232482238205369,0.9246795694355509,0.8594116004185207,0.8785722621829727,0.8153669838050327,0.4353483100868329,0.6549934904359003
Philadelphia,C,3.763316749160345,25,0.03894080996884735,0.9705848085945392,1.0000000000000002,0.8316550663803032,0.45826914925601303,0.7000640624374843,0.9860712204966465,1.0,1.0,0.9860712204966465,1.0,1.0,0.9860712204966465,1.0,1.0,0.889648795278762,0.587990878168744,0.8094379856001839,0.952830048985747,0.8179779580000961,1.0
Philadelphia,R,8.799675109364403,33,0.0514018691588785,0.9686404680666407,1.0000000000000002,0.8307852977020093,0.45736951208017296,0.6937237880079316,0.9850990502326974,1.0000000000000002,1.0000000000000002,0.9850990502326974,1.0000000000000002,1.0000000000000002,0.9850990502326974,1.0000000000000002,1.0000000000000002,0.8862736234393965,0.5767433315971789,0.8015572596904573,0.9493289478336366,0.8034669411231136,0.9948069900723775
Philadelphia,S,0.24347496648524783,6,0.009345794392523364,0.9916638934275857,0.9999999999999999,0.9965663690527314,0.9999999999999999,1.0,0.8904588586404953,0.7053996790763114,0.8638721798615555,0.8904588586404953,0.7053996790763114,0.8638721798615555,0.8904588586404953,0.7053996790763114,0.8638721798615555,0.9757648415119714,0.9999999999999999,0.9999999999999999,0.8442647869999165,0.575086193854373,0.7053996790763114
San Antonio,C,1.8704090349944358,15,0.049342105263157895,0.9616171072709672,1.0,0.8761209162653716,0.4125030847228825,0.8919680565957763,0.9824532904775892,1.0,1.0000000000000002,0.9824532904775892,1.0,1.0000000000000002,0.9824532904775892,1.0,1.0000000000000002,0.7305114078979892,0.38770464471860827,0.5205409174881674,0.883905707737156,0.6571525473134037,0.8352934090583586
San Antonio,R,3.49438966651497,21,0.06907894736842106,0.9624002339231448,1.0000000000000002,0.876424354297367,0.42228533778301475,0.8560283163168609,0.9828448538036777,1.0000000000000002,0.9999999999999999,0.9828448538036777,1.0000000000000002,0.9999999999999999,0.9828448538036777,1.0000000000000002,0.9999999999999999,0.7521722287710717,0.3857728406517286,0.5337972469224113,0.8904209157303296,0.6779475634102198,0.8337212426241778
San Antonio,S,0.1953035227268047,5,0.01644736842105263,0.985726017306009,0.9999999999999999,0.9943738875600673,1.0,1.0,0.8815513752663645,0.6950763653969694,0.8457925961322021,0.8815513752663645,0.6950763653969694,0.8457925961322021,0.8815513752663645,0.6950763653969694,0.8457925961322021,0.9702448199833771,1.0,1.0,0.830206619880432,0.5104320598168146,0.8457925961322021
