split_family,heldout_period,split_role,model_id,family,description,n_features,n_train_events,n_test_events,n_train_cities,n_test_cities,n_tokens,n_events,pearson,spearman,mae,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret
within_city_forward_cut,after_67pct,forward_chronological_audit,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,71,34,7,7,52167,34,0.7162152026,0.952273671,0.02475452743,0.9435666915,0.9379186634,0.7179582999,0.05643330845
within_city_forward_cut,after_67pct,forward_chronological_audit,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,71,34,7,7,52167,34,0.4375949905,0.6855034462,0.04150082034,0.9432746775,0.9372564674,0.7326955318,0.05672532248
within_city_order_half,early_half,main_within_city_chronological,H1_deficit_only,heuristic,deficit-only one-factor score,0,51,54,7,7,91772,54,0.1326444875,0.1452576309,0.6784719776,0.8520205748,0.8474300243,0.531767125,0.1479794252
within_city_order_half,early_half,main_within_city_chronological,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,51,54,7,7,91772,54,0.190386274,0.2095004486,0.7485932484,0.8773284929,0.8702529161,0.5255897129,0.1226715071
within_city_order_half,early_half,main_within_city_chronological,H3_structure_only,heuristic,static structure-only one-factor score,0,51,54,7,7,91772,54,-0.0837334686,-0.04105254338,0.1955673718,0.4998305126,0.4843099846,0.0114357681,0.5001694874
within_city_order_half,early_half,main_within_city_chronological,H4_activated_law,direct_law,hand-built activated bottleneck score,0,51,54,7,7,91772,54,0.2738642905,0.6033376496,0.05588341182,1,1,1,0
within_city_order_half,early_half,main_within_city_chronological,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,51,54,7,7,91772,54,0.2547014178,0.6437662119,0.04260494488,0.9396540966,0.9368458369,0.7140870006,0.0603459034
within_city_order_half,early_half,main_within_city_chronological,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,51,54,7,7,91772,54,0.5276678141,0.9290535587,0.02979484566,0.9816569918,0.9808006225,0.8516131859,0.01834300817
within_city_order_half,early_half,main_within_city_chronological,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,51,54,7,7,91772,54,0.5310655252,0.9291393795,0.02979120961,0.9647702758,0.9553695218,0.7974315177,0.03522972417
within_city_order_half,early_half,main_within_city_chronological,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,51,54,7,7,91772,54,0.2537644458,0.6485427105,0.0426794091,0.9398785027,0.936945714,0.7141950512,0.06012149735
within_city_order_half,late_half,main_within_city_chronological,H1_deficit_only,heuristic,deficit-only one-factor score,0,54,51,7,7,78365,51,0.1074079635,0.2606998296,0.6822407869,0.8508936775,0.8397601361,0.5207806763,0.1491063225
within_city_order_half,late_half,main_within_city_chronological,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,54,51,7,7,78365,51,0.1660000584,0.3430212377,0.7498389776,0.8702269514,0.8573827172,0.5067407294,0.1297730486
within_city_order_half,late_half,main_within_city_chronological,H3_structure_only,heuristic,static structure-only one-factor score,0,54,51,7,7,78365,51,-0.005496410168,-0.03264673435,0.1866316396,0.5083365897,0.4911254605,0.01053249583,0.4916634103
within_city_order_half,late_half,main_within_city_chronological,H4_activated_law,direct_law,hand-built activated bottleneck score,0,54,51,7,7,78365,51,0.3718094361,0.6400036158,0.04781793296,1,1,1,0
within_city_order_half,late_half,main_within_city_chronological,R1_factorized_low_dim,trained_surrogate,seven-feature factorized activated law,7,54,51,7,7,78365,51,0.3820236511,0.6605682366,0.03621180143,0.9073554907,0.9035285368,0.6254276992,0.09264450927
within_city_order_half,late_half,main_within_city_chronological,R2_full_additive,trained_surrogate,full additive action-value surrogate,30,54,51,7,7,78365,51,0.716668336,0.9518029939,0.02110682267,0.9593894592,0.95564416,0.7760670619,0.04061054085
within_city_order_half,late_half,main_within_city_chronological,R3_full_interaction,trained_surrogate,full additive surrogate plus explicit interaction terms,39,54,51,7,7,78365,51,0.718188487,0.9533495059,0.02100338057,0.9465433315,0.940903221,0.7298727518,0.05345666845
within_city_order_half,late_half,main_within_city_chronological,R4_factorized_interaction,trained_surrogate,factorized law plus compact interaction terms,12,54,51,7,7,78365,51,0.3877859691,0.6603636051,0.03612689892,0.9345201239,0.9258078365,0.7076771612,0.06547987607
within_city_order_tertile,early_tertile,main_within_city_chronological,H1_deficit_only,heuristic,deficit-only one-factor score,0,71,34,7,7,54492,34,0.1438243605,0.2011192809,0.6765851793,0.8527152777,0.8470258922,0.5299208955,0.1472847223
within_city_order_tertile,early_tertile,main_within_city_chronological,H2_exposure_only,heuristic,OD exposure-only one-factor score,0,71,34,7,7,54492,34,0.189680744,0.2721208757,0.7417257447,0.8747134225,0.8676472968,0.5225321686,0.1252865775
within_city_order_tertile,early_tertile,main_within_city_chronological,H3_structure_only,heuristic,static structure-only one-factor score,0,71,34,7,7,54492,34,-0.09778877881,-0.07069999692,0.2005643895,0.4944774502,0.4778851388,0.0103506489,0.5055225498
