model_id,family,description,heldout_city,n_features,n_tokens,n_events,pearson,spearman,mae,top_1pct_value_capture,top_1pct_ndcg,top_1pct_precision,top_1pct_regret,top_5pct_value_capture,top_5pct_ndcg,top_5pct_precision,top_5pct_regret,top_10pct_value_capture,top_10pct_ndcg,top_10pct_precision,top_10pct_regret
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",Dallas,30,12000,10,0.9498221698,0.9463439289,0.007688723624,0.7997509678,0.7415679763,0.3333333333,0.2002490322,0.919817513,0.8700164385,0.5333333333,0.08018248704,0.9527729974,0.9105798805,0.7666666667,0.04722700256
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",Houston,30,4800,4,0.9546878109,0.978251818,0.01041024759,0.9952346713,0.9968091,0.9166666667,0.004765328747,0.9777751026,0.9828764209,0.8875,0.02222489737,0.9669439747,0.9733964811,0.8,0.03305602533
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",New York,30,50454,24,0.8979087991,0.9487625288,0.01672635957,0.9034834138,0.8592484587,0.6258280344,0.09651658616,0.9793023721,0.9477620172,0.8658923574,0.02069762791,0.9821648071,0.9604911256,0.848184828,0.01783519291
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",Philadelphia,30,33719,20,0.6985661945,0.8838677508,0.05591311083,0.9839238954,0.9832392763,0.8812538445,0.01607610461,0.9800898907,0.9807623023,0.8726690537,0.01991010926,0.9787747567,0.9796309875,0.8391719319,0.02122524334
G6_local_plus_observed_od_graph,observed_graph,"local dynamics plus observed OD exposure, degree, and scarcity",San Antonio,30,25076,19,0.7384883488,0.9347692744,0.04191466538,0.9584580518,0.9634384632,0.7925743847,0.04154194825,0.9427684974,0.948968794,0.7089940779,0.05723150257,0.9414202917,0.9457898384,0.6733877393,0.05857970826
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",Austin,30,18007,15,0.7049754763,0.7865562789,0.03686089173,0.6876110494,0.6821962809,0.1709401709,0.3123889506,0.6381339825,0.6499438132,0.1498360656,0.3618660175,0.6683428918,0.667320142,0.222107438,0.3316571082
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",Chicago,30,26081,13,0.7472845213,0.8866243035,0.0194524401,0.4896063476,0.4681646789,0.02313266444,0.5103936524,0.6135054576,0.5816237822,0.1248697744,0.3864945424,0.6672411856,0.6323812321,0.1592401413,0.3327588144
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",Dallas,30,12000,10,0.8492910525,0.8267838875,0.00884049176,0.6589520927,0.6571308016,0,0.3410479073,0.7002164136,0.6840997517,0.08666666667,0.2997835864,0.7788857824,0.7463860157,0.265,0.2211142176
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",Houston,30,4800,4,0.7836274289,0.8484190454,0.01115676863,0.4068971524,0.3975825937,0,0.5931028476,0.5353405685,0.4968098295,0.075,0.4646594315,0.6643491512,0.6007815383,0.16875,0.3356508488
G7_local_plus_shuffled_od_graph,shuffled_graph,"local dynamics plus shuffled OD exposure, degree, and scarcity",New York,30,50454,24,0.8096831756,0.9123461802,0.01801827329,0.6561069184,0.6815944007,0.1052051589,0.3438930816,0.641698209,0.6531486745,0.1347776876,0.358301791,0.6989733765,0.6920553983,0.196423335,0.3010266235
