city,top_k_units,event_id_a,event_id_b,jaccard,intersection_count,union_count
Austin,10,479,480,1,10,10
Austin,10,479,481,1,10,10
Austin,10,479,482,1,10,10
Austin,10,479,483,1,10,10
Austin,10,479,484,1,10,10
Austin,10,479,485,1,10,10
Austin,10,479,486,1,10,10
Austin,10,479,487,1,10,10
Austin,10,479,488,1,10,10
Austin,10,479,489,0.8181818182,9,11
Austin,10,479,490,1,10,10
Austin,10,479,491,0.6666666667,8,12
Austin,10,479,492,1,10,10
Austin,10,480,481,1,10,10
Austin,10,480,482,1,10,10
Austin,10,480,483,1,10,10
Austin,10,480,484,1,10,10
Austin,10,480,485,1,10,10
Austin,10,480,486,1,10,10
Austin,10,480,487,1,10,10
Austin,10,480,488,1,10,10
Austin,10,480,489,0.8181818182,9,11
Austin,10,480,490,1,10,10
Austin,10,480,491,0.6666666667,8,12
Austin,10,480,492,1,10,10
Austin,10,481,482,1,10,10
Austin,10,481,483,1,10,10
Austin,10,481,484,1,10,10
Austin,10,481,485,1,10,10
Austin,10,481,486,1,10,10
Austin,10,481,487,1,10,10
Austin,10,481,488,1,10,10
Austin,10,481,489,0.8181818182,9,11
Austin,10,481,490,1,10,10
Austin,10,481,491,0.6666666667,8,12
Austin,10,481,492,1,10,10
Austin,10,482,483,1,10,10
Austin,10,482,484,1,10,10
Austin,10,482,485,1,10,10
Austin,10,482,486,1,10,10
Austin,10,482,487,1,10,10
Austin,10,482,488,1,10,10
Austin,10,482,489,0.8181818182,9,11
Austin,10,482,490,1,10,10
Austin,10,482,491,0.6666666667,8,12
Austin,10,482,492,1,10,10
Austin,10,483,484,1,10,10
Austin,10,483,485,1,10,10
Austin,10,483,486,1,10,10
Austin,10,483,487,1,10,10
Austin,10,483,488,1,10,10
Austin,10,483,489,0.8181818182,9,11
Austin,10,483,490,1,10,10
Austin,10,483,491,0.6666666667,8,12
Austin,10,483,492,1,10,10
Austin,10,484,485,1,10,10
Austin,10,484,486,1,10,10
Austin,10,484,487,1,10,10
Austin,10,484,488,1,10,10
Austin,10,484,489,0.8181818182,9,11
Austin,10,484,490,1,10,10
Austin,10,484,491,0.6666666667,8,12
Austin,10,484,492,1,10,10
Austin,10,485,486,1,10,10
Austin,10,485,487,1,10,10
Austin,10,485,488,1,10,10
Austin,10,485,489,0.8181818182,9,11
Austin,10,485,490,1,10,10
Austin,10,485,491,0.6666666667,8,12
Austin,10,485,492,1,10,10
Austin,10,486,487,1,10,10
Austin,10,486,488,1,10,10
Austin,10,486,489,0.8181818182,9,11
Austin,10,486,490,1,10,10
Austin,10,486,491,0.6666666667,8,12
Austin,10,486,492,1,10,10
Austin,10,487,488,1,10,10
Austin,10,487,489,0.8181818182,9,11
Austin,10,487,490,1,10,10
Austin,10,487,491,0.6666666667,8,12
Austin,10,487,492,1,10,10
Austin,10,488,489,0.8181818182,9,11
Austin,10,488,490,1,10,10
Austin,10,488,491,0.6666666667,8,12
Austin,10,488,492,1,10,10
Austin,10,489,490,0.8181818182,9,11
Austin,10,489,491,0.6666666667,8,12
Austin,10,489,492,0.8181818182,9,11
Austin,10,490,491,0.6666666667,8,12
Austin,10,490,492,1,10,10
Austin,10,491,492,0.6666666667,8,12
Austin,20,478,479,1,20,20
Austin,20,478,480,1,20,20
Austin,20,478,481,0.6666666667,16,24
Austin,20,478,482,1,20,20
Austin,20,478,483,1,20,20
Austin,20,478,484,1,20,20
Austin,20,478,485,1,20,20
Austin,20,478,486,1,20,20
Austin,20,478,487,1,20,20
Austin,20,478,488,1,20,20
Austin,20,478,489,0.5384615385,14,26
Austin,20,478,490,1,20,20
Austin,20,478,491,0.4347826087,10,23
Austin,20,478,492,1,20,20
Austin,20,479,480,1,20,20
Austin,20,479,481,0.6666666667,16,24
Austin,20,479,482,1,20,20
Austin,20,479,483,1,20,20
Austin,20,479,484,1,20,20
Austin,20,479,485,1,20,20
Austin,20,479,486,1,20,20
Austin,20,479,487,1,20,20
Austin,20,479,488,1,20,20
Austin,20,479,489,0.5384615385,14,26
Austin,20,479,490,1,20,20
Austin,20,479,491,0.4347826087,10,23
Austin,20,479,492,1,20,20
Austin,20,480,481,0.6666666667,16,24
Austin,20,480,482,1,20,20
Austin,20,480,483,1,20,20
Austin,20,480,484,1,20,20
Austin,20,480,485,1,20,20
Austin,20,480,486,1,20,20
Austin,20,480,487,1,20,20
Austin,20,480,488,1,20,20
Austin,20,480,489,0.5384615385,14,26
Austin,20,480,490,1,20,20
Austin,20,480,491,0.4347826087,10,23
Austin,20,480,492,1,20,20
Austin,20,481,482,0.6666666667,16,24
Austin,20,481,483,0.6666666667,16,24
Austin,20,481,484,0.6666666667,16,24
Austin,20,481,485,0.6666666667,16,24
Austin,20,481,486,0.6666666667,16,24
Austin,20,481,487,0.6666666667,16,24
Austin,20,481,488,0.6666666667,16,24
Austin,20,481,489,0.8181818182,18,22
Austin,20,481,490,0.6666666667,16,24
Austin,20,481,491,0.65,13,20
Austin,20,481,492,0.6666666667,16,24
Austin,20,482,483,1,20,20
Austin,20,482,484,1,20,20
Austin,20,482,485,1,20,20
Austin,20,482,486,1,20,20
Austin,20,482,487,1,20,20
Austin,20,482,488,1,20,20
Austin,20,482,489,0.5384615385,14,26
