score_id,selected_cost_capture_top20pct_actions,selected_action_recall_top20pct_actions,selected_cost_capture_top5pct_actions,finite_value_capture_top20pct_actions,small_signal_value_capture_top20pct_actions,top5pct_units_footprint_mass,top5pct_units_selected_share,top5pct_units_count,mean_top5pct_unit_footprint_rank,mean_top5pct_unit_small_signal_rank,mean_top5pct_unit_finite_rank,city,event_id,event_start,v34_delta_finite_top5pct_units_footprint_mass,v35_delta_selected_unit_footprint_mass
small_plus_0p25_finite,1.0,1.0,0.7682401598572496,0.5049801607539521,0.4505008437315789,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
activation_plus_0p25_footprint,1.0,1.0,0.766664433941987,0.5124345904615215,0.4497993258892231,0.033387677979128234,1.0,11,0.6007905138339921,0.9696969696969697,0.9257795344751867,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_0p5_footprint,1.0,1.0,0.7556661882012282,0.5207271862326457,0.4473009470533621,0.033387677979128234,1.0,11,0.6007905138339921,0.9696969696969697,0.9257795344751867,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_0p5_finite,1.0000000000000002,1.0,0.7611405631704895,0.5094497295395761,0.4496243464274858,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
activation_plus_0p5_footprint,1.0,1.0,0.7556661882012282,0.5207271862326457,0.4473009470533621,0.033387677979128234,1.0,11,0.6007905138339921,0.9696969696969697,0.9257795344751867,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_1p0_footprint,0.9969851394588196,0.9979879275653923,0.726335022134217,0.5245144254109723,0.440369246178991,0.11272423868061883,1.0,11,0.710144927536232,0.9578392621870883,0.9367588932806322,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_1p0_finite,1.0,1.0,0.7622287528519164,0.5150201383717156,0.4480138231494239,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
activation_plus_1p0_footprint,0.9969851394588196,0.9979879275653923,0.726335022134217,0.5245144254109723,0.440369246178991,0.11272423868061883,1.0,11,0.710144927536232,0.9578392621870883,0.9367588932806322,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_2p0_footprint,0.9580747686121649,0.9396378269617707,0.6657082415719247,0.5186960038726112,0.4278095043365536,0.1211401188282044,1.0,11,0.7356170399648662,0.9538866930171278,0.9420289855072462,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
small_plus_2p0_finite,1.0000000000000002,1.0,0.7621496214210782,0.5146703520655265,0.44554178599180566,0.022604661789077125,1.0,11,0.5006587615283268,0.9754062362758016,0.9165568730786122,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
activation_plus_2p0_footprint,0.9580747686121649,0.9396378269617707,0.6657082415719247,0.5186960038726112,0.4278095043365536,0.1211401188282044,1.0,11,0.7356170399648662,0.9538866930171278,0.9420289855072462,Austin,484,2024-07-22 14:00:00,0.2985207014688926,0.0161374485675547
