city,event_id,event_start,candidate_action_count,positive_action_count,total_marginal_value_proxy,marginal_value_gini,top_1pct_value_share,top_5pct_value_share,top_10pct_value_share,recoverable_fraction,baseline_objective,event_peak_positive_abnormal_deficit,event_total_precip,top_5pct_value_share_R,total_value_share_R,top_5pct_value_share_C,total_value_share_C,top_5pct_value_share_S,total_value_share_S,optimizer_selected_value_share,optimizer_selected_action_share,calibration,footprint_blend,baseline_objective_recomputed,finite_top_5pct_value_share,finite_marginal_value_gini,finite_total_marginal_value_proxy,footprint_relative_max,footprint_relative_gini,hybrid_relative_max,hybrid_relative_gini,od_footprint_relative_cosine,od_hybrid_relative_cosine
Dallas,58,2019-04-18 22:00:00,13176,12078,64.43281797492011,0.41238778271567766,0.03705481079718418,0.14197505570048913,0.24481146775573606,,0.41163975438309613,0.0365575631876469,0.009842525,0.17852222130523843,0.27068542001869006,0.14249231669336843,0.3562841373675993,0.1145968469767773,0.37303044261371066,0.0,0.0,hybrid_footprint,0.5,0.41163975438309613,0.22040839908575932,0.5309706746811935,4.750666403973829,13.49342242590716,0.6952422814714228,7.258236145257547,0.3618061023839316,0.3810279292488781,0.6303470958510926
Dallas,59,2019-04-23 19:00:00,13176,12078,43.86216905081158,0.41238778271567766,0.03705481079718417,0.14197505570048913,0.2448114677557361,,0.6046921513316291,0.0621555549331903,2.2106311149999995,0.17852222130523843,0.27068542001869006,0.14249231669336843,0.35628413736759923,0.11459684697677731,0.3730304426137107,0.0,0.0,hybrid_footprint,0.5,0.6046921513316291,0.22467891207510005,0.5486848911215958,4.206093178460899,13.389422139098182,0.6621134030410518,7.206236001853058,0.3487564171419071,0.4027720946510667,0.6506969990589951
Dallas,60,2019-04-24 11:00:00,13176,12078,43.06829933670217,0.41238778271567744,0.03705481079718417,0.14197505570048913,0.24481146775573606,,0.615838325958793,0.0621555549331903,0.041338605,0.17852222130523848,0.27068542001869,0.1424923166933684,0.35628413736759923,0.1145968469767773,0.3730304426137106,0.0,0.0,hybrid_footprint,0.5,0.615838325958793,0.21621602669492743,0.535445114449461,4.8525806316667355,13.337667917763278,0.6588424113847735,7.163859582561769,0.3464666994397816,0.40696951757522537,0.6547745043702179
Dallas,61,2019-04-24 15:00:00,13176,12078,39.99832398863869,0.41238778271567744,0.03705481079718417,0.14197505570048913,0.24481146775573612,,0.6631055184447379,0.0621555549331903,0.3523623950000001,0.17852222130523848,0.27068542001869006,0.14249231669336845,0.3562841373675993,0.1145968469767773,0.3730304426137107,0.0,0.0,hybrid_footprint,0.5,0.6631055184447379,0.2268312777656414,0.5579485777045599,4.447262544789974,13.390541481944148,0.660819770387874,7.20679567327604,0.3476655148935992,0.40235084534977306,0.650178319743826
Dallas,62,2019-04-28 01:00:00,13176,12078,161.07115633668974,0.41238778271567744,0.03705481079718417,0.14197505570048913,0.24481146775573606,,0.16466703268687757,0.0178690733315265,0.053149635,0.17852222130523848,0.27068542001869,0.14249231669336843,0.35628413736759923,0.11459684697677729,0.3730304426137107,0.0,0.0,hybrid_footprint,0.5,0.16466703268687757,0.22951828922649958,0.5509610520621144,6.071301972414268,13.620183476181303,0.6871767965139719,7.321616670394618,0.3611092588181839,0.39116989127281365,0.6386511324889568
Dallas,63,2019-04-28 09:00:00,13176,12078,82.30607635998871,0.4123877827156772,0.037054810797184166,0.14197505570048913,0.24481146775573603,,0.322249711544997,0.0214141071204946,0.005905515,0.17852222130523848,0.27068542001869,0.14249231669336843,0.35628413736759923,0.11459684697677729,0.3730304426137107,0.0,0.0,hybrid_footprint,0.5,0.322249711544997,0.22794141810669188,0.5507004312903987,5.2027413681644585,13.510964763282608,0.6710203834109447,7.26700731394527,0.3506852767977293,0.39449597762264776,0.6444946809654615
Dallas,64,2019-04-30 18:00:00,13176,12078,44.43701128302093,0.4123877827156772,0.03705481079718417,0.1419750557004891,0.24481146775573606,,0.5968697848845013,0.0549382720110242,0.005905515,0.17852222130523848,0.27068542001869,0.14249231669336843,0.3562841373675992,0.1145968469767773,0.37303044261371066,0.0,0.0,hybrid_footprint,0.5,0.5968697848845013,0.23691063218946248,0.5694099001555488,4.063872365767027,14.0410565815188,0.6781605894062712,7.532053223063366,0.3586448574142671,0.390808884525117,0.6348579071741404
Houston,52,2019-04-04 01:00:00,14148,12969,299.6479995775228,0.4273693614900662,0.04448101938113783,0.15440043347854832,0.2620645736026505,,0.08354997238074077,0.0139318362359163,0.5826774800000001,0.18876635873496597,0.22215131723624085,0.16436585498656375,0.38003246220951054,0.12100367796871728,0.3978162205542485,0.0,0.0,hybrid_footprint,0.5,0.08354997238074077,0.23979284946151416,0.5734132504164509,6.729338848487213,12.064549811706007,0.6016508164114909,6.534341237525394,0.30385908033589404,0.4951907972993874,0.7545404803490117
Houston,60,2019-04-18 05:00:00,14148,12969,58.27990226675766,0.42736936149006577,0.04448101938113783,0.15440043347854832,0.26206457360265045,,0.4295748811323304,0.0527549075025259,0.8622051900000001,0.18876635873496594,0.22215131723624088,0.1643658549865637,0.3800324622095106,0.12100367796871729,0.39781622055424853,0.0,0.0,hybrid_footprint,0.5,0.4295748811323304,0.2562246391029781,0.5989937398741432,4.311362449195273,12.011614858146531,0.5703244112275783,6.46757179030941,0.2887374430421856,0.5205487306395098,0.775142766548873
Houston,61,2019-04-24 21:00:00,14148,12969,73.90012777323388,0.42736936149006577,0.04448101938113784,0.15440043347854832,0.2620645736026505,,0.33877589718747375,0.0305704776770383,0.01181103,0.18876635873496592,0.22215131723624085,0.1643658549865637,0.3800324622095106,0.12100367796871729,0.3978162205542485,0.0,0.0,hybrid_footprint,0.5,0.33877589718747375,0.2212823326659537,0.5374296703511787,4.628853311687806,11.346165855565154,0.5768543950437675,6.153669923927812,0.2903781050657721,0.532754606641158,0.7869423412710145
Houston,62,2019-04-30 03:00:00,14148,12969,64.84898648135679,0.42736936149006577,0.04448101938113783,0.15440043347854834,0.26206457360265045,,0.38605972810143524,0.0373824011470862,0.01181103,0.18876635873496592,0.22215131723624088,0.16436585498656373,0.3800324622095106,0.1210036779687173,0.39781622055424853,0.0,0.0,hybrid_footprint,0.5,0.38605972810143524,0.22563518840168814,0.5463444718713757,5.166546524464973,9.98611748065445,0.5594665524117519,5.47364573647246,0.2798389979215068,0.5584793509099532,0.8076471736486612
New York,98,2019-06-02 18:00:00,69840,63965,892.503409378255,0.5866248191998107,0.07272622569444245,0.2366578347720311,0.3729679795992147,,0.015405509604367651,0.0128404264537012,0.1259843199999999,0.21815776263186035,0.30649795917611855,0.26515701245735296,0.3365726206749938,0.22381279139409402,0.35692942014888757,0.0,0.0,hybrid_footprint,0.5,0.015405509604367651,0.26734416719040144,0.5753785453462195,9.01630899631708,17.658946165915854,0.6950159614075069,9.398835118467442,0.3479863893043018,0.4173656244148181,0.6807842900420735
New York,99,2019-06-02 22:00:00,69840,63965,290.2527239103477,0.4920405068035316,0.0594466240785034,0.19725519940705394,0.31508917510104145,,0.07809717730457041,0.0158117953226626,0.3740159499999999,0.22983930667350494,0.2642007268670265,0.21518319917818968,0.35275809070977604,0.15784743835169046,0.38304118242319746,0.0,0.0,hybrid_footprint,0.5,0.07809717730457041,0.2750450427677724,0.5898570926796576,7.745943792803262,17.71796443930299,0.6848261378968692,9.42834425516101,0.34483845671782665,0.4221126375630782,0.6838389978349537
New York,100,2019-06-05 21:00:00,69840,63965,316.6091215405936,0.511031207586943,0.06175940559993693,0.20441004208269598,0.3255880864961499,,0.0654652191799212,0.0187516106067029,0.0104986933333333,0.22691477666104076,0.2756747413985319,0.22440411567837446,0.3485101044641655,0.1692138665438338,0.3758151541373026,0.0,0.0,hybrid_footprint,0.5,0.0654652191799212,0.27143701161227196,0.5782918103447978,8.031792824427136,17.239949738075808,0.6862299419588134,9.189336904547421,0.3441286789878619,0.4164223676599469,0.679253195624619
New York,101,2019-06-06 02:00:00,69840,63965,192.64037318644415,0.47378755649799764,0.05632756319064301,0.18896541755795065,0.3035939910816145,,0.13336264923697133,0.0187516106067029,0.1036745966666665,0.23188838959504376,0.23871383968094972,0.20372504243986123,0.3717685737996854,0.14580487694046634,0.38951758651936497,0.0,0.0,hybrid_footprint,0.5,0.13336264923697133,0.29498833988130296,0.6241263094315617,6.349166744327224,16.73546192771597,0.6904190137412156,8.9370929993675,0.3425390680515339,0.41507231960569035,0.6817141406158647
New York,102,2019-06-10 12:00:00,69840,63965,85.70884232621015,0.4737875564979972,0.05632756319064302,0.18896541755795065,0.30359399108161456,,0.2997477252155882,0.043281661301787,0.620735243333333,0.23188838959504368,0.23871383968094967,0.20372504243986123,0.3717685737996853,0.14580487694046637,0.3895175865193649,0.0,0.0,hybrid_footprint,0.5,0.2997477252155882,0.3023908294672366,0.6349130815712456,4.8271159638098275,16.83078596577103,0.6747962842523305,8.984755018395031,0.33907400244813357,0.4295681016896124,0.6923554654230117
New York,103,2019-06-11 01:00:00,69840,63965,74.87286895366155,0.473787556497997,0.05632756319064301,0.18896541755795065,0.30359399108161456,,0.34312870439148074,0.043281661301787,0.00393701,0.23188838959504374,0.23871383968094972,0.20372504243986123,0.3717685737996853,0.14580487694046634,0.3895175865193649,0.0,0.0,hybrid_footprint,0.5,0.34312870439148074,0.2765823783102144,0.5998236221626989,5.766256836155776,16.276719653468085,0.6814745959967918,8.70772186224356,0.3415817557798706,0.43579728898585257,0.6993819991399464
New York,104,2019-06-11 05:00:00,69840,63965,51.529835827206526,0.4737875564979972,0.05632756319064302,0.18896541755795068,0.3035939910816145,,0.49856612398867295,0.0468159178098303,0.3412075333333332,0.23188838959504374,0.2387138396809497,0.20372504243986125,0.3717685737996853,0.14580487694046632,0.3895175865193649,0.0,0.0,hybrid_footprint,0.5,0.49856612398867295,0.2646700613695258,0.5792615740058717,4.7806911622733,15.426135363824352,0.67426139161019,8.282429717421692,0.33610038574291456,0.45255892035687234,0.7180238042386706
New York,105,2019-06-13 08:00:00,69840,63965,102.49926092457224,0.4737875564979972,0.05632756319064302,0.18896541755795068,0.30359399108161456,,0.2506460074580311,0.0312260742880741,0.4317587633333331,0.23188838959504374,0.2387138396809497,0.20372504243986123,0.3717685737996853,0.14580487694046637,0.3895175865193649,0.0,0.0,hybrid_footprint,0.5,0.2506460074580311,0.31754946372483506,0.6501400723007762,3.813857988311743,16.597014193990617,0.662665047546839,8.867869132504826,0.33174008091945795,0.43726553580365246,0.7014559664841791
New York,106,2019-06-13 22:00:00,69840,63965,281.4199488481908,0.4737875564979972,0.05632756319064301,0.18896541755795068,0.30359399108161456,,0.09129072271988004,0.0141390978200705,0.1994751733333332,0.2318883895950437,0.2387138396809497,0.20372504243986123,0.3717685737996853,0.14580487694046634,0.38951758651936497,0.0,0.0,hybrid_footprint,0.5,0.09129072271988004,0.27197225215444587,0.5856374393157164,6.39900602582221,16.305801701919442,0.6622634023718394,8.722262886469238,0.33169942535155306,0.4425668848387416,0.7066502147361586
New York,107,2019-06-16 03:00:00,69840,63965,70.25387849594539,0.4737875564979972,0.05632756319064301,0.18896541755795068,0.30359399108161456,,0.3656884298512535,0.0273420963831678,0.0341207533333332,0.2318883895950437,0.23871383968094972,0.20372504243986125,0.3717685737996853,0.14580487694046632,0.3895175865193649,0.0,0.0,hybrid_footprint,0.5,0.3656884298512535,0.2717423380699094,0.5894953732606776,4.786284928956284,16.1991332312597,0.6632709176067588,8.668928651139368,0.33327310298930235,0.442162694209556,0.7046770885210504
New York,108,2019-06-16 19:00:00,69840,63965,94.19352045968398,0.4737875564979972,0.05632756319064301,0.18896541755795065,0.3035939910816145,,0.2727473226689632,0.0259572648763609,0.0301837433333332,0.23188838959504374,0.23871383968094967,0.20372504243986125,0.3717685737996853,0.14580487694046632,0.3895175865193649,0.0,0.0,hybrid_footprint,0.5,0.2727473226689632,0.2688248400873018,0.5841378494809815,4.973003588448698,16.811342312583243,0.6610253638203116,8.975033191801138,0.33493987433526207,0.43843471103718284,0.6980553666948676
New York,109,2019-06-18 07:00:00,69840,63965,36.2456349888379,0.473787556497997,0.05632756319064302,0.18896541755795068,0.30359399108161456,,0.7088034331873272,0.0681389739369214,0.1036745966666666,0.23188838959504376,0.23871383968094972,0.20372504243986125,0.3717685737996853,0.14580487694046632,0.38951758651936497,0.0,0.0,hybrid_footprint,0.5,0.7088034331873272,0.2614086224336414,0.5736852950370006,4.563872673786967,15.196622937855349,0.669424676661738,8.16767350443719,0.33107558931393877,0.4566907818256648,0.7247895553629677
New York,110,2019-06-18 13:00:00,69840,63965,39.340402579141056,0.4737875564979972,0.056327563190643026,0.18896541755795068,0.30359399108161456,,0.6530444233878996,0.0681389739369214,0.8070870499999999,0.23188838959504376,0.23871383968094972,0.20372504243986125,0.3717685737996853,0.14580487694046634,0.38951758651936497,0.0,0.0,hybrid_footprint,0.5,0.6530444233878996,0.2849000990182644,0.6125128141578364,4.541890203626428,15.511128050051132,0.6640560884284559,8.324926060535084,0.3289279183739662,0.45279963649891364,0.7205625514237576
New York,111,2019-06-18 23:00:00,69840,63965,86.59236583191651,0.4737875564979974,0.05632756319064301,0.18896541755795063,0.3035939910816145,,0.2966893244147133,0.0070867303235727,0.00787402,0.2318883895950437,0.23871383968094967,0.20372504243986125,0.3717685737996853,0.14580487694046634,0.3895175865193649,0.0,0.0,hybrid_footprint,0.5,0.2966893244147133,0.30748915836045765,0.632645501162419,4.034244285487867,16.904882569789432,0.6784460919177202,9.021803320404231,0.34219515490408403,0.4237205649214258,0.6847247314922322
New York,112,2019-06-19 07:00:00,69840,63965,508.8966499137638,0.4737875564979972,0.05632756319064302,0.18896541755795065,0.30359399108161456,,0.05048378786242067,0.0070867303235727,0.00393701,0.23188838959504374,0.23871383968094972,0.2037250424398612,0.37176857379968536,0.14580487694046634,0.38951758651936497,0.0,0.0,hybrid_footprint,0.5,0.05048378786242067,0.3103966623740481,0.6438930158166143,6.214081099975683,17.452751744411987,0.6929920579978646,9.295737907715509,0.3486069779830636,0.410089891835713,0.6711295232821788
New York,113,2019-06-19 10:00:00,69840,63965,445.6058548641339,0.4737875564979974,0.05632756319064302,0.18896541755795063,0.3035939910816145,,0.05765415835026731,0.0070867303235727,0.00393701,0.23188838959504374,0.2387138396809497,0.20372504243986125,0.3717685737996853,0.14580487694046634,0.389517586519365,0.0,0.0,hybrid_footprint,0.5,0.05765415835026731,0.3307783132866867,0.6632077682913455,4.539951382965171,17.587509122087564,0.7078595237005096,9.363116596553297,0.3536240963415225,0.4022784271906411,0.66530841181084
New York,115,2019-06-20 01:00:00,69840,63965,996.0382935827582,0.5339913536056644,0.06461772344788663,0.21316263481852876,0.33847450006956803,,0.01863225415737329,0.0033816059403336,0.00787402,0.2237779043915173,0.2866346887447889,0.23574511257761663,0.3444252802096306,0.18365800149329378,0.3689400310455804,0.0,0.0,hybrid_footprint,0.5,0.01863225415737329,0.2889908052174708,0.6206375008268681,7.974963647239194,17.636422617120584,0.6957092499764326,9.387573344069807,0.35256328563345884,0.4139253610762857,0.672650022177561
